;ENSCAFT00000015696_90_90;ENST00000370183_90_90;ENST00000370187_90_90;ENST00000393441_90_90;ENST00000408038_90_90;ENSMUST00000065601_90_90;ENSMUST00000111936_90_90;ENSMUST00000223684_90_90;ENSMUST00000223764_90_90;ENSMUST00000224102_90_90;ENSMUST00000224318_90_90;ENSMUST00000224478_90_90
ENSCAFT00000015696_90_90;1.0;0.7;1.0;0.9;0.8;1.0;0.8;0.2;0.3;0.3;0.1;0.5
ENST00000370183_90_90;0.7;1.0;0.7;0.6;0.667;0.7;0.667;0.286;0.25;0.111;0.143;0.5
ENST00000370187_90_90;1.0;0.7;1.0;0.9;0.8;1.0;0.8;0.2;0.3;0.3;0.1;0.5
ENST00000393441_90_90;0.9;0.6;0.9;1.0;0.7;0.9;0.7;0.222;0.333;0.333;0.111;0.556
ENST00000408038_90_90;0.8;0.667;0.8;0.7;1.0;0.8;1.0;0.25;0.375;0.1;0.0;0.625
ENSMUST00000065601_90_90;1.0;0.7;1.0;0.9;0.8;1.0;0.8;0.2;0.3;0.25;0.1;0.5
ENSMUST00000111936_90_90;0.8;0.667;0.8;0.7;1.0;0.8;1.0;0.25;0.375;0.083;0.0;0.625
ENSMUST00000223684_90_90;0.2;0.286;0.2;0.222;0.25;0.2;0.25;1.0;0.25;0.0;0.0;0.4
ENSMUST00000223764_90_90;0.3;0.25;0.3;0.333;0.375;0.3;0.375;0.25;1.0;0.143;0.0;0.333
ENSMUST00000224102_90_90;0.3;0.111;0.3;0.333;0.1;0.25;0.083;0.0;0.143;1.0;0.2;0.0
ENSMUST00000224318_90_90;0.1;0.143;0.1;0.111;0.0;0.1;0.0;0.0;0.0;0.2;1.0;0.0
ENSMUST00000224478_90_90;0.5;0.5;0.5;0.556;0.625;0.5;0.625;0.4;0.333;0.0;0.0;1.0
