;ENSCAFT00000015568_90_90;ENST00000311559_90_90;ENST00000398568_90_90;ENST00000427738_90_90;ENST00000562884_90_90;ENST00000564326_90_90;ENST00000564634_90_90;ENST00000566024_90_90;ENST00000566206_90_90;ENST00000566679_90_90;ENST00000568704_90_90;ENST00000569418_90_90;ENST00000569681_90_90;ENSMUST00000043526_90_90;ENSMUST00000098519_90_90;ENSMUST00000109626_90_90;ENSMUST00000209206_90_90;ENSMUST00000209532_90_90;ENSMUST00000209559_90_90;ENSMUST00000211554_90_90
ENSCAFT00000015568_90_90;1.0;0.786;0.846;0.786;0.214;0.846;0.083;0.143;0.769;0.25;0.769;0.846;0.167;0.846;0.846;0.917;0.833;0.846;0.917;0.917
ENST00000311559_90_90;0.786;1.0;0.923;1.0;0.125;0.923;0.077;0.062;0.714;0.231;0.846;0.923;0.154;0.667;0.786;0.714;0.643;0.786;0.714;0.714
ENST00000398568_90_90;0.846;0.923;1.0;0.923;0.133;1.0;0.083;0.067;0.769;0.25;0.917;1.0;0.167;0.714;0.714;0.769;0.692;0.714;0.769;0.769
ENST00000427738_90_90;0.786;1.0;0.923;1.0;0.125;0.923;0.077;0.062;0.714;0.231;0.846;0.923;0.154;0.667;0.786;0.714;0.643;0.786;0.714;0.714
ENST00000562884_90_90;0.214;0.125;0.133;0.125;1.0;0.133;0.0;0.5;0.143;0.0;0.143;0.133;0.0;0.214;0.214;0.231;0.25;0.214;0.231;0.231
ENST00000564326_90_90;0.846;0.923;1.0;0.923;0.133;1.0;0.083;0.067;0.769;0.25;0.917;1.0;0.167;0.714;0.714;0.769;0.692;0.714;0.769;0.769
ENST00000564634_90_90;0.083;0.077;0.083;0.077;0.0;0.083;1.0;0.0;0.091;0.333;0.091;0.083;0.5;0.083;0.083;0.091;0.1;0.083;0.091;0.091
ENST00000566024_90_90;0.143;0.062;0.067;0.062;0.5;0.067;0.0;1.0;0.071;0.0;0.071;0.067;0.0;0.143;0.143;0.154;0.167;0.143;0.154;0.154
ENST00000566206_90_90;0.769;0.714;0.769;0.714;0.143;0.769;0.091;0.071;1.0;0.273;0.692;0.769;0.182;0.643;0.643;0.692;0.615;0.643;0.692;0.692
ENST00000566679_90_90;0.25;0.231;0.25;0.231;0.0;0.25;0.333;0.0;0.273;1.0;0.273;0.25;0.667;0.25;0.25;0.273;0.3;0.25;0.273;0.273
ENST00000568704_90_90;0.769;0.846;0.917;0.846;0.143;0.917;0.091;0.071;0.692;0.273;1.0;0.917;0.182;0.643;0.643;0.692;0.75;0.643;0.692;0.692
ENST00000569418_90_90;0.846;0.923;1.0;0.923;0.133;1.0;0.083;0.067;0.769;0.25;0.917;1.0;0.167;0.714;0.714;0.769;0.692;0.714;0.769;0.769
ENST00000569681_90_90;0.167;0.154;0.167;0.154;0.0;0.167;0.5;0.0;0.182;0.667;0.182;0.167;1.0;0.167;0.167;0.182;0.2;0.167;0.182;0.182
ENSMUST00000043526_90_90;0.846;0.667;0.714;0.667;0.214;0.714;0.083;0.143;0.643;0.25;0.643;0.714;0.167;1.0;0.846;0.917;0.833;0.846;0.917;0.917
ENSMUST00000098519_90_90;0.846;0.786;0.714;0.786;0.214;0.714;0.083;0.143;0.643;0.25;0.643;0.714;0.167;0.846;1.0;0.917;0.833;1.0;0.917;0.917
ENSMUST00000109626_90_90;0.917;0.714;0.769;0.714;0.231;0.769;0.091;0.154;0.692;0.273;0.692;0.769;0.182;0.917;0.917;1.0;0.909;0.917;1.0;1.0
ENSMUST00000209206_90_90;0.833;0.643;0.692;0.643;0.25;0.692;0.1;0.167;0.615;0.3;0.75;0.692;0.2;0.833;0.833;0.909;1.0;0.833;0.909;0.909
ENSMUST00000209532_90_90;0.846;0.786;0.714;0.786;0.214;0.714;0.083;0.143;0.643;0.25;0.643;0.714;0.167;0.846;1.0;0.917;0.833;1.0;0.917;0.917
ENSMUST00000209559_90_90;0.917;0.714;0.769;0.714;0.231;0.769;0.091;0.154;0.692;0.273;0.692;0.769;0.182;0.917;0.917;1.0;0.909;0.917;1.0;1.0
ENSMUST00000211554_90_90;0.917;0.714;0.769;0.714;0.231;0.769;0.091;0.154;0.692;0.273;0.692;0.769;0.182;0.917;0.917;1.0;0.909;0.917;1.0;1.0
