;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript22_ENSPNYG00000024266;transcript27_ENSAPOG00000016134;transcript27_ENSAOCG00000015695;transcript28_ENSAPOG00000016134;transcript28_ENSAOCG00000015695;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript12_ENSXMAG00000026005;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript19_ENSAPOG00000016134;1.0;1.0;1.0;0.917;0.917;0.889;0.481;0.333;0.204;0.204;0.87;0.827;1.0;1.0;1.0;0.556;0.519;0.827;0.655;0.923;0.892;1.0;0.931;0.923
transcript19_ENSAPOG00000023408;1.0;1.0;1.0;0.917;0.917;0.889;0.481;0.333;0.204;0.204;0.87;0.827;1.0;1.0;1.0;0.556;0.519;0.827;0.655;0.923;0.892;1.0;0.931;0.923
transcript19_ENSAOCG00000015695;1.0;1.0;1.0;0.917;0.917;0.889;0.481;0.333;0.204;0.204;0.87;0.827;1.0;1.0;1.0;0.556;0.519;0.827;0.655;0.923;0.892;1.0;0.931;0.923
transcript22_ENSAPOG00000016134;0.917;0.917;0.917;1.0;1.0;0.912;0.525;0.364;0.222;0.222;0.93;0.882;0.917;0.917;0.917;0.472;0.435;0.864;0.696;0.846;0.811;0.917;0.853;0.846
transcript22_ENSAPOG00000023408;0.917;0.917;0.917;1.0;1.0;0.912;0.525;0.364;0.222;0.222;0.93;0.882;0.917;0.917;0.917;0.472;0.435;0.864;0.696;0.846;0.811;0.917;0.853;0.846
transcript22_ENSPNYG00000024266;0.889;0.889;0.889;0.912;0.912;1.0;0.526;0.375;0.229;0.229;0.845;0.8;0.889;0.889;0.889;0.444;0.407;0.929;0.735;0.821;0.784;0.889;0.828;0.821
transcript27_ENSAPOG00000016134;0.481;0.481;0.481;0.525;0.525;0.526;1.0;0.443;0.423;0.396;0.553;0.559;0.481;0.481;0.481;0.383;0.385;0.51;0.385;0.444;0.467;0.481;0.448;0.444
transcript27_ENSAOCG00000015695;0.333;0.333;0.333;0.364;0.364;0.375;0.443;1.0;0.568;0.611;0.383;0.344;0.333;0.333;0.333;0.6;0.643;0.387;0.325;0.308;0.353;0.333;0.31;0.308
transcript28_ENSAPOG00000016134;0.204;0.204;0.204;0.222;0.222;0.229;0.423;0.568;1.0;0.913;0.234;0.237;0.204;0.204;0.204;0.344;0.368;0.237;0.157;0.188;0.216;0.204;0.19;0.188
transcript28_ENSAOCG00000015695;0.204;0.204;0.204;0.222;0.222;0.229;0.396;0.611;0.913;1.0;0.234;0.237;0.204;0.204;0.204;0.367;0.393;0.237;0.157;0.188;0.216;0.204;0.19;0.188
transcript32_ENSAPOG00000023408;0.87;0.87;0.87;0.93;0.93;0.845;0.553;0.383;0.234;0.234;1.0;0.948;0.87;0.87;0.87;0.426;0.429;0.833;0.663;0.803;0.766;0.87;0.81;0.803
transcript33_ENSAPOG00000023408;0.827;0.827;0.827;0.882;0.882;0.8;0.559;0.344;0.237;0.237;0.948;1.0;0.827;0.827;0.827;0.391;0.393;0.788;0.621;0.765;0.726;0.827;0.771;0.765
transcript12_ENSAOCG00000015695;1.0;1.0;1.0;0.917;0.917;0.889;0.481;0.333;0.204;0.204;0.87;0.827;1.0;1.0;1.0;0.556;0.519;0.827;0.655;0.923;0.892;1.0;0.931;0.923
transcript12_ENSPNYG00000024266;1.0;1.0;1.0;0.917;0.917;0.889;0.481;0.333;0.204;0.204;0.87;0.827;1.0;1.0;1.0;0.556;0.519;0.827;0.655;0.923;0.892;1.0;0.931;0.923
transcript12_ENSXMAG00000026005;1.0;1.0;1.0;0.917;0.917;0.889;0.481;0.333;0.204;0.204;0.87;0.827;1.0;1.0;1.0;0.556;0.519;0.827;0.655;0.923;0.892;1.0;0.931;0.923
transcript26_ENSAOCG00000015695;0.556;0.556;0.556;0.472;0.472;0.444;0.383;0.6;0.344;0.367;0.426;0.391;0.556;0.556;0.556;1.0;0.933;0.391;0.327;0.513;0.588;0.556;0.517;0.513
transcript29_ENSAOCG00000015695;0.519;0.519;0.519;0.435;0.435;0.407;0.385;0.643;0.368;0.393;0.429;0.393;0.519;0.519;0.519;0.933;1.0;0.355;0.287;0.479;0.549;0.519;0.483;0.479
transcript14_ENSPNYG00000024266;0.827;0.827;0.827;0.864;0.864;0.929;0.51;0.387;0.237;0.237;0.833;0.788;0.827;0.827;0.827;0.391;0.355;1.0;0.758;0.765;0.726;0.827;0.771;0.765
transcript21_ENSPNYG00000024266;0.655;0.655;0.655;0.696;0.696;0.735;0.385;0.325;0.157;0.157;0.663;0.621;0.655;0.655;0.655;0.327;0.287;0.758;1.0;0.605;0.558;0.655;0.61;0.605
transcript3_ENSXMAG00000026005;0.923;0.923;0.923;0.846;0.846;0.821;0.444;0.308;0.188;0.188;0.803;0.765;0.923;0.923;0.923;0.513;0.479;0.765;0.605;1.0;0.825;0.923;0.991;1.0
transcript10_ENSXMAG00000026005;0.892;0.892;0.892;0.811;0.811;0.784;0.467;0.353;0.216;0.216;0.766;0.726;0.892;0.892;0.892;0.588;0.549;0.726;0.558;0.825;1.0;0.892;0.832;0.825
transcript11_ENSXMAG00000026005;1.0;1.0;1.0;0.917;0.917;0.889;0.481;0.333;0.204;0.204;0.87;0.827;1.0;1.0;1.0;0.556;0.519;0.827;0.655;0.923;0.892;1.0;0.931;0.923
transcript16_ENSXMAG00000026005;0.931;0.931;0.931;0.853;0.853;0.828;0.448;0.31;0.19;0.19;0.81;0.771;0.931;0.931;0.931;0.517;0.483;0.771;0.61;0.991;0.832;0.931;1.0;0.991
transcript17_ENSXMAG00000026005;0.923;0.923;0.923;0.846;0.846;0.821;0.444;0.308;0.188;0.188;0.803;0.765;0.923;0.923;0.923;0.513;0.479;0.765;0.605;1.0;0.825;0.923;0.991;1.0
