;ENSCAFT00000013523_90_90;ENST00000339266_90_90;ENST00000340491_90_90;ENST00000373907_90_90;ENST00000373913_90_90;ENST00000401952_90_90;ENST00000475894_90_90;ENST00000482872_90_90;ENST00000489701_90_90;ENST00000495241_90_90;ENSMUST00000000094_90_90;ENSMUST00000070782_90_90;ENSMUST00000099145_90_90;ENSMUST00000109566_90_90;ENSMUST00000109567_90_90;ENSMUST00000109568_90_90;ENSMUST00000131157_90_90;ENSMUST00000137356_90_90;ENSMUST00000146412_90_90;ENSMUST00000169464_90_90;ENSMUST00000171030_90_90;ENSMUST00000177013_90_90
ENSCAFT00000013523_90_90;1.0;0.878;0.325;0.878;0.848;0.848;0.287;0.047;0.222;0.127;0.222;0.97;0.447;0.288;0.97;0.982;0.11;0.042;0.124;1.0;0.269;0.069
ENST00000339266_90_90;0.878;1.0;0.442;1.0;0.945;0.945;0.287;0.047;0.217;0.127;0.231;0.78;0.303;0.306;0.78;0.812;0.118;0.045;0.131;0.828;0.286;0.073
ENST00000340491_90_90;0.325;0.442;1.0;0.442;0.401;0.401;0.629;0.103;0.462;0.277;0.529;0.269;0.647;0.726;0.269;0.308;0.279;0.107;0.312;0.303;0.678;0.173
ENST00000373907_90_90;0.878;1.0;0.442;1.0;0.945;0.945;0.287;0.047;0.217;0.127;0.231;0.78;0.303;0.306;0.78;0.812;0.118;0.045;0.131;0.828;0.286;0.073
ENST00000373913_90_90;0.848;0.945;0.401;0.945;1.0;1.0;0.288;0.047;0.224;0.127;0.235;0.793;0.272;0.312;0.793;0.775;0.12;0.046;0.134;0.791;0.292;0.075
ENST00000401952_90_90;0.848;0.945;0.401;0.945;1.0;1.0;0.288;0.047;0.224;0.127;0.235;0.793;0.272;0.312;0.793;0.775;0.12;0.046;0.134;0.791;0.292;0.075
ENST00000475894_90_90;0.287;0.287;0.629;0.287;0.288;0.288;1.0;0.164;0.674;0.441;0.674;0.288;0.629;1.0;0.288;0.293;0.385;0.147;0.429;0.288;0.935;0.239
ENST00000482872_90_90;0.047;0.047;0.103;0.047;0.047;0.047;0.164;1.0;0.191;0.371;0.191;0.047;0.103;0.164;0.047;0.048;0.0;0.9;0.381;0.047;0.175;0.686
ENST00000489701_90_90;0.222;0.217;0.462;0.217;0.224;0.224;0.674;0.191;1.0;0.515;0.962;0.218;0.464;0.678;0.218;0.221;0.375;0.174;0.506;0.218;0.721;0.281
ENST00000495241_90_90;0.127;0.127;0.277;0.127;0.127;0.127;0.441;0.371;0.515;1.0;0.515;0.127;0.277;0.441;0.127;0.129;0.038;0.334;0.973;0.127;0.472;0.541
ENSMUST00000000094_90_90;0.222;0.231;0.529;0.231;0.235;0.235;0.674;0.191;0.962;0.515;1.0;0.224;0.462;0.674;0.224;0.221;0.373;0.172;0.501;0.217;0.716;0.279
ENSMUST00000070782_90_90;0.97;0.78;0.269;0.78;0.793;0.793;0.288;0.047;0.218;0.127;0.224;1.0;0.401;0.288;1.0;0.928;0.111;0.042;0.124;0.945;0.269;0.069
ENSMUST00000099145_90_90;0.447;0.303;0.647;0.303;0.272;0.272;0.629;0.103;0.464;0.277;0.462;0.401;1.0;0.629;0.401;0.449;0.242;0.093;0.27;0.442;0.588;0.15
ENSMUST00000109566_90_90;0.288;0.306;0.726;0.306;0.312;0.312;1.0;0.164;0.678;0.441;0.674;0.288;0.629;1.0;0.288;0.292;0.385;0.147;0.429;0.287;0.935;0.239
ENSMUST00000109567_90_90;0.97;0.78;0.269;0.78;0.793;0.793;0.288;0.047;0.218;0.127;0.224;1.0;0.401;0.288;1.0;0.928;0.111;0.042;0.124;0.945;0.269;0.069
ENSMUST00000109568_90_90;0.982;0.812;0.308;0.812;0.775;0.775;0.293;0.048;0.221;0.129;0.221;0.928;0.449;0.292;0.928;1.0;0.112;0.043;0.125;0.983;0.273;0.07
ENSMUST00000131157_90_90;0.11;0.118;0.279;0.118;0.12;0.12;0.385;0.0;0.375;0.038;0.373;0.111;0.242;0.385;0.111;0.112;1.0;0.0;0.024;0.111;0.412;0.0
ENSMUST00000137356_90_90;0.042;0.045;0.107;0.045;0.046;0.046;0.147;0.9;0.174;0.334;0.172;0.042;0.093;0.147;0.042;0.043;0.0;1.0;0.343;0.042;0.158;0.618
ENSMUST00000146412_90_90;0.124;0.131;0.312;0.131;0.134;0.134;0.429;0.381;0.506;0.973;0.501;0.124;0.27;0.429;0.124;0.125;0.024;0.343;1.0;0.123;0.459;0.556
ENSMUST00000169464_90_90;1.0;0.828;0.303;0.828;0.791;0.791;0.288;0.047;0.218;0.127;0.217;0.945;0.442;0.287;0.945;0.983;0.111;0.042;0.123;1.0;0.268;0.069
ENSMUST00000171030_90_90;0.269;0.286;0.678;0.286;0.292;0.292;0.935;0.175;0.721;0.472;0.716;0.269;0.588;0.935;0.269;0.273;0.412;0.158;0.459;0.268;1.0;0.255
ENSMUST00000177013_90_90;0.069;0.073;0.173;0.073;0.075;0.075;0.239;0.686;0.281;0.541;0.279;0.069;0.15;0.239;0.069;0.07;0.0;0.618;0.556;0.069;0.255;1.0
