;transcript18_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript23_ENSPNYG00000024266;transcript7_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript9_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript7_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript28_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript29_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript12_ENSPNYG00000024266;transcript24_ENSPNYG00000024266;transcript9_ENSXMAG00000026005;transcript7_ENSXMAG00000026005
transcript18_ENSAOCG00000015695;1.0;0.884;0.826;0.807;0.9;0.345;0.961;0.397;0.239;0.981;0.978;0.959;0.224;0.899;0.899;0.69;0.856;0.791;0.784;0.75;0.719;0.963;0.963;0.619;0.442
transcript28_ENSAOCG00000015695;0.884;1.0;0.748;0.749;0.85;0.407;0.918;0.407;0.29;0.873;0.873;0.923;0.257;0.858;0.858;0.625;1.0;0.759;0.747;0.694;0.722;0.923;0.917;0.729;0.52
transcript21_ENSAPOG00000016134;0.826;0.748;1.0;1.0;0.805;0.003;0.835;0.146;0.003;0.83;0.83;0.844;0.002;0.768;0.768;0.608;0.731;0.779;0.771;0.711;0.678;0.844;0.837;0.297;0.006
transcript21_ENSPNYG00000024266;0.807;0.749;1.0;1.0;0.773;0.003;0.833;0.138;0.002;0.798;0.798;0.845;0.002;0.769;0.769;0.583;0.731;0.749;0.741;0.676;0.645;0.845;0.837;0.265;0.005
transcript23_ENSPNYG00000024266;0.9;0.85;0.805;0.773;1.0;0.406;0.935;0.323;0.326;0.89;0.89;0.94;0.276;1.0;1.0;0.827;0.831;1.0;1.0;0.99;0.957;0.94;0.934;0.587;0.692
transcript7_ENSPNYG00000024266;0.345;0.407;0.003;0.003;0.406;1.0;0.366;0.789;1.0;0.336;0.336;0.366;1.0;0.406;0.406;0.539;0.407;0.409;0.406;0.539;0.538;0.366;0.369;0.789;1.0
transcript22_ENSPNYG00000024266;0.961;0.918;0.835;0.833;0.935;0.366;1.0;0.444;0.276;0.95;0.95;1.0;0.247;0.935;0.935;0.701;0.898;0.828;0.821;0.782;0.754;1.0;0.995;0.752;0.536
transcript9_ENSAPOG00000016134;0.397;0.407;0.146;0.138;0.323;0.789;0.444;1.0;0.713;0.397;0.397;0.406;0.768;0.299;0.299;0.365;0.407;0.307;0.309;0.353;0.353;0.406;0.411;1.0;0.713
transcript7_ENSAPOG00000023408;0.239;0.29;0.003;0.002;0.326;1.0;0.276;0.713;1.0;0.233;0.233;0.255;1.0;0.284;0.284;0.325;0.29;0.322;0.326;0.325;0.337;0.255;0.26;0.713;1.0
transcript14_ENSAPOG00000016134;0.981;0.873;0.83;0.798;0.89;0.336;0.95;0.397;0.233;1.0;1.0;0.948;0.22;0.889;0.889;0.677;0.842;0.779;0.772;0.73;0.706;0.953;0.948;0.587;0.419
transcript14_ENSAPOG00000023408;0.978;0.873;0.83;0.798;0.89;0.336;0.95;0.397;0.233;1.0;1.0;0.948;0.22;0.889;0.889;0.677;0.842;0.779;0.772;0.73;0.706;0.953;0.948;0.587;0.419
transcript17_ENSAOCG00000015695;0.959;0.923;0.844;0.845;0.94;0.366;1.0;0.406;0.255;0.948;0.948;1.0;0.234;0.939;0.939;0.718;0.904;0.836;0.829;0.795;0.769;1.0;0.995;0.696;0.496
transcript7_ENSAOCG00000015695;0.224;0.257;0.002;0.002;0.276;1.0;0.247;0.768;1.0;0.22;0.22;0.234;1.0;0.252;0.252;0.336;0.257;0.275;0.276;0.336;0.345;0.234;0.237;0.768;1.0
transcript27_ENSAOCG00000015695;0.899;0.858;0.768;0.769;1.0;0.406;0.935;0.299;0.284;0.889;0.889;0.939;0.252;1.0;1.0;0.768;0.841;0.909;0.901;0.88;0.851;0.939;0.933;0.525;0.62
transcript26_ENSAOCG00000015695;0.899;0.858;0.768;0.769;1.0;0.406;0.935;0.299;0.284;0.889;0.889;0.939;0.252;1.0;1.0;0.768;0.841;0.909;0.901;0.88;0.851;0.939;0.933;0.525;0.62
transcript29_ENSAOCG00000015695;0.69;0.625;0.608;0.583;0.827;0.539;0.701;0.365;0.325;0.677;0.677;0.718;0.336;0.768;0.768;1.0;0.612;0.828;0.818;1.0;0.95;0.718;0.719;0.58;0.698
transcript28_ENSAPOG00000023408;0.856;1.0;0.731;0.731;0.831;0.407;0.898;0.407;0.29;0.842;0.842;0.904;0.257;0.841;0.841;0.612;1.0;0.741;0.732;0.677;0.71;0.904;0.899;0.729;0.52
transcript30_ENSAPOG00000023408;0.791;0.759;0.779;0.749;1.0;0.409;0.828;0.307;0.322;0.779;0.779;0.836;0.275;0.909;0.909;0.828;0.741;1.0;0.99;0.99;0.957;0.836;0.83;0.538;0.681
transcript23_ENSAPOG00000023408;0.784;0.747;0.771;0.741;1.0;0.406;0.821;0.309;0.326;0.772;0.772;0.829;0.276;0.901;0.901;0.818;0.732;0.99;1.0;0.977;0.945;0.829;0.831;0.544;0.692
transcript29_ENSAPOG00000023408;0.75;0.694;0.711;0.676;0.99;0.539;0.782;0.353;0.325;0.73;0.73;0.795;0.336;0.88;0.88;1.0;0.677;0.99;0.977;1.0;0.947;0.795;0.799;0.548;0.698
transcript31_ENSAPOG00000023408;0.719;0.722;0.678;0.645;0.957;0.538;0.754;0.353;0.337;0.706;0.706;0.769;0.345;0.851;0.851;0.95;0.71;0.957;0.945;0.947;1.0;0.769;0.76;0.538;0.681
transcript12_ENSPNYG00000024266;0.963;0.923;0.844;0.845;0.94;0.366;1.0;0.406;0.255;0.953;0.953;1.0;0.234;0.939;0.939;0.718;0.904;0.836;0.829;0.795;0.769;1.0;0.995;0.696;0.496
transcript24_ENSPNYG00000024266;0.963;0.917;0.837;0.837;0.934;0.369;0.995;0.411;0.26;0.948;0.948;0.995;0.237;0.933;0.933;0.719;0.899;0.83;0.831;0.799;0.76;0.995;1.0;0.716;0.51
transcript9_ENSXMAG00000026005;0.619;0.729;0.297;0.265;0.587;0.789;0.752;1.0;0.713;0.587;0.587;0.696;0.768;0.525;0.525;0.58;0.729;0.538;0.544;0.548;0.538;0.696;0.716;1.0;0.713
transcript7_ENSXMAG00000026005;0.442;0.52;0.006;0.005;0.692;1.0;0.536;0.713;1.0;0.419;0.419;0.496;1.0;0.62;0.62;0.698;0.52;0.681;0.692;0.698;0.681;0.496;0.51;0.713;1.0
