;ENSCAFT00000032187_90_90;ENST00000299980_90_90;ENST00000393512_90_90;ENST00000450149_90_90;ENST00000563104_90_90;ENST00000563259_90_90;ENST00000564155_90_90;ENST00000565009_90_90;ENST00000565412_90_90;ENST00000566179_90_90;ENST00000567583_90_90;ENST00000568327_90_90;ENST00000569185_90_90;ENST00000569748_90_90;ENST00000569975_90_90;ENST00000570017_90_90;ENSMUST00000034171_90_90;ENSMUST00000093157_90_90;ENSMUST00000179104_90_90
ENSCAFT00000032187_90_90;1.0;0.677;0.656;0.296;0.231;0.37;0.077;0.355;0.115;0.077;0.154;0.433;0.192;0.677;0.077;0.038;0.926;0.897;0.0
ENST00000299980_90_90;0.677;1.0;0.963;0.25;0.231;0.423;0.077;0.4;0.115;0.077;0.154;0.536;0.192;1.0;0.077;0.038;0.733;0.667;0.0
ENST00000393512_90_90;0.656;0.963;1.0;0.241;0.222;0.407;0.074;0.387;0.111;0.074;0.148;0.517;0.185;0.963;0.074;0.037;0.71;0.647;0.0
ENST00000450149_90_90;0.296;0.25;0.241;1.0;0.667;0.538;0.0;0.389;0.333;0.0;0.444;0.368;0.556;0.25;0.222;0.111;0.296;0.267;0.0
ENST00000563104_90_90;0.231;0.231;0.222;0.667;1.0;0.545;0.0;0.375;0.5;0.0;0.667;0.353;0.833;0.231;0.333;0.167;0.231;0.207;0.0
ENST00000563259_90_90;0.37;0.423;0.407;0.538;0.545;1.0;0.083;0.688;0.273;0.0;0.364;0.647;0.455;0.423;0.182;0.091;0.37;0.333;0.0
ENST00000564155_90_90;0.077;0.077;0.074;0.0;0.0;0.083;1.0;0.059;0.0;0.0;0.0;0.056;0.0;0.077;0.0;0.0;0.077;0.069;0.0
ENST00000565009_90_90;0.355;0.4;0.387;0.389;0.375;0.688;0.059;1.0;0.188;0.0;0.25;0.571;0.312;0.4;0.125;0.062;0.355;0.364;0.0
ENST00000565412_90_90;0.115;0.115;0.111;0.333;0.5;0.273;0.0;0.188;1.0;0.0;0.75;0.176;0.6;0.115;0.667;0.333;0.115;0.103;0.0
ENST00000566179_90_90;0.077;0.077;0.074;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.077;0.0;0.0;0.077;0.069;0.0
ENST00000567583_90_90;0.154;0.154;0.148;0.444;0.667;0.364;0.0;0.25;0.75;0.0;1.0;0.235;0.8;0.154;0.5;0.25;0.154;0.138;0.0
ENST00000568327_90_90;0.433;0.536;0.517;0.368;0.353;0.647;0.056;0.571;0.176;0.0;0.235;1.0;0.294;0.536;0.118;0.059;0.483;0.484;0.0
ENST00000569185_90_90;0.192;0.192;0.185;0.556;0.833;0.455;0.0;0.312;0.6;0.0;0.8;0.294;1.0;0.192;0.4;0.2;0.192;0.172;0.0
ENST00000569748_90_90;0.677;1.0;0.963;0.25;0.231;0.423;0.077;0.4;0.115;0.077;0.154;0.536;0.192;1.0;0.077;0.038;0.733;0.667;0.0
ENST00000569975_90_90;0.077;0.077;0.074;0.222;0.333;0.182;0.0;0.125;0.667;0.0;0.5;0.118;0.4;0.077;1.0;0.5;0.077;0.069;0.0
ENST00000570017_90_90;0.038;0.038;0.037;0.111;0.167;0.091;0.0;0.062;0.333;0.0;0.25;0.059;0.2;0.038;0.5;1.0;0.038;0.034;0.0
ENSMUST00000034171_90_90;0.926;0.733;0.71;0.296;0.231;0.37;0.077;0.355;0.115;0.077;0.154;0.483;0.192;0.733;0.077;0.038;1.0;0.897;0.0
ENSMUST00000093157_90_90;0.897;0.667;0.647;0.267;0.207;0.333;0.069;0.364;0.103;0.069;0.138;0.484;0.172;0.667;0.069;0.034;0.897;1.0;0.0
ENSMUST00000179104_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
