;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript52_ENSMSIG00000000513;transcript58_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript52_MGP-SPRETEiJ-G0021131;transcript63_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript58_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript39_ENSRNOG00000031503;transcript50_ENSRNOG00000031503;transcript12_ENSMUGG00000013649;transcript32_ENSMUGG00000013649;transcript50_ENSMUGG00000013649;transcript32_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;0.789;0.943;0.943;0.252;0.292;0.228;0.613;0.68;0.589;0.474;0.619;0.744;0.5;0.485;0.501;0.501;0.481;0.511;0.534;0.525;0.534;0.523
transcript38_ENSMSIG00000000513;0.789;1.0;0.836;0.836;0.414;0.28;0.39;0.786;0.628;0.762;0.449;0.575;0.683;0.641;0.618;0.645;0.645;0.625;0.625;0.649;0.666;0.649;0.663
transcript52_ENSMSIG00000000513;0.943;0.836;1.0;1.0;0.28;0.323;0.256;0.652;0.725;0.628;0.519;0.664;0.789;0.532;0.506;0.533;0.533;0.514;0.544;0.54;0.557;0.54;0.554
transcript58_ENSMSIG00000000513;0.943;0.836;1.0;1.0;0.28;0.323;0.256;0.652;0.725;0.628;0.519;0.664;0.789;0.532;0.506;0.533;0.533;0.514;0.544;0.54;0.557;0.54;0.554
transcript38_MGP-SPRETEiJ-G0021131;0.252;0.414;0.28;0.28;1.0;0.775;0.96;0.615;0.452;0.591;0.498;0.35;0.458;0.462;0.446;0.474;0.474;0.454;0.454;0.467;0.484;0.467;0.482
transcript52_MGP-SPRETEiJ-G0021131;0.292;0.28;0.323;0.323;0.775;1.0;0.735;0.477;0.525;0.452;0.596;0.405;0.529;0.352;0.333;0.361;0.361;0.341;0.368;0.358;0.375;0.358;0.373
transcript63_MGP-SPRETEiJ-G0021131;0.228;0.39;0.256;0.256;0.96;0.735;1.0;0.591;0.464;0.606;0.513;0.326;0.434;0.471;0.455;0.454;0.454;0.463;0.434;0.448;0.465;0.448;0.463
transcript38_ENSMUSG00000054036;0.613;0.786;0.652;0.652;0.615;0.477;0.591;1.0;0.837;0.975;0.652;0.714;0.821;0.755;0.725;0.752;0.752;0.732;0.732;0.77;0.787;0.77;0.783
transcript54_ENSMUSG00000054036;0.68;0.628;0.725;0.725;0.452;0.525;0.464;0.837;1.0;0.858;0.779;0.797;0.921;0.658;0.627;0.622;0.622;0.634;0.634;0.642;0.659;0.642;0.655
transcript55_ENSMUSG00000054036;0.589;0.762;0.628;0.628;0.591;0.452;0.606;0.975;0.858;1.0;0.669;0.69;0.798;0.77;0.739;0.732;0.732;0.747;0.713;0.751;0.768;0.751;0.764
transcript58_ENSMUSG00000054036;0.474;0.449;0.519;0.519;0.498;0.596;0.513;0.652;0.779;0.669;1.0;0.597;0.721;0.514;0.491;0.489;0.489;0.499;0.499;0.496;0.513;0.496;0.511
transcript8_MGP-CAROLIEiJ-G0020234;0.619;0.575;0.664;0.664;0.35;0.405;0.326;0.714;0.797;0.69;0.597;1.0;0.875;0.575;0.547;0.574;0.574;0.554;0.585;0.591;0.608;0.591;0.605
transcript47_MGP-CAROLIEiJ-G0020234;0.744;0.683;0.789;0.789;0.458;0.529;0.434;0.821;0.921;0.798;0.721;0.875;1.0;0.663;0.627;0.654;0.654;0.635;0.667;0.678;0.695;0.678;0.692
transcript39_MGP-PahariEiJ-G0020237;0.5;0.641;0.532;0.532;0.462;0.352;0.471;0.755;0.658;0.77;0.514;0.575;0.663;1.0;0.918;0.908;0.908;0.926;0.888;0.947;0.964;0.947;0.959
transcript8_ENSRNOG00000031503;0.485;0.618;0.506;0.506;0.446;0.333;0.455;0.725;0.627;0.739;0.491;0.547;0.627;0.918;1.0;0.972;0.972;0.992;0.951;0.91;0.913;0.91;0.908
transcript31_ENSRNOG00000031503;0.501;0.645;0.533;0.533;0.474;0.361;0.454;0.752;0.622;0.732;0.489;0.574;0.654;0.908;0.972;1.0;1.0;0.979;0.979;0.923;0.939;0.923;0.935
