;ENSCAFT00000007452_90_90;ENSCAFT00000018571_90_90;ENSCAFT00000021391_90_90;ENSCAFT00000021394_90_90;ENSCAFT00000021397_90_90;ENST00000227348_90_90;ENST00000533709_90_90;ENST00000252483_90_90;ENST00000252485_90_90;ENST00000585601_90_90;ENST00000591581_90_90;ENST00000592018_90_90;ENST00000331581_90_90;ENST00000452722_90_90;ENST00000536727_90_90;ENST00000537058_90_90;ENST00000540951_90_90;ENST00000542447_90_90;ENST00000542450_90_90;ENST00000543249_90_90;ENST00000543540_90_90;ENST00000545094_90_90;ENST00000545380_90_90;ENST00000612235_90_90;ENST00000616271_90_90;ENSMUST00000034519_90_90;ENSMUST00000180384_90_90;ENSMUST00000180872_90_90;ENSMUST00000188848_90_90;ENSMUST00000034581_90_90;ENSMUST00000085909_90_90;ENSMUST00000114547_90_90;ENSMUST00000114548_90_90;ENSMUST00000143026_90_90;ENSMUST00000152459_90_90;ENSMUST00000214542_90_90;ENSMUST00000075447_90_90;ENSMUST00000108450_90_90
ENSCAFT00000007452_90_90;1.0;0.556;0.497;0.511;0.529;0.464;0.223;0.902;0.8;0.036;0.345;0.018;0.514;0.508;0.503;0.511;0.0;0.497;0.277;0.272;0.195;0.285;0.5;0.485;0.534;0.297;0.291;0.342;0.286;0.491;0.505;0.503;0.494;0.457;0.508;0.0;0.858;0.78
ENSCAFT00000018571_90_90;0.556;1.0;0.637;0.667;0.661;0.602;0.35;0.525;0.515;0.021;0.238;0.0;0.679;0.643;0.647;0.661;0.0;0.61;0.316;0.278;0.247;0.296;0.613;0.586;0.691;0.325;0.32;0.368;0.315;0.603;0.654;0.636;0.622;0.554;0.672;0.0;0.497;0.497
ENSCAFT00000021391_90_90;0.497;0.637;1.0;0.816;0.876;0.538;0.185;0.462;0.455;0.0;0.163;0.0;0.915;0.913;0.885;0.942;0.057;0.882;0.339;0.365;0.262;0.382;0.876;0.76;0.884;0.469;0.477;0.439;0.472;0.893;0.953;0.924;0.923;0.829;0.927;0.069;0.439;0.439
ENSCAFT00000021394_90_90;0.511;0.667;0.816;1.0;0.867;0.6;0.211;0.475;0.467;0.0;0.16;0.0;0.885;0.828;0.822;0.856;0.0;0.764;0.363;0.399;0.28;0.418;0.769;0.747;0.909;0.419;0.427;0.467;0.422;0.756;0.847;0.818;0.784;0.695;0.875;0.0;0.449;0.449
ENSCAFT00000021397_90_90;0.529;0.661;0.876;0.867;1.0;0.529;0.175;0.491;0.483;0.0;0.166;0.0;0.861;0.914;0.829;0.887;0.0;0.881;0.377;0.414;0.291;0.434;0.887;0.868;0.943;0.432;0.441;0.485;0.435;0.87;0.876;0.903;0.844;0.804;0.851;0.0;0.465;0.465
ENST00000227348_90_90;0.464;0.602;0.538;0.6;0.529;1.0;0.352;0.431;0.423;0.026;0.176;0.0;0.58;0.542;0.554;0.561;0.023;0.514;0.274;0.388;0.223;0.411;0.517;0.459;0.56;0.363;0.373;0.411;0.367;0.508;0.555;0.536;0.528;0.458;0.574;0.023;0.412;0.412
ENST00000533709_90_90;0.223;0.35;0.185;0.211;0.175;0.352;1.0;0.232;0.227;0.058;0.483;0.0;0.221;0.179;0.18;0.2;0.0;0.136;0.0;0.0;0.0;0.0;0.137;0.089;0.209;0.0;0.0;0.0;0.0;0.135;0.198;0.177;0.156;0.084;0.219;0.0;0.238;0.238
ENST00000252483_90_90;0.902;0.525;0.462;0.475;0.491;0.431;0.232;1.0;0.819;0.038;0.362;0.019;0.478;0.472;0.467;0.475;0.0;0.46;0.258;0.254;0.203;0.267;0.462;0.445;0.497;0.267;0.263;0.309;0.257;0.455;0.47;0.467;0.458;0.42;0.473;0.0;0.952;0.798
ENST00000252485_90_90;0.8;0.515;0.455;0.467;0.483;0.423;0.227;0.819;1.0;0.047;0.364;0.0;0.471;0.464;0.459;0.468;0.0;0.452;0.252;0.248;0.198;0.261;0.455;0.437;0.489;0.263;0.258;0.303;0.253;0.447;0.463;0.459;0.451;0.412;0.466;0.0;0.778;0.926
ENST00000585601_90_90;0.036;0.021;0.0;0.0;0.0;0.026;0.058;0.038;0.047;1.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.039;0.05
