;ENSCAFT00000007160_90_90;ENST00000353609_90_90;ENST00000417353_90_90;ENST00000443841_90_90;ENST00000585836_90_90;ENST00000586615_90_90;ENST00000589593_90_90;ENST00000590335_90_90;ENST00000591858_90_90;ENST00000592436_90_90;ENST00000592811_90_90;ENST00000615753_90_90;ENSMUST00000003640_90_90;ENSMUST00000207334_90_90;ENSMUST00000207716_90_90;ENSMUST00000208326_90_90;ENSMUST00000208446_90_90;ENSMUST00000208505_90_90
ENSCAFT00000007160_90_90;1.0;1.0;0.875;0.5;0.625;0.75;0.333;0.444;0.75;0.75;0.5;0.875;1.0;0.875;0.625;0.75;0.75;0.625
ENST00000353609_90_90;1.0;1.0;0.875;0.5;0.625;0.75;0.333;0.444;0.75;0.75;0.5;0.875;1.0;0.875;0.625;0.75;0.75;0.625
ENST00000417353_90_90;0.875;0.875;1.0;0.571;0.714;0.625;0.222;0.5;0.625;0.625;0.375;0.75;0.875;1.0;0.714;0.625;0.625;0.714
ENST00000443841_90_90;0.5;0.5;0.571;1.0;0.8;0.429;0.0;0.125;0.667;0.25;0.143;0.375;0.5;0.571;0.8;0.667;0.25;0.286
ENST00000585836_90_90;0.625;0.625;0.714;0.8;1.0;0.571;0.125;0.25;0.833;0.375;0.286;0.5;0.625;0.714;1.0;0.833;0.375;0.429
ENST00000586615_90_90;0.75;0.75;0.625;0.429;0.571;1.0;0.429;0.222;0.714;0.5;0.667;0.625;0.75;0.625;0.571;0.714;0.5;0.375
ENST00000589593_90_90;0.333;0.333;0.222;0.0;0.125;0.429;1.0;0.286;0.25;0.429;0.6;0.375;0.333;0.222;0.125;0.25;0.429;0.286
ENST00000590335_90_90;0.444;0.444;0.5;0.125;0.25;0.222;0.286;1.0;0.222;0.571;0.286;0.5;0.444;0.5;0.25;0.222;0.571;0.667
ENST00000591858_90_90;0.75;0.75;0.625;0.667;0.833;0.714;0.25;0.222;1.0;0.5;0.429;0.625;0.75;0.625;0.833;1.0;0.5;0.375
ENST00000592436_90_90;0.75;0.75;0.625;0.25;0.375;0.5;0.429;0.571;0.5;1.0;0.667;0.857;0.75;0.625;0.375;0.5;1.0;0.833
ENST00000592811_90_90;0.5;0.5;0.375;0.143;0.286;0.667;0.6;0.286;0.429;0.667;1.0;0.571;0.5;0.375;0.286;0.429;0.667;0.5
ENST00000615753_90_90;0.875;0.875;0.75;0.375;0.5;0.625;0.375;0.5;0.625;0.857;0.571;1.0;0.875;0.75;0.5;0.625;0.857;0.714
ENSMUST00000003640_90_90;1.0;1.0;0.875;0.5;0.625;0.75;0.333;0.444;0.75;0.75;0.5;0.875;1.0;0.875;0.625;0.75;0.75;0.625
ENSMUST00000207334_90_90;0.875;0.875;1.0;0.571;0.714;0.625;0.222;0.5;0.625;0.625;0.375;0.75;0.875;1.0;0.714;0.625;0.625;0.714
ENSMUST00000207716_90_90;0.625;0.625;0.714;0.8;1.0;0.571;0.125;0.25;0.833;0.375;0.286;0.5;0.625;0.714;1.0;0.833;0.375;0.429
ENSMUST00000208326_90_90;0.75;0.75;0.625;0.667;0.833;0.714;0.25;0.222;1.0;0.5;0.429;0.625;0.75;0.625;0.833;1.0;0.5;0.375
ENSMUST00000208446_90_90;0.75;0.75;0.625;0.25;0.375;0.5;0.429;0.571;0.5;1.0;0.667;0.857;0.75;0.625;0.375;0.5;1.0;0.833
ENSMUST00000208505_90_90;0.625;0.625;0.714;0.286;0.429;0.375;0.286;0.667;0.375;0.833;0.5;0.714;0.625;0.714;0.429;0.375;0.833;1.0
