;ENSCAFT00000018209_90_90;ENSCAFT00000043863_90_90;ENST00000264183_90_90;ENST00000349213_90_90;ENST00000366603_90_90;ENST00000418304_90_90;ENST00000421364_90_90;ENST00000444620_90_90;ENST00000474953_90_90;ENSMUST00000039538_90_90;ENSMUST00000110533_90_90;ENSMUST00000110534_90_90;ENSMUST00000110536_90_90;ENSMUST00000129488_90_90;ENSMUST00000151151_90_90;ENSMUST00000222928_90_90
ENSCAFT00000018209_90_90;1.0;0.934;0.996;0.933;0.996;0.368;0.871;0.418;0.446;0.934;0.355;0.995;0.934;0.412;0.021;0.098
ENSCAFT00000043863_90_90;0.934;1.0;0.931;0.996;0.931;0.392;0.805;0.431;0.476;0.996;0.378;0.931;0.996;0.422;0.022;0.103
ENST00000264183_90_90;0.996;0.931;1.0;0.934;1.0;0.368;0.874;0.417;0.447;0.932;0.355;0.996;0.932;0.412;0.02;0.098
ENST00000349213_90_90;0.933;0.996;0.934;1.0;0.934;0.394;0.808;0.431;0.476;0.998;0.38;0.932;0.998;0.425;0.022;0.104
ENST00000366603_90_90;0.996;0.931;1.0;0.934;1.0;0.368;0.874;0.417;0.447;0.932;0.355;0.996;0.932;0.412;0.02;0.098
ENST00000418304_90_90;0.368;0.392;0.368;0.394;0.368;1.0;0.419;0.0;0.0;0.393;0.959;0.367;0.393;0.89;0.0;0.265
ENST00000421364_90_90;0.871;0.805;0.874;0.808;0.874;0.419;1.0;0.474;0.334;0.806;0.404;0.87;0.806;0.468;0.026;0.111
ENST00000444620_90_90;0.418;0.431;0.417;0.431;0.417;0.0;0.474;1.0;0.589;0.43;0.0;0.416;0.43;0.0;0.049;0.0
ENST00000474953_90_90;0.446;0.476;0.447;0.476;0.447;0.0;0.334;0.589;1.0;0.476;0.0;0.446;0.476;0.0;0.038;0.0
ENSMUST00000039538_90_90;0.934;0.996;0.932;0.998;0.932;0.393;0.806;0.43;0.476;1.0;0.38;0.934;1.0;0.424;0.022;0.104
ENSMUST00000110533_90_90;0.355;0.378;0.355;0.38;0.355;0.959;0.404;0.0;0.0;0.38;1.0;0.355;0.38;0.858;0.0;0.271
ENSMUST00000110534_90_90;0.995;0.931;0.996;0.932;0.996;0.367;0.87;0.416;0.446;0.934;0.355;1.0;0.934;0.411;0.02;0.097
ENSMUST00000110536_90_90;0.934;0.996;0.932;0.998;0.932;0.393;0.806;0.43;0.476;1.0;0.38;0.934;1.0;0.424;0.022;0.104
ENSMUST00000129488_90_90;0.412;0.422;0.412;0.425;0.412;0.89;0.468;0.0;0.0;0.424;0.858;0.411;0.424;1.0;0.0;0.237
ENSMUST00000151151_90_90;0.021;0.022;0.02;0.022;0.02;0.0;0.026;0.049;0.038;0.022;0.0;0.02;0.022;0.0;1.0;0.0
ENSMUST00000222928_90_90;0.098;0.103;0.098;0.104;0.098;0.265;0.111;0.0;0.0;0.104;0.271;0.097;0.104;0.237;0.0;1.0
