;ENSCAFT00000022170_90_90;ENST00000264731_90_90;ENST00000320472_90_90;ENST00000354600_90_90;ENST00000392460_90_90;ENST00000392461_90_90;ENST00000392463_90_90;ENST00000418709_90_90;ENST00000434928_90_90;ENST00000437221_90_90;ENST00000440651_90_90;ENST00000449992_90_90;ENST00000456148_90_90;ENSMUST00000040231_90_90;ENSMUST00000065523_90_90;ENSMUST00000115304_90_90;ENSMUST00000115305_90_90;ENSMUST00000115306_90_90;ENSMUST00000115307_90_90;ENSMUST00000115308_90_90;ENSMUST00000115310_90_90
ENSCAFT00000022170_90_90;1.0;0.867;0.667;0.75;0.667;0.562;0.562;0.533;0.118;0.438;0.733;0.688;0.625;0.647;0.562;0.235;0.353;0.625;0.118;0.4;0.75
ENST00000264731_90_90;0.867;1.0;0.786;0.867;0.786;0.667;0.667;0.438;0.118;0.353;0.857;0.8;0.733;0.647;0.562;0.235;0.278;0.625;0.118;0.312;0.75
ENST00000320472_90_90;0.667;0.786;1.0;0.667;0.833;0.833;0.692;0.538;0.143;0.429;0.643;0.6;0.533;0.471;0.571;0.286;0.333;0.438;0.143;0.385;0.562
ENST00000354600_90_90;0.75;0.867;0.667;1.0;0.667;0.786;0.786;0.353;0.188;0.438;0.733;0.929;0.857;0.75;0.471;0.312;0.353;0.733;0.056;0.235;0.647
ENST00000392460_90_90;0.667;0.786;0.833;0.667;1.0;0.692;0.833;0.538;0.143;0.429;0.643;0.6;0.533;0.471;0.692;0.286;0.333;0.438;0.143;0.385;0.562
ENST00000392461_90_90;0.562;0.667;0.833;0.786;0.692;1.0;0.833;0.429;0.231;0.538;0.533;0.714;0.643;0.562;0.467;0.385;0.429;0.533;0.067;0.286;0.471
ENST00000392463_90_90;0.562;0.667;0.692;0.786;0.833;0.833;1.0;0.429;0.231;0.538;0.533;0.714;0.643;0.562;0.571;0.385;0.429;0.533;0.067;0.286;0.471
ENST00000418709_90_90;0.533;0.438;0.538;0.353;0.538;0.429;0.429;1.0;0.167;0.8;0.312;0.294;0.235;0.278;0.429;0.333;0.636;0.235;0.167;0.778;0.353
ENST00000434928_90_90;0.118;0.118;0.143;0.188;0.143;0.231;0.231;0.167;1.0;0.273;0.133;0.125;0.214;0.188;0.143;0.333;0.273;0.214;0.25;0.2;0.118
ENST00000437221_90_90;0.438;0.353;0.429;0.438;0.429;0.538;0.538;0.8;0.273;1.0;0.235;0.375;0.312;0.353;0.333;0.455;0.8;0.312;0.077;0.6;0.278
ENST00000440651_90_90;0.733;0.857;0.643;0.733;0.643;0.533;0.533;0.312;0.133;0.235;1.0;0.667;0.846;0.625;0.533;0.188;0.235;0.714;0.133;0.357;0.733
ENST00000449992_90_90;0.688;0.8;0.6;0.929;0.6;0.714;0.714;0.294;0.125;0.375;0.667;1.0;0.786;0.688;0.412;0.25;0.294;0.667;0.0;0.176;0.588
ENST00000456148_90_90;0.625;0.733;0.533;0.857;0.533;0.643;0.643;0.235;0.214;0.312;0.846;0.786;1.0;0.733;0.438;0.267;0.312;0.846;0.062;0.267;0.625
ENSMUST00000040231_90_90;0.647;0.647;0.471;0.75;0.471;0.562;0.562;0.278;0.188;0.353;0.625;0.688;0.733;1.0;0.667;0.4;0.438;0.857;0.056;0.235;0.867
ENSMUST00000065523_90_90;0.562;0.562;0.571;0.471;0.692;0.467;0.571;0.429;0.143;0.333;0.533;0.412;0.438;0.667;1.0;0.385;0.429;0.533;0.143;0.385;0.786
ENSMUST00000115304_90_90;0.235;0.235;0.286;0.312;0.286;0.385;0.385;0.333;0.333;0.455;0.188;0.25;0.267;0.4;0.385;1.0;0.6;0.267;0.091;0.273;0.312
ENSMUST00000115305_90_90;0.353;0.278;0.333;0.353;0.333;0.429;0.429;0.636;0.273;0.8;0.235;0.294;0.312;0.438;0.429;0.6;1.0;0.312;0.077;0.6;0.353
ENSMUST00000115306_90_90;0.625;0.625;0.438;0.733;0.438;0.533;0.533;0.235;0.214;0.312;0.714;0.667;0.846;0.857;0.533;0.267;0.312;1.0;0.062;0.267;0.733
ENSMUST00000115307_90_90;0.118;0.118;0.143;0.056;0.143;0.067;0.067;0.167;0.25;0.077;0.133;0.0;0.062;0.056;0.143;0.091;0.077;0.062;1.0;0.2;0.118
ENSMUST00000115308_90_90;0.4;0.312;0.385;0.235;0.385;0.286;0.286;0.778;0.2;0.6;0.357;0.176;0.267;0.235;0.385;0.273;0.6;0.267;0.2;1.0;0.312
ENSMUST00000115310_90_90;0.75;0.75;0.562;0.647;0.562;0.471;0.471;0.353;0.118;0.278;0.733;0.588;0.625;0.867;0.786;0.312;0.353;0.733;0.118;0.312;1.0
