;ENSCAFT00000038801_90_90;ENST00000313899_90_90;ENST00000352301_90_90;ENST00000353341_90_90;ENST00000503822_90_90;ENST00000507010_90_90;ENST00000509107_90_90;ENST00000509263_90_90;ENST00000513584_90_90;ENST00000514671_90_90;ENST00000515432_90_90;ENSMUST00000019128_90_90;ENSMUST00000072750_90_90;ENSMUST00000112939_90_90;ENSMUST00000164833_90_90;ENSMUST00000168396_90_90;ENSMUST00000170912_90_90;ENSMUST00000171106_90_90;ENSMUST00000171640_90_90;ENSMUST00000171786_90_90;ENSMUST00000172361_90_90
ENSCAFT00000038801_90_90;;1.0;0.929;0.887;0.501;0.703;0.281;0.655;0.295;0.577;0.332;0.845;0.776;0.887;0.271;0.265;0.057;0.608;0.385;0.303;0.956
ENST00000313899_90_90;1.0;;;;;;;;;;;0.845;0.776;0.887;0.271;0.265;0.057;0.608;0.385;0.303;0.956
ENST00000352301_90_90;0.929;;;;;;;;;;;0.776;0.833;0.952;0.29;0.285;0.061;0.601;0.413;0.326;0.887
ENST00000353341_90_90;0.887;;;;;;;;;;;0.951;0.875;0.776;0.159;0.297;0.066;0.685;0.435;0.342;0.845
ENST00000503822_90_90;0.501;;;;;;;;;;;0.524;0.568;0.501;0.0;0.522;0.12;0.307;0.084;0.418;0.467
ENST00000507010_90_90;0.703;;;;;;;;;;;0.745;0.669;0.595;0.0;0.376;0.086;0.475;0.225;0.438;0.663
ENST00000509107_90_90;0.281;;;;;;;;;;;0.317;0.238;0.211;0.0;0.185;0.209;0.208;0.0;0.209;0.281
ENST00000509263_90_90;0.655;;;;;;;;;;;0.591;0.522;0.587;0.235;0.058;0.08;0.726;0.433;0.425;0.655
ENST00000513584_90_90;0.295;;;;;;;;;;;0.297;0.323;0.285;0.0;0.877;0.0;0.064;0.045;0.1;0.265
ENST00000514671_90_90;0.577;;;;;;;;;;;0.651;0.707;0.621;0.225;0.067;0.099;0.951;0.666;0.526;0.577
ENST00000515432_90_90;0.332;;;;;;;;;;;0.373;0.405;0.357;0.0;0.093;0.176;0.545;0.295;0.918;0.332
ENSMUST00000019128_90_90;0.845;0.845;0.776;0.951;0.524;0.745;0.317;0.591;0.297;0.651;0.373;;;;;;;;;;
ENSMUST00000072750_90_90;0.776;0.776;0.833;0.875;0.568;0.669;0.238;0.522;0.323;0.707;0.405;;;;;;;;;;
ENSMUST00000112939_90_90;0.887;0.887;0.952;0.776;0.501;0.595;0.211;0.587;0.285;0.621;0.357;;;;;;;;;;
ENSMUST00000164833_90_90;0.271;0.271;0.29;0.159;0.0;0.0;0.0;0.235;0.0;0.225;0.0;;;;;;;;;;
ENSMUST00000168396_90_90;0.265;0.265;0.285;0.297;0.522;0.376;0.185;0.058;0.877;0.067;0.093;;;;;;;;;;
ENSMUST00000170912_90_90;0.057;0.057;0.061;0.066;0.12;0.086;0.209;0.08;0.0;0.099;0.176;;;;;;;;;;
ENSMUST00000171106_90_90;0.608;0.608;0.601;0.685;0.307;0.475;0.208;0.726;0.064;0.951;0.545;;;;;;;;;;
ENSMUST00000171640_90_90;0.385;0.385;0.413;0.435;0.084;0.225;0.0;0.433;0.045;0.666;0.295;;;;;;;;;;
ENSMUST00000171786_90_90;0.303;0.303;0.326;0.342;0.418;0.438;0.209;0.425;0.1;0.526;0.918;;;;;;;;;;
ENSMUST00000172361_90_90;0.956;0.956;0.887;0.845;0.467;0.663;0.281;0.655;0.265;0.577;0.332;;;;;;;;;;
