;ENSCAFT00000005462_90_90;ENST00000341049_90_90;ENST00000393467_90_90;ENST00000393468_90_90;ENST00000393470_90_90;ENST00000405348_90_90;ENST00000451122_90_90;ENST00000456473_90_90;ENST00000614113_90_90;ENSMUST00000007799_90_90;ENSMUST00000115453_90_90;ENSMUST00000115454_90_90;ENSMUST00000115455_90_90;ENSMUST00000115456_90_90;ENSMUST00000123439_90_90;ENSMUST00000150901_90_90;ENSMUST00000177234_90_90
ENSCAFT00000005462_90_90;;0.418;0.433;0.433;0.441;0.433;0.048;0.37;0.433;0.843;0.685;0.685;0.552;0.843;0.271;0.334;0.233
ENST00000341049_90_90;0.418;;;;;;;;;0.514;0.433;0.433;0.353;0.514;0.074;0.119;0.124
ENST00000393467_90_90;0.433;;;;;;;;;0.433;0.597;0.597;0.243;0.433;0.109;0.0;0.0
ENST00000393468_90_90;0.433;;;;;;;;;0.433;0.597;0.597;0.243;0.433;0.109;0.0;0.0
ENST00000393470_90_90;0.441;;;;;;;;;0.546;0.463;0.463;0.378;0.546;0.08;0.127;0.133
ENST00000405348_90_90;0.433;;;;;;;;;0.433;0.597;0.597;0.243;0.433;0.109;0.0;0.0
ENST00000451122_90_90;0.048;;;;;;;;;0.12;0.0;0.0;0.151;0.12;0.0;0.154;0.309
ENST00000456473_90_90;0.37;;;;;;;;;0.37;0.502;0.502;0.26;0.37;0.123;0.0;0.0
ENST00000614113_90_90;0.433;;;;;;;;;0.433;0.597;0.597;0.243;0.433;0.109;0.0;0.0
ENSMUST00000007799_90_90;0.843;0.514;0.433;0.433;0.546;0.433;0.12;0.37;0.433;;;;;;;;
ENSMUST00000115453_90_90;0.685;0.433;0.597;0.597;0.463;0.597;0.0;0.502;0.597;;;;;;;;
ENSMUST00000115454_90_90;0.685;0.433;0.597;0.597;0.463;0.597;0.0;0.502;0.597;;;;;;;;
ENSMUST00000115455_90_90;0.552;0.353;0.243;0.243;0.378;0.243;0.151;0.26;0.243;;;;;;;;
ENSMUST00000115456_90_90;0.843;0.514;0.433;0.433;0.546;0.433;0.12;0.37;0.433;;;;;;;;
ENSMUST00000123439_90_90;0.271;0.074;0.109;0.109;0.08;0.109;0.0;0.123;0.109;;;;;;;;
ENSMUST00000150901_90_90;0.334;0.119;0.0;0.0;0.127;0.0;0.154;0.0;0.0;;;;;;;;
ENSMUST00000177234_90_90;0.233;0.124;0.0;0.0;0.133;0.0;0.309;0.0;0.0;;;;;;;;
