;ENSCAFT00000007234_90_90;ENSCAFT00000044406_90_90;ENST00000356360_90_90;ENST00000393346_90_90;ENST00000525162_90_90;ENST00000526033_90_90;ENST00000526961_90_90;ENST00000528256_90_90;ENST00000528398_90_90;ENST00000529016_90_90;ENST00000529760_90_90;ENST00000530542_90_90;ENST00000530692_90_90;ENST00000531558_90_90;ENST00000531930_90_90;ENST00000532041_90_90;ENST00000532317_90_90;ENST00000532603_90_90;ENST00000534412_90_90;ENST00000630913_90_90;ENSMUST00000049537_90_90;ENSMUST00000207084_90_90;ENSMUST00000207225_90_90;ENSMUST00000207484_90_90;ENSMUST00000208089_90_90;ENSMUST00000208684_90_90;ENSMUST00000208730_90_90;ENSMUST00000208742_90_90;ENSMUST00000209068_90_90
ENSCAFT00000007234_90_90;1.0;0.775;0.808;0.847;0.256;0.849;0.286;0.297;0.701;0.246;0.32;0.334;0.208;0.103;0.351;0.198;0.789;0.13;0.103;0.198;0.753;0.654;0.719;0.768;0.396;0.126;0.708;0.78;0.723
ENSCAFT00000044406_90_90;0.775;1.0;0.76;0.801;0.272;0.827;0.273;0.319;0.775;0.281;0.393;0.28;0.29;0.1;0.38;0.227;0.912;0.148;0.1;0.227;0.738;0.601;0.794;0.754;0.51;0.145;0.814;0.736;0.832
ENST00000356360_90_90;0.808;0.76;1.0;0.956;0.284;0.922;0.303;0.329;0.736;0.299;0.323;0.388;0.181;0.114;0.389;0.22;0.83;0.166;0.114;0.22;0.845;0.738;0.756;0.861;0.384;0.141;0.742;0.877;0.76
ENST00000393346_90_90;0.847;0.801;0.956;1.0;0.27;0.966;0.347;0.314;0.779;0.287;0.366;0.403;0.223;0.108;0.37;0.209;0.873;0.159;0.108;0.209;0.885;0.781;0.798;0.902;0.426;0.135;0.784;0.919;0.8
ENST00000525162_90_90;0.256;0.272;0.284;0.27;1.0;0.281;0.0;0.732;0.354;0.0;0.0;0.0;0.0;0.083;0.742;0.261;0.298;0.0;0.083;0.261;0.252;0.219;0.29;0.246;0.0;0.494;0.283;0.252;0.276
ENST00000526033_90_90;0.849;0.827;0.922;0.966;0.281;1.0;0.358;0.327;0.806;0.295;0.376;0.369;0.23;0.113;0.386;0.218;0.902;0.164;0.113;0.218;0.855;0.748;0.822;0.871;0.439;0.139;0.806;0.887;0.824
ENST00000526961_90_90;0.286;0.273;0.303;0.347;0.0;0.358;1.0;0.0;0.315;0.403;0.636;0.54;0.623;0.0;0.0;0.0;0.301;0.419;0.0;0.0;0.373;0.426;0.285;0.366;0.433;0.0;0.306;0.347;0.301
ENST00000528256_90_90;0.297;0.319;0.329;0.314;0.732;0.327;0.0;1.0;0.288;0.0;0.0;0.0;0.0;0.172;0.837;0.462;0.348;0.0;0.172;0.462;0.256;0.171;0.294;0.252;0.0;0.452;0.287;0.257;0.282
ENST00000528398_90_90;0.701;0.775;0.736;0.779;0.354;0.806;0.315;0.288;1.0;0.361;0.46;0.326;0.254;0.039;0.355;0.112;0.855;0.201;0.039;0.112;0.724;0.754;0.824;0.742;0.533;0.173;0.806;0.756;0.826
ENST00000529016_90_90;0.246;0.281;0.299;0.287;0.0;0.295;0.403;0.0;0.361;1.0;0.632;0.556;0.29;0.0;0.0;0.0;0.312;0.364;0.0;0.0;0.265;0.326;0.298;0.281;0.525;0.0;0.292;0.287;0.312
