;ENSCAFT00000018754_90_90;ENSCAFT00000042737_90_90;ENST00000373836_90_90;ENST00000373839_90_90;ENST00000493669_90_90;ENST00000632202_90_90;ENST00000632421_90_90;ENST00000633167_90_90;ENSMUST00000084170_90_90;ENSMUST00000084249_90_90;ENSMUST00000102568_90_90;ENSMUST00000136711_90_90;ENSMUST00000152271_90_90
ENSCAFT00000018754_90_90;1.0;0.973;0.979;0.971;0.072;0.295;0.003;0.12;0.94;0.99;0.979;0.212;0.419
ENSCAFT00000042737_90_90;0.973;1.0;0.991;0.999;0.076;0.303;0.008;0.118;0.96;0.988;0.999;0.206;0.428
ENST00000373836_90_90;0.979;0.991;1.0;0.971;0.067;0.286;0.0;0.137;0.933;0.994;0.971;0.224;0.411
ENST00000373839_90_90;0.971;0.999;0.971;1.0;0.075;0.3;0.007;0.114;0.958;0.968;0.998;0.204;0.427
ENST00000493669_90_90;0.072;0.076;0.067;0.075;1.0;0.277;0.054;0.499;0.081;0.072;0.078;0.311;0.182
ENST00000632202_90_90;0.295;0.303;0.286;0.3;0.277;1.0;0.021;0.385;0.259;0.287;0.299;0.651;0.556
ENST00000632421_90_90;0.003;0.008;0.0;0.007;0.054;0.021;1.0;0.0;0.008;0.0;0.008;0.0;0.018
ENST00000633167_90_90;0.12;0.118;0.137;0.114;0.499;0.385;0.0;1.0;0.083;0.14;0.119;0.394;0.175
ENSMUST00000084170_90_90;0.94;0.96;0.933;0.958;0.081;0.259;0.008;0.083;1.0;0.933;0.961;0.209;0.447
ENSMUST00000084249_90_90;0.99;0.988;0.994;0.968;0.072;0.287;0.0;0.14;0.933;1.0;0.971;0.224;0.413
ENSMUST00000102568_90_90;0.979;0.999;0.971;0.998;0.078;0.299;0.008;0.119;0.961;0.971;1.0;0.201;0.429
ENSMUST00000136711_90_90;0.212;0.206;0.224;0.204;0.311;0.651;0.0;0.394;0.209;0.224;0.201;1.0;0.454
ENSMUST00000152271_90_90;0.419;0.428;0.411;0.427;0.182;0.556;0.018;0.175;0.447;0.413;0.429;0.454;1.0
