;ENSCAFT00000006783_90_90;ENST00000263280_90_90;ENST00000391910_90_90;ENST00000435164_90_90;ENST00000539396_90_90;ENST00000593979_90_90;ENST00000594287_90_90;ENST00000594704_90_90;ENST00000596012_90_90;ENST00000597021_90_90;ENST00000597063_90_90;ENST00000600358_90_90;ENST00000600615_90_90;ENSMUST00000019220_90_90;ENSMUST00000108495_90_90;ENSMUST00000184280_90_90;ENSMUST00000184694_90_90;ENSMUST00000184708_90_90;ENSMUST00000185011_90_90
ENSCAFT00000006783_90_90;1.0;0.835;0.855;0.282;0.732;0.222;0.3;0.176;0.104;0.161;0.186;0.386;0.182;0.914;0.893;0.244;0.182;0.37;0.081
ENST00000263280_90_90;0.835;1.0;0.978;0.305;0.829;0.222;0.296;0.199;0.104;0.161;0.187;0.382;0.205;0.909;0.928;0.225;0.205;0.325;0.06
ENST00000391910_90_90;0.855;0.978;1.0;0.299;0.81;0.216;0.315;0.195;0.102;0.158;0.182;0.4;0.202;0.93;0.909;0.221;0.202;0.344;0.079
ENST00000435164_90_90;0.282;0.305;0.299;1.0;0.367;0.621;0.0;0.147;0.292;0.451;0.523;0.42;0.0;0.277;0.283;0.238;0.0;0.428;0.0
ENST00000539396_90_90;0.732;0.829;0.81;0.367;1.0;0.269;0.347;0.077;0.126;0.195;0.227;0.446;0.246;0.778;0.795;0.13;0.246;0.381;0.07
ENST00000593979_90_90;0.222;0.222;0.216;0.621;0.269;1.0;0.0;0.201;0.477;0.726;0.84;0.28;0.0;0.216;0.222;0.316;0.0;0.309;0.0
ENST00000594287_90_90;0.3;0.296;0.315;0.0;0.347;0.0;1.0;0.0;0.0;0.0;0.0;0.337;0.176;0.315;0.296;0.0;0.176;0.261;0.363
ENST00000594704_90_90;0.176;0.199;0.195;0.147;0.077;0.201;0.0;1.0;0.283;0.237;0.221;0.049;0.0;0.174;0.177;0.642;0.0;0.052;0.0
ENST00000596012_90_90;0.104;0.104;0.102;0.292;0.126;0.477;0.0;0.283;1.0;0.654;0.569;0.102;0.0;0.102;0.104;0.299;0.0;0.112;0.0
ENST00000597021_90_90;0.161;0.161;0.158;0.451;0.195;0.726;0.0;0.237;0.654;1.0;0.865;0.187;0.0;0.158;0.161;0.367;0.0;0.206;0.0
ENST00000597063_90_90;0.186;0.187;0.182;0.523;0.227;0.84;0.0;0.221;0.569;0.865;1.0;0.224;0.0;0.182;0.187;0.345;0.0;0.247;0.0
ENST00000600358_90_90;0.386;0.382;0.4;0.42;0.446;0.28;0.337;0.049;0.102;0.187;0.224;1.0;0.0;0.38;0.361;0.114;0.0;0.822;0.301
ENST00000600615_90_90;0.182;0.205;0.202;0.0;0.246;0.0;0.176;0.0;0.0;0.0;0.0;0.0;1.0;0.202;0.205;0.0;1.0;0.0;0.0
ENSMUST00000019220_90_90;0.914;0.909;0.93;0.277;0.778;0.216;0.315;0.174;0.102;0.158;0.182;0.38;0.202;1.0;0.978;0.24;0.202;0.364;0.079
ENSMUST00000108495_90_90;0.893;0.928;0.909;0.283;0.795;0.222;0.296;0.177;0.104;0.161;0.187;0.361;0.205;0.978;1.0;0.245;0.205;0.345;0.06
ENSMUST00000184280_90_90;0.244;0.225;0.221;0.238;0.13;0.316;0.0;0.642;0.299;0.367;0.345;0.114;0.0;0.24;0.245;1.0;0.0;0.122;0.0
ENSMUST00000184694_90_90;0.182;0.205;0.202;0.0;0.246;0.0;0.176;0.0;0.0;0.0;0.0;0.0;1.0;0.202;0.205;0.0;1.0;0.0;0.0
ENSMUST00000184708_90_90;0.37;0.325;0.344;0.428;0.381;0.309;0.261;0.052;0.112;0.206;0.247;0.822;0.0;0.364;0.345;0.122;0.0;1.0;0.373
ENSMUST00000185011_90_90;0.081;0.06;0.079;0.0;0.07;0.0;0.363;0.0;0.0;0.0;0.0;0.301;0.0;0.079;0.06;0.0;0.0;0.373;1.0
