;ENSCAFT00000007234_90_90;ENSCAFT00000044406_90_90;ENST00000356360_90_90;ENST00000393346_90_90;ENST00000525162_90_90;ENST00000526033_90_90;ENST00000526961_90_90;ENST00000528256_90_90;ENST00000528398_90_90;ENST00000529016_90_90;ENST00000529760_90_90;ENST00000530542_90_90;ENST00000530692_90_90;ENST00000531558_90_90;ENST00000531930_90_90;ENST00000532041_90_90;ENST00000532317_90_90;ENST00000532603_90_90;ENST00000534412_90_90;ENST00000630913_90_90;ENSMUST00000049537_90_90;ENSMUST00000207084_90_90;ENSMUST00000207225_90_90;ENSMUST00000207484_90_90;ENSMUST00000208089_90_90;ENSMUST00000208684_90_90;ENSMUST00000208730_90_90;ENSMUST00000208742_90_90;ENSMUST00000209068_90_90
ENSCAFT00000007234_90_90;1.0;0.779;0.897;0.945;0.275;0.927;0.322;0.293;0.776;0.27;0.353;0.378;0.23;0.103;0.354;0.177;0.844;0.141;0.103;0.177;0.887;0.758;0.825;0.907;0.433;0.128;0.806;0.928;0.827
ENSCAFT00000044406_90_90;0.779;1.0;0.81;0.857;0.271;0.84;0.291;0.288;0.806;0.294;0.415;0.319;0.303;0.089;0.352;0.19;0.921;0.154;0.089;0.19;0.843;0.671;0.859;0.863;0.531;0.138;0.883;0.841;0.903
ENST00000356360_90_90;0.897;0.81;1.0;0.954;0.284;0.917;0.315;0.3;0.766;0.327;0.348;0.403;0.187;0.105;0.363;0.183;0.835;0.172;0.105;0.183;0.898;0.766;0.817;0.918;0.41;0.134;0.8;0.938;0.82
ENST00000393346_90_90;0.945;0.857;0.954;1.0;0.269;0.964;0.36;0.285;0.813;0.312;0.394;0.419;0.231;0.1;0.345;0.174;0.88;0.164;0.1;0.174;0.945;0.813;0.864;0.963;0.456;0.128;0.846;0.984;0.865
ENST00000525162_90_90;0.275;0.271;0.284;0.269;1.0;0.281;0.0;0.773;0.334;0.0;0.0;0.0;0.0;0.096;0.783;0.252;0.293;0.0;0.096;0.252;0.253;0.212;0.29;0.248;0.0;0.486;0.282;0.254;0.276
ENST00000526033_90_90;0.927;0.84;0.917;0.964;0.281;1.0;0.373;0.298;0.843;0.323;0.406;0.382;0.239;0.104;0.36;0.181;0.913;0.17;0.104;0.181;0.908;0.776;0.896;0.928;0.47;0.132;0.877;0.948;0.896
ENST00000526961_90_90;0.322;0.291;0.315;0.36;0.0;0.373;1.0;0.0;0.337;0.44;0.671;0.54;0.623;0.0;0.0;0.0;0.33;0.419;0.0;0.0;0.395;0.441;0.319;0.387;0.463;0.0;0.343;0.365;0.336
ENST00000528256_90_90;0.293;0.288;0.3;0.285;0.773;0.298;0.0;1.0;0.282;0.0;0.0;0.0;0.0;0.164;0.823;0.403;0.311;0.0;0.164;0.403;0.269;0.17;0.308;0.264;0.0;0.468;0.3;0.269;0.293
ENST00000528398_90_90;0.776;0.806;0.766;0.813;0.334;0.843;0.337;0.282;1.0;0.381;0.479;0.348;0.254;0.041;0.351;0.099;0.883;0.201;0.041;0.099;0.762;0.78;0.863;0.78;0.552;0.157;0.844;0.797;0.865
ENST00000529016_90_90;0.27;0.294;0.327;0.312;0.0;0.323;0.44;0.0;0.381;1.0;0.651;0.592;0.281;0.0;0.0;0.0;0.338;0.343;0.0;0.0;0.29;0.353;0.328;0.309;0.544;0.0;0.321;0.316;0.343
ENST00000529760_90_90;0.353;0.415;0.348;0.394;0.0;0.406;0.671;0.0;0.479;0.651;1.0;0.602;0.517;0.0;0.0;0.0;0.459;0.384;0.0;0.0;0.428;0.482;0.451;0.42;0.689;0.0;0.476;0.399;0.467
ENST00000530542_90_90;0.378;0.319;0.403;0.419;0.0;0.382;0.54;0.0;0.348;0.592;0.602;1.0;0.33;0.0;0.0;0.0;0.311;0.21;0.0;0.0;0.424;0.515;0.328;0.416;0.513;0.0;0.321;0.425;0.316
ENST00000530692_90_90;0.23;0.303;0.187;0.231;0.0;0.239;0.623;0.0;0.254;0.281;0.517;0.33;1.0;0.0;0.0;0.0;0.255;0.446;0.0;0.0;0.26;0.28;0.239;0.255;0.48;0.0;0.263;0.234;0.258
ENST00000531558_90_90;0.103;0.089;0.105;0.1;0.096;0.104;0.0;0.164;0.041;0.0;0.0;0.0;0.0;1.0;0.139;0.323;0.109;0.0;1.0;0.323;0.101;0.039;0.117;0.099;0.0;0.0;0.113;0.102;0.111
ENST00000531930_90_90;0.354;0.352;0.363;0.345;0.783;0.36;0.0;0.823;0.351;0.0;0.0;0.0;0.0;0.139;1.0;0.341;0.376;0.0;0.139;0.341;0.329;0.234;0.377;0.322;0.0;0.383;0.367;0.33;0.358
ENST00000532041_90_90;0.177;0.19;0.183;0.174;0.252;0.181;0.0;0.403;0.099;0.0;0.0;0.0;0.0;0.323;0.341;1.0;0.19;0.0;0.323;1.0;0.158;0.045;0.18;0.155;0.0;0.323;0.176;0.159;0.172
ENST00000532317_90_90;0.844;0.921;0.835;0.88;0.293;0.913;0.33;0.311;0.883;0.338;0.459;0.311;0.255;0.109;0.376;0.19;1.0;0.178;0.109;0.19;0.867;0.698;0.938;0.886;0.491;0.139;0.961;0.865;0.982
