;ENSCAFT00000017864_90_90;ENST00000318445_90_90;ENST00000424469_90_90;ENST00000553304_90_90;ENST00000555210_90_90;ENST00000555892_90_90;ENSMUST00000026897_90_90;ENSMUST00000098371_90_90;ENSMUST00000107453_90_90;ENSMUST00000134539_90_90;ENSMUST00000138099_90_90
ENSCAFT00000017864_90_90;1.0;0.96;0.853;0.143;0.129;0.088;0.778;0.776;0.899;0.325;0.198
ENST00000318445_90_90;0.96;1.0;0.778;0.108;0.116;0.082;0.764;0.738;0.922;0.321;0.148
ENST00000424469_90_90;0.853;0.778;1.0;0.116;0.134;0.091;0.748;0.807;0.902;0.314;0.147
ENST00000553304_90_90;0.143;0.108;0.116;1.0;0.0;0.0;0.129;0.126;0.135;0.354;0.835
ENST00000555210_90_90;0.129;0.116;0.134;0.0;1.0;0.651;0.164;0.157;0.157;0.0;0.0
ENST00000555892_90_90;0.088;0.082;0.091;0.0;0.651;1.0;0.106;0.103;0.106;0.0;0.0
ENSMUST00000026897_90_90;0.778;0.764;0.748;0.129;0.164;0.106;1.0;0.889;0.727;0.354;0.141
ENSMUST00000098371_90_90;0.776;0.738;0.807;0.126;0.157;0.103;0.889;1.0;0.736;0.358;0.143
ENSMUST00000107453_90_90;0.899;0.922;0.902;0.135;0.157;0.106;0.727;0.736;1.0;0.348;0.15
ENSMUST00000134539_90_90;0.325;0.321;0.314;0.354;0.0;0.0;0.354;0.358;0.348;1.0;0.361
ENSMUST00000138099_90_90;0.198;0.148;0.147;0.835;0.0;0.0;0.141;0.143;0.15;0.361;1.0
