;ENSCAFT00000014740_90_90;ENST00000262493_90_90;ENST00000262494_90_90;ENST00000562316_90_90;ENST00000563661_90_90;ENST00000564727_90_90;ENST00000568375_90_90;ENST00000569295_90_90;ENST00000570235_90_90;ENST00000638705_90_90;ENST00000639268_90_90;ENST00000639341_90_90;ENST00000639770_90_90;ENST00000640469_90_90;ENST00000640893_90_90;ENSMUST00000034198_90_90;ENSMUST00000125716_90_90;ENSMUST00000127900_90_90;ENSMUST00000137202_90_90;ENSMUST00000138659_90_90;ENSMUST00000142466_90_90;ENSMUST00000149530_90_90
ENSCAFT00000014740_90_90;1.0;0.781;0.97;0.448;0.289;0.042;0.171;0.194;0.164;0.781;0.195;0.293;0.119;0.129;0.411;0.811;0.811;0.288;0.607;1.0;0.042;0.042
ENST00000262493_90_90;0.781;1.0;0.639;0.474;0.284;0.235;0.222;0.147;0.142;1.0;0.181;0.526;0.105;0.376;0.406;0.974;0.974;0.241;0.528;0.615;0.24;0.13
ENST00000262494_90_90;0.97;0.639;1.0;0.38;0.308;0.034;0.161;0.159;0.154;0.639;0.195;0.231;0.113;0.102;0.442;0.615;0.615;0.258;0.577;0.97;0.035;0.037
ENST00000562316_90_90;0.448;0.474;0.38;1.0;0.0;0.252;0.239;0.0;0.0;0.474;0.13;0.495;0.0;0.29;0.132;0.474;0.474;0.116;0.444;0.38;0.252;0.356
ENST00000563661_90_90;0.289;0.284;0.308;0.0;1.0;0.0;0.0;0.445;0.388;0.284;0.127;0.0;0.299;0.0;0.673;0.267;0.267;0.277;0.212;0.289;0.0;0.0
ENST00000564727_90_90;0.042;0.235;0.034;0.252;0.0;1.0;0.266;0.0;0.0;0.235;0.0;0.43;0.0;0.587;0.0;0.235;0.235;0.0;0.0;0.034;1.0;0.548
ENST00000568375_90_90;0.171;0.222;0.161;0.239;0.0;0.266;1.0;0.0;0.0;0.222;0.0;0.424;0.0;0.445;0.0;0.222;0.222;0.0;0.133;0.161;0.266;0.097
ENST00000569295_90_90;0.194;0.147;0.159;0.0;0.445;0.0;0.0;1.0;0.618;0.147;0.0;0.0;0.495;0.0;0.35;0.176;0.176;0.064;0.076;0.194;0.0;0.0
ENST00000570235_90_90;0.164;0.142;0.154;0.0;0.388;0.0;0.0;0.618;1.0;0.142;0.0;0.0;0.408;0.0;0.319;0.151;0.151;0.0;0.039;0.164;0.0;0.0
ENST00000638705_90_90;0.781;1.0;0.639;0.474;0.284;0.235;0.222;0.147;0.142;1.0;0.181;0.526;0.105;0.376;0.406;0.974;0.974;0.241;0.528;0.615;0.24;0.13
ENST00000639268_90_90;0.195;0.181;0.195;0.13;0.127;0.0;0.0;0.0;0.0;0.181;1.0;0.0;0.0;0.0;0.106;0.181;0.181;0.675;0.335;0.195;0.0;0.0
ENST00000639341_90_90;0.293;0.526;0.231;0.495;0.0;0.43;0.424;0.0;0.0;0.526;0.0;1.0;0.0;0.713;0.099;0.526;0.526;0.0;0.232;0.231;0.43;0.227
ENST00000639770_90_90;0.119;0.105;0.113;0.0;0.299;0.0;0.0;0.495;0.408;0.105;0.0;0.0;1.0;0.0;0.241;0.111;0.111;0.0;0.042;0.119;0.0;0.0
ENST00000640469_90_90;0.129;0.376;0.102;0.29;0.0;0.587;0.445;0.0;0.0;0.376;0.0;0.713;0.0;1.0;0.0;0.376;0.376;0.0;0.06;0.102;0.587;0.305
ENST00000640893_90_90;0.411;0.406;0.442;0.132;0.673;0.0;0.0;0.35;0.319;0.406;0.106;0.099;0.241;0.0;1.0;0.38;0.38;0.218;0.381;0.411;0.0;0.0
ENSMUST00000034198_90_90;0.811;0.974;0.615;0.474;0.267;0.235;0.222;0.176;0.151;0.974;0.181;0.526;0.111;0.376;0.38;1.0;1.0;0.266;0.554;0.639;0.235;0.128
ENSMUST00000125716_90_90;0.811;0.974;0.615;0.474;0.267;0.235;0.222;0.176;0.151;0.974;0.181;0.526;0.111;0.376;0.38;1.0;1.0;0.266;0.554;0.639;0.235;0.128
ENSMUST00000127900_90_90;0.288;0.241;0.258;0.116;0.277;0.0;0.0;0.064;0.0;0.241;0.675;0.0;0.0;0.0;0.218;0.266;0.266;1.0;0.488;0.288;0.0;0.0
ENSMUST00000137202_90_90;0.607;0.528;0.577;0.444;0.212;0.0;0.133;0.076;0.039;0.528;0.335;0.232;0.042;0.06;0.381;0.554;0.554;0.488;1.0;0.607;0.0;0.0
ENSMUST00000138659_90_90;1.0;0.615;0.97;0.38;0.289;0.034;0.161;0.194;0.164;0.615;0.195;0.231;0.119;0.102;0.411;0.639;0.639;0.288;0.607;1.0;0.034;0.036
ENSMUST00000142466_90_90;0.042;0.24;0.035;0.252;0.0;1.0;0.266;0.0;0.0;0.24;0.0;0.43;0.0;0.587;0.0;0.235;0.235;0.0;0.0;0.034;1.0;0.548
ENSMUST00000149530_90_90;0.042;0.13;0.037;0.356;0.0;0.548;0.097;0.0;0.0;0.13;0.0;0.227;0.0;0.305;0.0;0.128;0.128;0.0;0.0;0.036;0.548;1.0
