;ENSCAFT00000025873_90_90;ENSCAFT00000025875_90_90;ENST00000315266_90_90;ENST00000459628_90_90;ENST00000478722_90_90;ENST00000543237_90_90;ENST00000553936_90_90;ENST00000555456_90_90;ENST00000555503_90_90;ENST00000555668_90_90;ENST00000556240_90_90;ENST00000556633_90_90;ENST00000557654_90_90;ENSMUST00000052472_90_90;ENSMUST00000110388_90_90
ENSCAFT00000025873_90_90;1.0;0.568;0.845;0.382;0.75;0.949;0.064;0.354;0.143;0.105;0.031;0.106;0.105;1.0;0.818
ENSCAFT00000025875_90_90;0.568;1.0;0.632;0.417;0.779;0.58;0.0;0.235;0.176;0.0;0.043;0.0;0.0;0.59;0.754
ENST00000315266_90_90;0.845;0.632;1.0;0.418;0.87;0.899;0.039;0.331;0.149;0.107;0.033;0.145;0.107;0.872;0.835
ENST00000459628_90_90;0.382;0.417;0.418;1.0;0.539;0.42;0.052;0.363;0.0;0.138;0.0;0.142;0.138;0.371;0.512
ENST00000478722_90_90;0.75;0.779;0.87;0.539;1.0;0.797;0.034;0.291;0.139;0.091;0.028;0.119;0.091;0.784;0.952
ENST00000543237_90_90;0.949;0.58;0.899;0.42;0.797;1.0;0.035;0.346;0.139;0.096;0.028;0.127;0.096;0.947;0.784
ENST00000553936_90_90;0.064;0.0;0.039;0.052;0.034;0.035;1.0;0.0;0.0;0.231;0.0;0.241;0.231;0.067;0.062
ENST00000555456_90_90;0.354;0.235;0.331;0.363;0.291;0.346;0.0;1.0;0.0;0.0;0.0;0.054;0.0;0.366;0.302
ENST00000555503_90_90;0.143;0.176;0.149;0.0;0.139;0.139;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.147;0.144
ENST00000555668_90_90;0.105;0.0;0.107;0.138;0.091;0.096;0.231;0.0;0.0;1.0;0.0;0.715;1.0;0.11;0.102
ENST00000556240_90_90;0.031;0.043;0.033;0.0;0.028;0.028;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.033;0.03
ENST00000556633_90_90;0.106;0.0;0.145;0.142;0.119;0.127;0.241;0.054;0.0;0.715;0.0;1.0;0.715;0.111;0.103
ENST00000557654_90_90;0.105;0.0;0.107;0.138;0.091;0.096;0.231;0.0;0.0;1.0;0.0;0.715;1.0;0.11;0.102
ENSMUST00000052472_90_90;1.0;0.59;0.872;0.371;0.784;0.947;0.067;0.366;0.147;0.11;0.033;0.111;0.11;1.0;0.803
ENSMUST00000110388_90_90;0.818;0.754;0.835;0.512;0.952;0.784;0.062;0.302;0.144;0.102;0.03;0.103;0.102;0.803;1.0
