;transcript27_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript34_ENSRNOG00000031503;transcript33_ENSMUSG00000054036;transcript33_MGP-PahariEiJ-G0020237;transcript27_ENSMUGG00000013649;transcript40_ENSMUGG00000013649;transcript39_ENSMUGG00000013592;transcript49_ENSMUGG00000013649;transcript38_ENSMUGG00000013649;transcript45_ENSMUGG00000013649;transcript46_ENSMUGG00000013649
transcript27_ENSRNOG00000031503;1.0;0.179;1.0;1.0;1.0;1.0;1.0;1.0;0.893;0.929;0.929;0.857
transcript37_ENSMUGG00000013649;0.179;1.0;0.179;0.111;0.121;0.125;0.125;0.125;0.079;0.105;0.105;0.053
transcript34_ENSRNOG00000031503;1.0;0.179;1.0;1.0;1.0;1.0;1.0;1.0;0.893;0.929;0.929;0.857
transcript33_ENSMUSG00000054036;1.0;0.111;1.0;1.0;1.0;1.0;1.0;1.0;0.972;1.0;1.0;0.944
transcript33_MGP-PahariEiJ-G0020237;1.0;0.121;1.0;1.0;1.0;1.0;1.0;1.0;0.97;1.0;1.0;0.939
transcript27_ENSMUGG00000013649;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.925;0.925;0.875
transcript40_ENSMUGG00000013649;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.925;0.925;0.875
transcript39_ENSMUGG00000013592;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.925;0.925;0.875
transcript49_ENSMUGG00000013649;0.893;0.079;0.893;0.972;0.97;0.9;0.9;0.9;1.0;0.973;0.973;0.972
transcript38_ENSMUGG00000013649;0.929;0.105;0.929;1.0;1.0;0.925;0.925;0.925;0.973;1.0;1.0;0.946
transcript45_ENSMUGG00000013649;0.929;0.105;0.929;1.0;1.0;0.925;0.925;0.925;0.973;1.0;1.0;0.946
transcript46_ENSMUGG00000013649;0.857;0.053;0.857;0.944;0.939;0.875;0.875;0.875;0.972;0.946;0.946;1.0
