;ENSCAFT00000031036_90_90;ENSCAFT00000043222_90_90;ENST00000164247_90_90;ENST00000341524_90_90;ENST00000352527_90_90;ENST00000378083_90_90;ENST00000378092_90_90;ENST00000378097_90_90;ENST00000378111_90_90;ENST00000389632_90_90;ENST00000428161_90_90;ENST00000445501_90_90;ENST00000458166_90_90;ENST00000462676_90_90;ENST00000472700_90_90;ENST00000602612_90_90;ENSMUST00000030768_90_90;ENSMUST00000105648_90_90;ENSMUST00000159186_90_90;ENSMUST00000159840_90_90;ENSMUST00000160884_90_90;ENSMUST00000161236_90_90;ENSMUST00000162017_90_90
ENSCAFT00000031036_90_90;1.0;0.552;0.462;0.462;0.5;0.864;0.5;0.462;0.192;0.308;0.417;0.077;0.409;0.091;0.24;0.462;0.833;0.75;0.8;0.833;0.75;0.35;0.0
ENSCAFT00000043222_90_90;0.552;1.0;0.8;0.8;0.7;0.5;0.7;0.8;0.45;0.6;0.6;0.3;0.45;0.1;0.45;0.8;0.8;0.9;0.95;0.8;0.9;0.5;0.158
ENST00000164247_90_90;0.462;0.8;1.0;1.0;0.9;0.5;0.9;1.0;0.429;0.7;0.619;0.3;0.65;0.043;0.348;0.818;0.737;0.842;0.762;0.737;0.842;0.529;0.188
ENST00000341524_90_90;0.462;0.8;1.0;1.0;0.9;0.5;0.9;1.0;0.429;0.7;0.619;0.3;0.65;0.043;0.348;0.818;0.737;0.842;0.762;0.737;0.842;0.529;0.188
ENST00000352527_90_90;0.5;0.7;0.9;0.9;1.0;0.533;1.0;0.9;0.333;0.6;0.684;0.2;0.722;0.048;0.261;0.727;0.824;0.737;0.667;0.824;0.737;0.412;0.133
ENST00000378083_90_90;0.864;0.5;0.5;0.5;0.533;1.0;0.533;0.5;0.152;0.312;0.355;0.062;0.464;0.032;0.147;0.412;0.632;0.571;0.667;0.632;0.571;0.263;0.0
ENST00000378092_90_90;0.5;0.7;0.9;0.9;1.0;0.533;1.0;0.9;0.333;0.6;0.684;0.2;0.722;0.048;0.261;0.727;0.824;0.737;0.667;0.824;0.737;0.412;0.133
ENST00000378097_90_90;0.462;0.8;1.0;1.0;0.9;0.5;0.9;1.0;0.429;0.7;0.619;0.3;0.65;0.043;0.348;0.818;0.737;0.842;0.762;0.737;0.842;0.529;0.188
ENST00000378111_90_90;0.192;0.45;0.429;0.429;0.333;0.152;0.333;0.429;1.0;0.6;0.412;0.6;0.095;0.077;0.615;0.429;0.316;0.421;0.381;0.316;0.421;0.8;0.375
ENST00000389632_90_90;0.308;0.6;0.7;0.7;0.6;0.312;0.6;0.7;0.6;1.0;0.75;0.429;0.35;0.059;0.471;0.7;0.526;0.632;0.571;0.526;0.632;0.692;0.25
ENST00000428161_90_90;0.417;0.6;0.619;0.619;0.684;0.355;0.684;0.619;0.412;0.75;1.0;0.25;0.421;0.059;0.316;0.619;0.706;0.632;0.571;0.706;0.632;0.467;0.154
ENST00000445501_90_90;0.077;0.3;0.3;0.3;0.2;0.062;0.2;0.3;0.6;0.429;0.25;1.0;0.0;0.0;0.417;0.3;0.158;0.263;0.238;0.158;0.263;0.5;0.6
ENST00000458166_90_90;0.409;0.45;0.65;0.65;0.722;0.464;0.722;0.65;0.095;0.35;0.421;0.0;1.0;0.062;0.091;0.5;0.588;0.526;0.476;0.588;0.526;0.176;0.0
ENST00000462676_90_90;0.091;0.1;0.043;0.043;0.048;0.032;0.048;0.043;0.077;0.059;0.059;0.0;0.062;1.0;0.25;0.043;0.118;0.105;0.095;0.118;0.105;0.2;0.0
ENST00000472700_90_90;0.24;0.45;0.348;0.348;0.261;0.147;0.261;0.348;0.615;0.471;0.316;0.417;0.091;0.25;1.0;0.348;0.316;0.421;0.381;0.316;0.421;0.8;0.222
ENST00000602612_90_90;0.462;0.8;0.818;0.818;0.727;0.412;0.727;0.818;0.429;0.7;0.619;0.3;0.5;0.043;0.348;1.0;0.737;0.842;0.762;0.737;0.842;0.529;0.188
ENSMUST00000030768_90_90;0.833;0.8;0.737;0.737;0.824;0.632;0.824;0.737;0.316;0.526;0.706;0.158;0.588;0.118;0.316;0.737;1.0;0.9;0.818;1.0;0.9;0.45;0.105
ENSMUST00000105648_90_90;0.75;0.9;0.842;0.842;0.737;0.571;0.737;0.842;0.421;0.632;0.632;0.263;0.526;0.105;0.421;0.842;0.9;1.0;0.909;0.9;1.0;0.55;0.15
ENSMUST00000159186_90_90;0.8;0.95;0.762;0.762;0.667;0.667;0.667;0.762;0.381;0.571;0.571;0.238;0.476;0.095;0.381;0.762;0.818;0.909;1.0;0.818;0.909;0.5;0.136
ENSMUST00000159840_90_90;0.833;0.8;0.737;0.737;0.824;0.632;0.824;0.737;0.316;0.526;0.706;0.158;0.588;0.118;0.316;0.737;1.0;0.9;0.818;1.0;0.9;0.45;0.105
ENSMUST00000160884_90_90;0.75;0.9;0.842;0.842;0.737;0.571;0.737;0.842;0.421;0.632;0.632;0.263;0.526;0.105;0.421;0.842;0.9;1.0;0.909;0.9;1.0;0.55;0.15
ENSMUST00000161236_90_90;0.35;0.5;0.529;0.529;0.412;0.263;0.412;0.529;0.8;0.692;0.467;0.5;0.176;0.2;0.8;0.529;0.45;0.55;0.5;0.45;0.55;1.0;0.273
ENSMUST00000162017_90_90;0.0;0.158;0.188;0.188;0.133;0.0;0.133;0.188;0.375;0.25;0.154;0.6;0.0;0.0;0.222;0.188;0.105;0.15;0.136;0.105;0.15;0.273;1.0
