;ENSCAFT00000023019_90_90;ENST00000221222_90_90;ENST00000392351_90_90;ENST00000433218_90_90;ENST00000539827_90_90;ENST00000542541_90_90;ENST00000594439_90_90;ENST00000594794_90_90;ENST00000596482_90_90;ENST00000599097_90_90;ENST00000600077_90_90;ENSMUST00000003669_90_90;ENSMUST00000087467_90_90;ENSMUST00000110124_90_90;ENSMUST00000135368_90_90;ENSMUST00000140212_90_90
ENSCAFT00000023019_90_90;1.0;0.983;0.992;0.983;0.992;0.992;0.892;0.414;0.676;0.238;0.419;0.997;0.265;0.997;0.256;0.989
ENST00000221222_90_90;0.983;1.0;0.992;1.0;0.992;0.992;0.892;0.413;0.68;0.239;0.421;0.986;0.266;0.986;0.247;0.978
ENST00000392351_90_90;0.992;0.992;1.0;0.992;1.0;1.0;0.9;0.421;0.674;0.237;0.417;0.994;0.264;0.994;0.256;0.986
ENST00000433218_90_90;0.983;1.0;0.992;1.0;0.992;0.992;0.892;0.413;0.68;0.239;0.421;0.986;0.266;0.986;0.247;0.978
ENST00000539827_90_90;0.992;0.992;1.0;0.992;1.0;1.0;0.9;0.421;0.674;0.237;0.417;0.994;0.264;0.994;0.256;0.986
ENST00000542541_90_90;0.992;0.992;1.0;0.992;1.0;1.0;0.9;0.421;0.674;0.237;0.417;0.994;0.264;0.994;0.256;0.986
ENST00000594439_90_90;0.892;0.892;0.9;0.892;0.9;0.9;1.0;0.468;0.574;0.264;0.318;0.895;0.292;0.895;0.284;0.886
ENST00000594794_90_90;0.414;0.413;0.421;0.413;0.421;0.421;0.468;1.0;0.095;0.02;0.016;0.416;0.017;0.416;0.481;0.407
ENST00000596482_90_90;0.676;0.68;0.674;0.68;0.674;0.674;0.574;0.095;1.0;0.352;0.619;0.678;0.382;0.678;0.096;0.684
ENST00000599097_90_90;0.238;0.239;0.237;0.239;0.237;0.237;0.264;0.02;0.352;1.0;0.569;0.239;0.702;0.239;0.0;0.241
ENST00000600077_90_90;0.419;0.421;0.417;0.421;0.417;0.417;0.318;0.016;0.619;0.569;1.0;0.42;0.588;0.42;0.0;0.423
ENSMUST00000003669_90_90;0.997;0.986;0.994;0.986;0.994;0.994;0.895;0.416;0.678;0.239;0.42;1.0;0.266;1.0;0.257;0.992
ENSMUST00000087467_90_90;0.265;0.266;0.264;0.266;0.264;0.264;0.292;0.017;0.382;0.702;0.588;0.266;1.0;0.266;0.0;0.268
ENSMUST00000110124_90_90;0.997;0.986;0.994;0.986;0.994;0.994;0.895;0.416;0.678;0.239;0.42;1.0;0.266;1.0;0.257;0.992
ENSMUST00000135368_90_90;0.256;0.247;0.256;0.247;0.256;0.256;0.284;0.481;0.096;0.0;0.0;0.257;0.0;0.257;1.0;0.259
ENSMUST00000140212_90_90;0.989;0.978;0.986;0.978;0.986;0.986;0.886;0.407;0.684;0.241;0.423;0.992;0.268;0.992;0.259;1.0
