;ENSCAFT00000004039_90_90;ENST00000361346_90_90;ENST00000361776_90_90;ENST00000372571_90_90;ENST00000372572_90_90;ENST00000372573_90_90;ENST00000422278_90_90;ENST00000445886_90_90;ENST00000454417_90_90;ENST00000545068_90_90;ENSMUST00000044564_90_90;ENSMUST00000106310_90_90;ENSMUST00000137560_90_90;ENSMUST00000138845_90_90;ENSMUST00000160219_90_90;ENSMUST00000162267_90_90;ENSMUST00000176012_90_90
ENSCAFT00000004039_90_90;1.0;0.867;0.796;0.135;0.867;0.867;0.145;0.569;0.169;0.867;0.864;0.792;0.132;0.226;0.184;0.226;0.1
ENST00000361346_90_90;0.867;1.0;0.922;0.135;1.0;1.0;0.145;0.607;0.169;1.0;0.754;0.688;0.132;0.226;0.184;0.226;0.1
ENST00000361776_90_90;0.796;0.922;1.0;0.144;0.922;0.922;0.106;0.659;0.181;0.922;0.688;0.733;0.144;0.243;0.2;0.243;0.108
ENST00000372571_90_90;0.135;0.135;0.144;1.0;0.135;0.135;0.0;0.0;0.0;0.135;0.134;0.144;0.0;0.0;0.0;0.0;0.0
ENST00000372572_90_90;0.867;1.0;0.922;0.135;1.0;1.0;0.145;0.607;0.169;1.0;0.754;0.688;0.132;0.226;0.184;0.226;0.1
ENST00000372573_90_90;0.867;1.0;0.922;0.135;1.0;1.0;0.145;0.607;0.169;1.0;0.754;0.688;0.132;0.226;0.184;0.226;0.1
ENST00000422278_90_90;0.145;0.145;0.106;0.0;0.145;0.145;1.0;0.159;0.0;0.145;0.145;0.106;0.0;0.0;0.0;0.0;0.0
ENST00000445886_90_90;0.569;0.607;0.659;0.0;0.607;0.607;0.159;1.0;0.264;0.607;0.466;0.5;0.218;0.357;0.303;0.357;0.165
ENST00000454417_90_90;0.169;0.169;0.181;0.0;0.169;0.169;0.0;0.264;1.0;0.169;0.168;0.181;0.209;0.646;0.371;0.646;0.119
ENST00000545068_90_90;0.867;1.0;0.922;0.135;1.0;1.0;0.145;0.607;0.169;1.0;0.754;0.688;0.132;0.226;0.184;0.226;0.1
ENSMUST00000044564_90_90;0.864;0.754;0.688;0.134;0.754;0.754;0.145;0.466;0.168;0.754;1.0;0.922;0.132;0.226;0.184;0.226;0.1
ENSMUST00000106310_90_90;0.792;0.688;0.733;0.144;0.688;0.688;0.106;0.5;0.181;0.688;0.922;1.0;0.144;0.243;0.2;0.243;0.108
ENSMUST00000137560_90_90;0.132;0.132;0.144;0.0;0.132;0.132;0.0;0.218;0.209;0.132;0.132;0.144;1.0;0.416;0.714;0.416;0.77
ENSMUST00000138845_90_90;0.226;0.226;0.243;0.0;0.226;0.226;0.0;0.357;0.646;0.226;0.226;0.243;0.416;1.0;0.588;1.0;0.325
ENSMUST00000160219_90_90;0.184;0.184;0.2;0.0;0.184;0.184;0.0;0.303;0.371;0.184;0.184;0.2;0.714;0.588;1.0;0.588;0.546
ENSMUST00000162267_90_90;0.226;0.226;0.243;0.0;0.226;0.226;0.0;0.357;0.646;0.226;0.226;0.243;0.416;1.0;0.588;1.0;0.325
ENSMUST00000176012_90_90;0.1;0.1;0.108;0.0;0.1;0.1;0.0;0.165;0.119;0.1;0.1;0.108;0.77;0.325;0.546;0.325;1.0
