;ENSCAFT00000022682_90_90;ENST00000389384_90_90;ENST00000454077_90_90;ENST00000587097_90_90;ENST00000589805_90_90;ENST00000590169_90_90;ENST00000590537_90_90;ENST00000591295_90_90;ENSMUST00000073234_90_90;ENSMUST00000107132_90_90;ENSMUST00000107134_90_90;ENSMUST00000137387_90_90;ENSMUST00000141516_90_90
ENSCAFT00000022682_90_90;1.0;0.825;0.826;0.742;0.291;0.335;0.133;0.447;0.879;0.877;0.879;0.843;0.726
ENST00000389384_90_90;0.825;1.0;0.927;0.909;0.308;0.355;0.14;0.473;0.873;0.822;0.873;0.788;0.618
ENST00000454077_90_90;0.826;0.927;1.0;0.841;0.291;0.333;0.134;0.444;0.822;0.887;0.822;0.853;0.581
ENST00000587097_90_90;0.742;0.909;0.841;1.0;0.342;0.393;0.157;0.387;0.786;0.739;0.786;0.706;0.536
ENST00000589805_90_90;0.291;0.308;0.291;0.342;1.0;0.849;0.0;0.0;0.308;0.291;0.308;0.254;0.076
ENST00000590169_90_90;0.335;0.355;0.333;0.393;0.849;1.0;0.0;0.0;0.355;0.333;0.355;0.296;0.119
ENST00000590537_90_90;0.133;0.14;0.134;0.157;0.0;0.0;1.0;0.252;0.14;0.134;0.14;0.138;0.179
ENST00000591295_90_90;0.447;0.473;0.444;0.387;0.0;0.0;0.252;1.0;0.473;0.444;0.473;0.458;0.574
ENSMUST00000073234_90_90;0.879;0.873;0.822;0.786;0.308;0.355;0.14;0.473;1.0;0.927;1.0;0.891;0.726
ENSMUST00000107132_90_90;0.877;0.822;0.887;0.739;0.291;0.333;0.134;0.444;0.927;1.0;0.927;0.964;0.672
ENSMUST00000107134_90_90;0.879;0.873;0.822;0.786;0.308;0.355;0.14;0.473;1.0;0.927;1.0;0.891;0.726
ENSMUST00000137387_90_90;0.843;0.788;0.853;0.706;0.254;0.296;0.138;0.458;0.891;0.964;0.891;1.0;0.698
ENSMUST00000141516_90_90;0.726;0.618;0.581;0.536;0.076;0.119;0.179;0.574;0.726;0.672;0.726;0.698;1.0
