;ENSCAFT00000022782_90_90;ENSCAFT00000047054_90_90;ENST00000265459_90_90;ENST00000301894_90_90;ENST00000377551_90_90;ENST00000377559_90_90;ENST00000409571_90_90;ENST00000417749_90_90;ENST00000423049_90_90;ENST00000437746_90_90;ENST00000442300_90_90;ENSMUST00000077182_90_90;ENSMUST00000113458_90_90;ENSMUST00000113459_90_90;ENSMUST00000113461_90_90;ENSMUST00000113462_90_90;ENSMUST00000137166_90_90;ENSMUST00000137821_90_90;ENSMUST00000155158_90_90
ENSCAFT00000022782_90_90;1.0;0.862;0.923;0.32;0.923;0.808;0.923;0.231;0.08;0.24;0.269;0.88;0.292;0.125;0.84;0.96;0.96;0.333;0.28
ENSCAFT00000047054_90_90;0.862;1.0;0.846;0.192;0.846;0.731;0.846;0.304;0.087;0.261;0.348;1.0;0.2;0.13;0.8;0.92;0.92;0.348;0.348
ENST00000265459_90_90;0.923;0.846;1.0;0.265;1.0;0.867;0.967;0.267;0.097;0.233;0.25;0.815;0.276;0.138;0.815;0.926;0.963;0.259;0.259
ENST00000301894_90_90;0.32;0.192;0.265;1.0;0.265;0.258;0.273;0.0;0.308;0.0;0.0;0.214;1.0;0.636;0.259;0.276;0.267;0.0;0.0
ENST00000377551_90_90;0.923;0.846;1.0;0.265;1.0;0.867;0.967;0.267;0.097;0.233;0.25;0.815;0.276;0.138;0.815;0.926;0.963;0.259;0.259
ENST00000377559_90_90;0.808;0.731;0.867;0.258;0.867;1.0;0.897;0.259;0.111;0.222;0.241;0.731;0.269;0.16;0.957;0.846;0.815;0.25;0.25
ENST00000409571_90_90;0.923;0.846;0.967;0.273;0.967;0.897;1.0;0.276;0.1;0.241;0.258;0.846;0.286;0.143;0.846;0.962;0.926;0.269;0.269
ENST00000417749_90_90;0.231;0.304;0.267;0.0;0.267;0.259;0.276;1.0;0.0;0.667;0.636;0.304;0.0;0.0;0.25;0.269;0.259;0.5;0.875
ENST00000423049_90_90;0.08;0.087;0.097;0.308;0.097;0.111;0.1;0.0;1.0;0.0;0.0;0.125;0.364;0.571;0.125;0.111;0.107;0.0;0.0
ENST00000437746_90_90;0.24;0.261;0.233;0.0;0.233;0.222;0.241;0.667;0.0;1.0;0.417;0.261;0.0;0.0;0.208;0.231;0.222;0.75;0.556
ENST00000442300_90_90;0.269;0.348;0.25;0.0;0.25;0.241;0.258;0.636;0.0;0.417;1.0;0.348;0.0;0.0;0.292;0.308;0.296;0.455;0.778
ENSMUST00000077182_90_90;0.88;1.0;0.815;0.214;0.815;0.731;0.846;0.304;0.125;0.261;0.348;1.0;0.2;0.138;0.786;0.893;0.862;0.32;0.32
ENSMUST00000113458_90_90;0.292;0.2;0.276;1.0;0.276;0.269;0.286;0.0;0.364;0.0;0.0;0.2;1.0;0.583;0.241;0.258;0.25;0.0;0.0
ENSMUST00000113459_90_90;0.125;0.13;0.138;0.636;0.138;0.16;0.143;0.0;0.571;0.0;0.0;0.138;0.583;1.0;0.138;0.125;0.121;0.0;0.0
ENSMUST00000113461_90_90;0.84;0.8;0.815;0.259;0.815;0.957;0.846;0.25;0.125;0.208;0.292;0.786;0.241;0.138;1.0;0.893;0.862;0.269;0.269
ENSMUST00000113462_90_90;0.96;0.92;0.926;0.276;0.926;0.846;0.962;0.269;0.111;0.231;0.308;0.893;0.258;0.125;0.893;1.0;0.966;0.286;0.286
ENSMUST00000137166_90_90;0.96;0.92;0.963;0.267;0.963;0.815;0.926;0.259;0.107;0.222;0.296;0.862;0.25;0.121;0.862;0.966;1.0;0.276;0.276
ENSMUST00000137821_90_90;0.333;0.348;0.259;0.0;0.259;0.25;0.269;0.5;0.0;0.75;0.455;0.32;0.0;0.0;0.269;0.286;0.276;1.0;0.6
ENSMUST00000155158_90_90;0.28;0.348;0.259;0.0;0.259;0.25;0.269;0.875;0.0;0.556;0.778;0.32;0.0;0.0;0.269;0.286;0.276;0.6;1.0
