;ENSCAFT00000025386_90_90;ENST00000389900_90_90;ENST00000389902_90_90;ENST00000411812_90_90;ENST00000416985_90_90;ENST00000425013_90_90;ENSMUST00000053498_90_90;ENSMUST00000197296_90_90;ENSMUST00000200430_90_90;ENSMUST00000200607_90_90
ENSCAFT00000025386_90_90;1.0;0.423;0.76;0.13;0.045;0.64;0.636;0.273;0.136;0.773
ENST00000389900_90_90;0.423;1.0;0.609;0.118;0.067;0.7;0.381;0.235;0.125;0.333
ENST00000389902_90_90;0.76;0.609;1.0;0.083;0.045;0.864;0.5;0.217;0.136;0.625
ENST00000411812_90_90;0.13;0.118;0.083;1.0;0.25;0.095;0.2;0.429;0.4;0.167
ENST00000416985_90_90;0.045;0.067;0.045;0.25;1.0;0.053;0.071;0.167;0.333;0.059
ENST00000425013_90_90;0.64;0.7;0.864;0.095;0.053;1.0;0.571;0.19;0.158;0.5
ENSMUST00000053498_90_90;0.636;0.381;0.5;0.2;0.071;0.571;1.0;0.333;0.214;0.824
ENSMUST00000197296_90_90;0.273;0.235;0.217;0.429;0.167;0.19;0.333;1.0;0.286;0.353
ENSMUST00000200430_90_90;0.136;0.125;0.136;0.4;0.333;0.158;0.214;0.286;1.0;0.176
ENSMUST00000200607_90_90;0.773;0.333;0.625;0.167;0.059;0.5;0.824;0.353;0.176;1.0
