;ENSCAFT00000023420_90_90;ENST00000319770_90_90;ENST00000355772_90_90;ENST00000361959_90_90;ENST00000396801_90_90;ENST00000417772_90_90;ENST00000436774_90_90;ENST00000535485_90_90;ENST00000538829_90_90;ENST00000540915_90_90;ENST00000542351_90_90;ENST00000544482_90_90;ENST00000545946_90_90;ENSMUST00000046064_90_90;ENSMUST00000054553_90_90;ENSMUST00000084275_90_90;ENSMUST00000088308_90_90;ENSMUST00000112424_90_90;ENSMUST00000112425_90_90;ENSMUST00000112427_90_90;ENSMUST00000112428_90_90;ENSMUST00000152752_90_90
ENSCAFT00000023420_90_90;1.0;0.704;0.538;0.778;0.778;0.556;0.385;0.24;0.16;0.4;0.167;0.083;0.16;0.733;0.517;0.793;0.793;0.724;0.724;0.793;0.733;0.125
ENST00000319770_90_90;0.704;1.0;0.727;0.917;0.917;0.6;0.545;0.318;0.227;0.5;0.13;0.091;0.227;0.724;0.615;0.724;0.724;0.655;0.778;0.724;0.724;0.136
ENST00000355772_90_90;0.538;0.727;1.0;0.667;0.667;0.36;0.4;0.15;0.05;0.227;0.053;0.059;0.312;0.571;0.8;0.571;0.571;0.615;0.615;0.571;0.571;0.118
ENST00000361959_90_90;0.778;0.917;0.667;1.0;1.0;0.615;0.5;0.292;0.208;0.458;0.12;0.083;0.208;0.677;0.571;0.793;0.793;0.724;0.724;0.793;0.677;0.125
ENST00000396801_90_90;0.778;0.917;0.667;1.0;1.0;0.615;0.5;0.292;0.208;0.458;0.12;0.083;0.208;0.677;0.571;0.793;0.793;0.724;0.724;0.793;0.677;0.125
ENST00000417772_90_90;0.556;0.6;0.36;0.615;0.615;1.0;0.667;0.389;0.278;0.611;0.158;0.111;0.0;0.533;0.31;0.484;0.484;0.419;0.467;0.484;0.533;0.167
ENST00000436774_90_90;0.385;0.545;0.4;0.5;0.5;0.667;1.0;0.583;0.214;0.643;0.067;0.077;0.0;0.379;0.333;0.379;0.379;0.407;0.407;0.379;0.379;0.25
ENST00000535485_90_90;0.24;0.318;0.15;0.292;0.292;0.389;0.583;1.0;0.333;0.636;0.1;0.125;0.0;0.207;0.125;0.207;0.207;0.222;0.222;0.207;0.207;0.429
ENST00000538829_90_90;0.16;0.227;0.05;0.208;0.208;0.278;0.214;0.333;1.0;0.455;0.5;0.4;0.0;0.138;0.042;0.138;0.138;0.069;0.148;0.138;0.138;0.143
ENST00000540915_90_90;0.4;0.5;0.227;0.458;0.458;0.611;0.643;0.636;0.455;1.0;0.25;0.182;0.0;0.345;0.192;0.345;0.345;0.276;0.37;0.345;0.345;0.273
ENST00000542351_90_90;0.167;0.13;0.053;0.12;0.12;0.158;0.067;0.1;0.5;0.25;1.0;0.5;0.0;0.143;0.043;0.143;0.143;0.071;0.154;0.143;0.143;0.167
ENST00000544482_90_90;0.083;0.091;0.059;0.083;0.083;0.111;0.077;0.125;0.4;0.182;0.5;1.0;0.0;0.071;0.048;0.071;0.071;0.037;0.077;0.071;0.071;0.25
ENST00000545946_90_90;0.16;0.227;0.312;0.208;0.208;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.179;0.25;0.179;0.179;0.192;0.192;0.179;0.179;0.0
ENSMUST00000046064_90_90;0.733;0.724;0.571;0.677;0.677;0.533;0.379;0.207;0.138;0.345;0.143;0.071;0.179;1.0;0.714;0.867;0.867;0.8;0.929;0.867;1.0;0.107
ENSMUST00000054553_90_90;0.517;0.615;0.8;0.571;0.571;0.31;0.333;0.125;0.042;0.192;0.043;0.048;0.25;0.714;1.0;0.714;0.714;0.769;0.769;0.714;0.714;0.095
ENSMUST00000084275_90_90;0.793;0.724;0.571;0.793;0.793;0.484;0.379;0.207;0.138;0.345;0.143;0.071;0.179;0.867;0.714;1.0;1.0;0.929;0.929;1.0;0.867;0.107
ENSMUST00000088308_90_90;0.793;0.724;0.571;0.793;0.793;0.484;0.379;0.207;0.138;0.345;0.143;0.071;0.179;0.867;0.714;1.0;1.0;0.929;0.929;1.0;0.867;0.107
ENSMUST00000112424_90_90;0.724;0.655;0.615;0.724;0.724;0.419;0.407;0.222;0.069;0.276;0.071;0.037;0.192;0.8;0.769;0.929;0.929;1.0;0.857;0.929;0.8;0.115
ENSMUST00000112425_90_90;0.724;0.778;0.615;0.724;0.724;0.467;0.407;0.222;0.148;0.37;0.154;0.077;0.192;0.929;0.769;0.929;0.929;0.857;1.0;0.929;0.929;0.115
ENSMUST00000112427_90_90;0.793;0.724;0.571;0.793;0.793;0.484;0.379;0.207;0.138;0.345;0.143;0.071;0.179;0.867;0.714;1.0;1.0;0.929;0.929;1.0;0.867;0.107
ENSMUST00000112428_90_90;0.733;0.724;0.571;0.677;0.677;0.533;0.379;0.207;0.138;0.345;0.143;0.071;0.179;1.0;0.714;0.867;0.867;0.8;0.929;0.867;1.0;0.107
ENSMUST00000152752_90_90;0.125;0.136;0.118;0.125;0.125;0.167;0.25;0.429;0.143;0.273;0.167;0.25;0.0;0.107;0.095;0.107;0.107;0.115;0.115;0.107;0.107;1.0
