;ENSCAFT00000022237_90_90;ENST00000423692_90_90;ENST00000431645_90_90;ENST00000448764_90_90;ENST00000449389_90_90;ENST00000611405_90_90;ENST00000614370_90_90;ENST00000614484_90_90;ENST00000618262_90_90;ENST00000618411_90_90;ENST00000641476_90_90;ENSMUST00000040873_90_90;ENSMUST00000196109_90_90;ENSMUST00000197466_90_90;ENSMUST00000197484_90_90;ENSMUST00000198526_90_90;ENSMUST00000199243_90_90;ENSMUST00000199365_90_90;ENSMUST00000199605_90_90;ENSMUST00000199756_90_90;ENSMUST00000223263_90_90
ENSCAFT00000022237_90_90;1.0;0.256;0.296;0.0;0.0;0.555;0.11;0.555;0.556;0.556;0.235;0.548;0.0;0.549;0.156;0.6;0.549;0.0;0.013;0.0;0.138
ENST00000423692_90_90;0.256;1.0;0.0;0.0;0.0;0.196;0.0;0.198;0.198;0.2;0.887;0.079;0.0;0.081;0.199;0.101;0.08;0.0;0.0;0.0;0.0
ENST00000431645_90_90;0.296;0.0;1.0;0.0;0.0;0.196;0.26;0.197;0.197;0.199;0.0;0.126;0.0;0.131;0.35;0.16;0.128;0.0;0.0;0.0;0.0
ENST00000448764_90_90;0.0;0.0;0.0;1.0;0.171;0.38;0.0;0.372;0.371;0.364;0.0;0.436;0.838;0.429;0.0;0.139;0.442;0.032;0.231;0.361;0.0
ENST00000449389_90_90;0.0;0.0;0.0;0.171;1.0;0.051;0.0;0.052;0.052;0.052;0.0;0.069;0.054;0.071;0.0;0.096;0.07;0.0;0.225;0.0;0.0
ENST00000611405_90_90;0.555;0.196;0.196;0.38;0.051;1.0;0.053;0.993;0.991;0.984;0.181;0.833;0.424;0.808;0.124;0.571;0.819;0.068;0.269;0.195;0.0
ENST00000614370_90_90;0.11;0.0;0.26;0.0;0.0;0.053;1.0;0.054;0.054;0.054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000614484_90_90;0.555;0.198;0.197;0.372;0.052;0.993;0.054;1.0;0.984;0.991;0.183;0.823;0.414;0.798;0.127;0.561;0.809;0.069;0.271;0.196;0.0
ENST00000618262_90_90;0.556;0.198;0.197;0.371;0.052;0.991;0.054;0.984;1.0;0.993;0.183;0.821;0.412;0.817;0.127;0.579;0.808;0.069;0.272;0.197;0.0
ENST00000618411_90_90;0.556;0.2;0.199;0.364;0.052;0.984;0.054;0.991;0.993;1.0;0.185;0.81;0.402;0.807;0.129;0.569;0.798;0.07;0.275;0.198;0.0
ENST00000641476_90_90;0.235;0.887;0.0;0.0;0.0;0.181;0.0;0.183;0.183;0.185;1.0;0.061;0.0;0.064;0.216;0.076;0.062;0.0;0.0;0.0;0.0
ENSMUST00000040873_90_90;0.548;0.079;0.126;0.436;0.069;0.833;0.0;0.823;0.821;0.81;0.061;1.0;0.384;0.978;0.066;0.693;0.988;0.043;0.237;0.184;0.096
ENSMUST00000196109_90_90;0.0;0.0;0.0;0.838;0.054;0.424;0.0;0.414;0.412;0.402;0.0;0.384;1.0;0.362;0.0;0.1;0.372;0.028;0.181;0.394;0.0
ENSMUST00000197466_90_90;0.549;0.081;0.131;0.429;0.071;0.808;0.0;0.798;0.817;0.807;0.064;0.978;0.362;1.0;0.067;0.71;0.99;0.043;0.241;0.173;0.099
ENSMUST00000197484_90_90;0.156;0.199;0.35;0.0;0.0;0.124;0.0;0.127;0.127;0.129;0.216;0.066;0.0;0.067;1.0;0.087;0.066;0.0;0.0;0.0;0.0
ENSMUST00000198526_90_90;0.6;0.101;0.16;0.139;0.096;0.571;0.0;0.561;0.579;0.569;0.076;0.693;0.1;0.71;0.087;1.0;0.702;0.096;0.393;0.0;0.131
ENSMUST00000199243_90_90;0.549;0.08;0.128;0.442;0.07;0.819;0.0;0.809;0.808;0.798;0.062;0.988;0.372;0.99;0.066;0.702;1.0;0.043;0.239;0.172;0.098
ENSMUST00000199365_90_90;0.0;0.0;0.0;0.032;0.0;0.068;0.0;0.069;0.069;0.07;0.0;0.043;0.028;0.043;0.0;0.096;0.043;1.0;0.255;0.0;0.0
ENSMUST00000199605_90_90;0.013;0.0;0.0;0.231;0.225;0.269;0.0;0.271;0.272;0.275;0.0;0.237;0.181;0.241;0.0;0.393;0.239;0.255;1.0;0.0;0.0
ENSMUST00000199756_90_90;0.0;0.0;0.0;0.361;0.0;0.195;0.0;0.196;0.197;0.198;0.0;0.184;0.394;0.173;0.0;0.0;0.172;0.0;0.0;1.0;0.0
ENSMUST00000223263_90_90;0.138;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.096;0.0;0.099;0.0;0.131;0.098;0.0;0.0;0.0;1.0
