;nº dataset;splicing_orthologs
1;1;"transcript20_ppan:transcript12_ppan:transcript19_ppan:transcript20_hsap:transcript18_hsap:transcript21_hsap:transcript12_hsap:transcript19_hsap:transcript16_ggor:transcript18_ggor:transcript12_ggor:transcript17_ggor:transcript19_ggor;transcript12_ptro;transcript11_ggor;transcript8_pabe"
2;2;"transcript11_hsap:transcript11_ggor;transcript12_ggor;transcript13_hsap:transcript31_hsap;transcript9_ptro;transcript8_pabe:transcript18_pabe"
3;3;transcript0_ppan:transcript0_ptro:transcript0_hsap:transcript0_ggor:transcript0_pabe
4;4;"transcript10_ppan:transcript10_ptro:transcript10_hsap:transcript10_ggor;transcript17_ggor:transcript18_ggor:transcript14_ggor:transcript9_ggor:transcript15_ppan:transcript9_ppan:transcript17_ptro:transcript9_ptro"
5;5;"transcript17_ENSHGLG00100003156:transcript20_ENSHGLG00100003156:transcript13_ENSHGLG00100006079:transcript21_ENSHGLG00100006079:transcript22_ENSHGLG00100006079:transcript20_ENSHGLG00100006079:transcript12_ENSAPOG00000016134:transcript20_ENSAPOG00000016134;transcript26_ENSHGLG00000019563:transcript27_ENSHGLG00000019563:transcript17_ENSHGLG00000019563:transcript25_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript10_ENSHGLG00100003156:transcript17_ENSAPOG00000016134:transcript10_ENSAPOG00000016134;transcript0_ENSHGLG00100006079:transcript21_ENSMUNG00000002391:transcript22_ENSMUNG00000002391:transcript0_ENSMUNG00000002391:transcript0_ENSPNYG00000024266:transcript0_ENSXMAG00000026005;transcript23_ENSAPOG00000023408:transcript12_ENSAPOG00000023408:transcript22_ENSAPOG00000023408;transcript8_ENSAPOG00000016134;transcript7_ENSAPOG00000023408:transcript24_ENSAPOG00000023408"
6;6;"transcript7_ENSPCIG00000036398:transcript23_ENSMUNG00000007775:transcript7_ENSMUNG00000007775:transcript8_ENSXMAG00000026005:transcript2_ENSXMAG00000026005:transcript10_ENSXMAG00000026005:transcript9_ENSXMAG00000026005:transcript7_ENSXMAG00000026005;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript6_ENSPCIG00000036398;transcript16_ENSMUNG00000007775:transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391"
7;7;"transcript10_ENSHGLG00100003156:transcript10_ENSHGLG00000019563:transcript10_ENSHGLG00100006079:transcript10_ENSMUNG00000002391;transcript27_ENSHGLG00000019563:transcript11_ENSHGLG00000019563:transcript26_ENSHGLG00000019563;transcript8_ENSHGLG00100003156:transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563:transcript28_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript8_ENSPCIG00000036398:transcript8_ENSMUNG00000002377;transcript7_ENSPCIG00000036398:transcript18_ENSPCIG00000036398;transcript7_ENSHGLG00100006079;transcript3_ENSPCIG00000036398:transcript15_ENSPCIG00000036398:transcript16_ENSMUNG00000002377:transcript22_ENSMUNG00000002377:transcript23_ENSMUNG00000002377:transcript15_ENSMUNG00000002377;transcript3_ENSMUNG00000007775:transcript3_ENSMUNG00000002391"
8;8;"transcript22_ENSPNYG00000024266;transcript1_ENSAOCG00000015695;transcript7_ENSAPOG00000016134:transcript7_ENSAPOG00000023408;transcript32_ENSAPOG00000016134:transcript41_ENSAPOG00000023408:transcript42_ENSAPOG00000023408:transcript43_ENSAPOG00000023408:transcript32_ENSAPOG00000023408;transcript8_ENSAPOG00000023408:transcript36_ENSAOCG00000015695:transcript25_ENSAOCG00000015695:transcript38_ENSAOCG00000015695:transcript37_ENSAOCG00000015695:transcript8_ENSAOCG00000015695;transcript33_ENSAPOG00000016134;transcript30_ENSAPOG00000023408:transcript40_ENSAPOG00000023408;transcript37_ENSAPOG00000016134:transcript27_ENSAPOG00000016134:transcript38_ENSAPOG00000016134:transcript35_ENSAPOG00000016134:transcript36_ENSAPOG00000016134;transcript27_ENSAPOG00000023408;transcript26_ENSAOCG00000015695"
9;9;"transcript23_ENSMUNG00000007775:transcript36_ENSMUNG00000002377:transcript38_ENSMUNG00000002377:transcript9_ENSMUNG00000002377:transcript37_ENSMUNG00000002377:transcript23_ENSMUNG00000002377:transcript33_ENSMUNG00000002391:transcript30_ENSMUNG00000002391:transcript23_ENSMUNG00000002391;transcript25_ENSMUNG00000007775;transcript21_ENSMUNG00000007775:transcript31_ENSMUNG00000007775:transcript33_ENSMUNG00000007775:transcript9_ENSMUNG00000007775:transcript32_ENSMUNG00000007775;transcript27_ENSMUNG00000002377:transcript13_ENSMUNG00000002377:transcript35_ENSMUNG00000002377;transcript26_ENSMUNG00000007775:transcript30_ENSMUNG00000007775;transcript10_ENSMUNG00000002391"
10;10;"transcript5_ENSXMAG00000026005:transcript7_ENSXMAG00000026005;transcript5_ENSHGLG00100006079:transcript30_ENSHGLG00100006079;transcript34_ENSHGLG00100003156:transcript5_ENSHGLG00100003156:transcript33_ENSHGLG00100003156;transcript5_ENSPCIG00000036398;transcript36_ENSHGLG00100003156:transcript18_ENSHGLG00100003156:transcript35_ENSHGLG00100003156"
