;nº dataset;splicing_orthologs
1;1;"transcript20_ppan:transcript12_ppan;transcript20_hsap:transcript18_hsap;transcript21_hsap:transcript12_hsap;transcript18_ggor:transcript12_ggor;transcript19_ggor:transcript17_ggor"
2;2;"transcript31_hsap:transcript13_hsap;transcript18_pabe:transcript8_pabe"
3;3;
4;4;"transcript18_ggor:transcript14_ggor;transcript15_ppan:transcript9_ppan;transcript17_ptro:transcript9_ptro"
5;5;"transcript20_ENSHGLG00100003156:transcript17_ENSHGLG00100003156;transcript27_ENSHGLG00000019563:transcript17_ENSHGLG00000019563;transcript22_ENSHGLG00100006079:transcript20_ENSHGLG00100006079;transcript22_ENSMUNG00000002391:transcript0_ENSMUNG00000002391;transcript20_ENSAPOG00000016134:transcript12_ENSAPOG00000016134;transcript23_ENSAPOG00000023408:transcript12_ENSAPOG00000023408;transcript17_ENSAPOG00000016134:transcript10_ENSAPOG00000016134;transcript24_ENSAPOG00000023408:transcript7_ENSAPOG00000023408"
6;6;"transcript23_ENSMUNG00000007775:transcript7_ENSMUNG00000007775;transcript10_ENSXMAG00000026005:transcript9_ENSXMAG00000026005"
7;7;"transcript27_ENSHGLG00000019563:transcript11_ENSHGLG00000019563;transcript20_ENSHGLG00100003156:transcript8_ENSHGLG00100003156;transcript28_ENSHGLG00000019563:transcript8_ENSHGLG00000019563;transcript18_ENSPCIG00000036398:transcript7_ENSPCIG00000036398;transcript15_ENSPCIG00000036398:transcript3_ENSPCIG00000036398;transcript23_ENSMUNG00000002377:transcript15_ENSMUNG00000002377"
8;8;"transcript43_ENSAPOG00000023408:transcript32_ENSAPOG00000023408;transcript40_ENSAPOG00000023408:transcript30_ENSAPOG00000023408;transcript37_ENSAPOG00000016134:transcript27_ENSAPOG00000016134;transcript38_ENSAPOG00000016134:transcript35_ENSAPOG00000016134;transcript8_ENSAOCG00000015695:transcript37_ENSAOCG00000015695"
9;9;"transcript9_ENSMUNG00000002377:transcript37_ENSMUNG00000002377;transcript33_ENSMUNG00000002391:transcript30_ENSMUNG00000002391;transcript32_ENSMUNG00000007775:transcript21_ENSMUNG00000007775;transcript33_ENSMUNG00000007775:transcript9_ENSMUNG00000007775;transcript35_ENSMUNG00000002377:transcript27_ENSMUNG00000002377;transcript30_ENSMUNG00000007775:transcript26_ENSMUNG00000007775"
10;10;"transcript7_ENSXMAG00000026005:transcript5_ENSXMAG00000026005;transcript30_ENSHGLG00100006079:transcript5_ENSHGLG00100006079;transcript34_ENSHGLG00100003156:transcript5_ENSHGLG00100003156;transcript36_ENSHGLG00100003156:transcript18_ENSHGLG00100003156"
11;11;"transcript43_ENSHGLG00000019563:transcript28_ENSHGLG00000019563;transcript14_ENSHGLG00100003156:transcript27_ENSHGLG00100003156;transcript33_ENSHGLG00100006079:transcript22_ENSHGLG00100006079;transcript32_ENSHGLG00100003156:transcript20_ENSHGLG00100003156"
12;12;"transcript65_ENSCGRG00000018457:transcript52_ENSCGRG00000018457;transcript58_ENSPEMG00000024651:transcript33_ENSPEMG00000024651;transcript8_ENSPEMG00000024651:transcript39_ENSPEMG00000024651;transcript59_ENSMUGG00000013649:transcript58_ENSMUGG00000013649;transcript39_ENSSTOG00000019743:transcript37_ENSSTOG00000019743;transcript40_ENSSTOG00000019743:transcript8_ENSSTOG00000019743"
13;13;"transcript67_ENSMUSG00000054036:transcript57_ENSMUSG00000054036;transcript63_MGP-CAROLIEiJ-G0020234:transcript9_MGP-CAROLIEiJ-G0020234;transcript55_ENSRNOG00000031503:transcript54_ENSRNOG00000031503;transcript8_ENSRNOG00000031503:transcript40_ENSRNOG00000031503;transcript62_MGP-CAROLIEiJ-G0020234:transcript52_MGP-CAROLIEiJ-G0020234;transcript7_MGP-PahariEiJ-G0020237:transcript48_MGP-PahariEiJ-G0020237"
