;transcript8_ENSMSIG00000000513;transcript8_ENSMUSG00000054036;transcript8_ENSRNOG00000031503;transcript47_MGP-SPRETEiJ-G0021131;transcript47_ENSMUSG00000054036;transcript47_ENSMUGG00000013649;transcript42_ENSMUSG00000054036;transcript42_ENSRNOG00000031503;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript44_ENSMUGG00000013649;transcript48_ENSMUGG00000013649;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript54_ENSMUGG00000013592;transcript25_ENSPEMG00000024651
transcript8_ENSMSIG00000000513;1.0;1.0;0.743;0.229;0.229;0.108;0.778;0.605;0.733;0.6;0.252;0.382;0.271;0.28;0.301;0.378;0.333;0.318;0.267
transcript8_ENSMUSG00000054036;1.0;1.0;0.743;0.229;0.229;0.108;0.778;0.605;0.733;0.6;0.252;0.382;0.271;0.28;0.301;0.378;0.333;0.318;0.267
transcript8_ENSRNOG00000031503;0.743;0.743;1.0;0.259;0.259;0.143;0.578;0.765;0.533;0.465;0.19;0.295;0.202;0.208;0.232;0.292;0.257;0.245;0.198
transcript47_MGP-SPRETEiJ-G0021131;0.229;0.229;0.259;1.0;1.0;0.273;0.178;0.2;0.159;0.216;0.081;0.091;0.062;0.064;0.071;0.09;0.079;0.075;0.061
transcript47_ENSMUSG00000054036;0.229;0.229;0.259;1.0;1.0;0.273;0.178;0.2;0.159;0.216;0.081;0.091;0.062;0.064;0.071;0.09;0.079;0.075;0.061
transcript47_ENSMUGG00000013649;0.108;0.108;0.143;0.273;0.273;1.0;0.085;0.111;0.043;0.075;0.061;0.068;0.047;0.048;0.054;0.067;0.059;0.057;0.046
transcript42_ENSMUSG00000054036;0.778;0.778;0.578;0.178;0.178;0.085;1.0;0.756;0.956;0.822;0.297;0.478;0.349;0.36;0.377;0.473;0.417;0.398;0.344
transcript42_ENSRNOG00000031503;0.605;0.605;0.765;0.2;0.2;0.111;0.756;1.0;0.711;0.651;0.22;0.371;0.264;0.272;0.292;0.367;0.324;0.308;0.26
transcript54_ENSMUSG00000054036;0.733;0.733;0.533;0.159;0.159;0.043;0.956;0.711;1.0;0.818;0.279;0.456;0.333;0.344;0.36;0.451;0.398;0.38;0.328
transcript55_ENSMUSG00000054036;0.6;0.6;0.465;0.216;0.216;0.075;0.822;0.651;0.818;1.0;0.236;0.404;0.287;0.296;0.319;0.4;0.353;0.336;0.282
transcript7_ENSMUGG00000013649;0.252;0.252;0.19;0.081;0.081;0.061;0.297;0.22;0.279;0.236;1.0;0.626;0.754;0.778;0.661;0.621;0.575;0.614;0.756
transcript7_ENSMUGG00000013592;0.382;0.382;0.295;0.091;0.091;0.068;0.478;0.371;0.456;0.404;0.626;1.0;0.669;0.651;0.786;0.989;0.688;0.732;0.672
transcript44_ENSMUGG00000013649;0.271;0.271;0.202;0.062;0.062;0.047;0.349;0.264;0.333;0.287;0.754;0.669;1.0;0.969;0.854;0.677;0.769;0.808;0.985
transcript48_ENSMUGG00000013649;0.28;0.28;0.208;0.064;0.064;0.048;0.36;0.272;0.344;0.296;0.778;0.651;0.969;1.0;0.837;0.659;0.752;0.791;0.954
transcript28_ENSMUGG00000013592;0.301;0.301;0.232;0.071;0.071;0.054;0.377;0.292;0.36;0.319;0.661;0.786;0.854;0.837;1.0;0.795;0.902;0.946;0.855
transcript52_ENSMUGG00000013592;0.378;0.378;0.292;0.09;0.09;0.067;0.473;0.367;0.451;0.4;0.621;0.989;0.677;0.659;0.795;1.0;0.696;0.741;0.679
transcript53_ENSMUGG00000013592;0.333;0.333;0.257;0.079;0.079;0.059;0.417;0.324;0.398;0.353;0.575;0.688;0.769;0.752;0.902;0.696;1.0;0.935;0.771
transcript54_ENSMUGG00000013592;0.318;0.318;0.245;0.075;0.075;0.057;0.398;0.308;0.38;0.336;0.614;0.732;0.808;0.791;0.946;0.741;0.935;1.0;0.809
transcript25_ENSPEMG00000024651;0.267;0.267;0.198;0.061;0.061;0.046;0.344;0.26;0.328;0.282;0.756;0.672;0.985;0.954;0.855;0.679;0.771;0.809;1.0
