;ENSCAFT00000027066_90_90;ENST00000316856_90_90;ENST00000586375_90_90;ENST00000586534_90_90;ENST00000590881_90_90;ENST00000591499_90_90;ENST00000592268_90_90;ENST00000593114_90_90;ENSMUST00000003911_90_90;ENSMUST00000109761_90_90;ENSMUST00000128035_90_90;ENSMUST00000144675_90_90
ENSCAFT00000027066_90_90;1.0;0.889;0.294;0.944;0.444;0.176;0.778;0.059;0.889;0.944;0.778;0.526
ENST00000316856_90_90;0.889;1.0;0.222;0.944;0.529;0.176;0.778;0.059;1.0;0.944;0.778;0.526
ENST00000586375_90_90;0.294;0.222;1.0;0.278;0.077;0.143;0.333;0.0;0.222;0.278;0.333;0.214
ENST00000586534_90_90;0.944;0.944;0.278;1.0;0.5;0.167;0.833;0.056;0.944;1.0;0.833;0.579
ENST00000590881_90_90;0.444;0.529;0.077;0.5;1.0;0.0;0.412;0.0;0.529;0.5;0.412;0.5
ENST00000591499_90_90;0.176;0.176;0.143;0.167;0.0;1.0;0.2;0.333;0.176;0.167;0.2;0.0
ENST00000592268_90_90;0.778;0.778;0.333;0.833;0.412;0.2;1.0;0.067;0.778;0.833;0.875;0.421
ENST00000593114_90_90;0.059;0.059;0.0;0.056;0.0;0.333;0.067;1.0;0.059;0.056;0.067;0.0
ENSMUST00000003911_90_90;0.889;1.0;0.222;0.944;0.529;0.176;0.778;0.059;1.0;0.944;0.778;0.526
ENSMUST00000109761_90_90;0.944;0.944;0.278;1.0;0.5;0.167;0.833;0.056;0.944;1.0;0.833;0.579
ENSMUST00000128035_90_90;0.778;0.778;0.333;0.833;0.412;0.2;0.875;0.067;0.778;0.833;1.0;0.5
ENSMUST00000144675_90_90;0.526;0.526;0.214;0.579;0.5;0.0;0.421;0.0;0.526;0.579;0.5;1.0
