;ENSCAFT00000027787_90_90;ENSCAFT00000048830_90_90;ENST00000368686_90_90;ENST00000368687_90_90;ENST00000368690_90_90;ENST00000368694_90_90;ENST00000403433_90_90;ENST00000614256_90_90;ENSMUST00000001043_90_90;ENSMUST00000049937_90_90;ENSMUST00000076639_90_90;ENSMUST00000107342_90_90;ENSMUST00000107343_90_90;ENSMUST00000107344_90_90;ENSMUST00000107346_90_90;ENSMUST00000131868_90_90;ENSMUST00000146740_90_90
ENSCAFT00000027787_90_90;;;0.097;0.251;0.323;0.333;0.353;0.42;0.0;0.115;0.129;0.0;0.0;0.0;0.125;0.145;0.126
ENSCAFT00000048830_90_90;;;0.107;0.267;0.342;0.353;0.376;0.464;0.0;0.121;0.137;0.0;0.0;0.0;0.132;0.154;0.133
ENST00000368686_90_90;0.097;0.107;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000368687_90_90;0.251;0.267;;;;;;;0.139;0.208;0.237;0.161;0.157;0.139;0.231;0.09;0.077
ENST00000368690_90_90;0.323;0.342;;;;;;;0.119;0.197;0.221;0.135;0.133;0.119;0.216;0.092;0.082
ENST00000368694_90_90;0.333;0.353;;;;;;;0.12;0.201;0.226;0.136;0.135;0.12;0.221;0.096;0.085
ENST00000403433_90_90;0.353;0.376;;;;;;;0.133;0.216;0.245;0.152;0.15;0.133;0.24;0.102;0.089
ENST00000614256_90_90;0.42;0.464;;;;;;;0.025;0.119;0.135;0.028;0.027;0.025;0.131;0.123;0.103
ENSMUST00000001043_90_90;0.0;0.0;0.0;0.139;0.119;0.12;0.133;0.025;;;;;;;;;
ENSMUST00000049937_90_90;0.115;0.121;0.0;0.208;0.197;0.201;0.216;0.119;;;;;;;;;
ENSMUST00000076639_90_90;0.129;0.137;0.0;0.237;0.221;0.226;0.245;0.135;;;;;;;;;
ENSMUST00000107342_90_90;0.0;0.0;0.0;0.161;0.135;0.136;0.152;0.028;;;;;;;;;
ENSMUST00000107343_90_90;0.0;0.0;0.0;0.157;0.133;0.135;0.15;0.027;;;;;;;;;
ENSMUST00000107344_90_90;0.0;0.0;0.0;0.139;0.119;0.12;0.133;0.025;;;;;;;;;
ENSMUST00000107346_90_90;0.125;0.132;0.0;0.231;0.216;0.221;0.24;0.131;;;;;;;;;
ENSMUST00000131868_90_90;0.145;0.154;0.0;0.09;0.092;0.096;0.102;0.123;;;;;;;;;
ENSMUST00000146740_90_90;0.126;0.133;0.0;0.077;0.082;0.085;0.089;0.103;;;;;;;;;
