;ENSCAFT00000014740_90_90;ENST00000262493_90_90;ENST00000262494_90_90;ENST00000562316_90_90;ENST00000563661_90_90;ENST00000564727_90_90;ENST00000568375_90_90;ENST00000569295_90_90;ENST00000570235_90_90;ENST00000638705_90_90;ENST00000639268_90_90;ENST00000639341_90_90;ENST00000639770_90_90;ENST00000640469_90_90;ENST00000640893_90_90;ENSMUST00000034198_90_90;ENSMUST00000125716_90_90;ENSMUST00000127900_90_90;ENSMUST00000137202_90_90;ENSMUST00000138659_90_90;ENSMUST00000142466_90_90;ENSMUST00000149530_90_90
ENSCAFT00000014740_90_90;1.0;0.433;0.166;0.103;0.294;0.248;0.076;0.151;0.14;0.433;0.055;0.259;0.115;0.295;0.253;1.0;1.0;0.283;0.508;0.516;0.279;0.164
ENST00000262493_90_90;0.433;1.0;0.516;0.493;0.283;0.279;0.193;0.151;0.14;1.0;0.213;0.553;0.115;0.401;0.412;0.433;0.433;0.116;0.101;0.166;0.248;0.136
ENST00000262494_90_90;0.166;0.516;1.0;0.31;0.283;0.02;0.1;0.151;0.14;0.516;0.213;0.177;0.115;0.062;0.412;0.166;0.166;0.116;0.101;0.166;0.0;0.0
ENST00000562316_90_90;0.103;0.493;0.31;1.0;0.0;0.29;0.17;0.0;0.0;0.493;0.189;0.522;0.0;0.313;0.152;0.103;0.103;0.0;0.0;0.0;0.243;0.319
ENST00000563661_90_90;0.294;0.283;0.283;0.0;1.0;0.0;0.0;0.514;0.4;0.283;0.142;0.0;0.349;0.0;0.678;0.294;0.294;0.327;0.224;0.294;0.0;0.0
ENST00000564727_90_90;0.248;0.279;0.02;0.29;0.0;1.0;0.282;0.0;0.0;0.279;0.0;0.496;0.0;0.673;0.0;0.248;0.248;0.0;0.0;0.0;0.847;0.48
ENST00000568375_90_90;0.076;0.193;0.1;0.17;0.0;0.282;1.0;0.0;0.0;0.193;0.0;0.349;0.0;0.39;0.0;0.076;0.076;0.0;0.0;0.0;0.204;0.0
ENST00000569295_90_90;0.151;0.151;0.151;0.0;0.514;0.0;0.0;1.0;0.636;0.151;0.0;0.0;0.59;0.0;0.367;0.151;0.151;0.0;0.007;0.151;0.0;0.0
ENST00000570235_90_90;0.14;0.14;0.14;0.0;0.4;0.0;0.0;0.636;1.0;0.14;0.0;0.0;0.417;0.0;0.304;0.14;0.14;0.0;0.006;0.14;0.0;0.0
ENST00000638705_90_90;0.433;1.0;0.516;0.493;0.283;0.279;0.193;0.151;0.14;1.0;0.213;0.553;0.115;0.401;0.412;0.433;0.433;0.116;0.101;0.166;0.248;0.136
ENST00000639268_90_90;0.055;0.213;0.213;0.189;0.142;0.0;0.0;0.0;0.0;0.213;1.0;0.0;0.0;0.0;0.112;0.055;0.055;0.146;0.096;0.055;0.0;0.0
ENST00000639341_90_90;0.259;0.553;0.177;0.522;0.0;0.496;0.349;0.0;0.0;0.553;0.0;1.0;0.0;0.726;0.138;0.259;0.259;0.0;0.0;0.0;0.433;0.235
ENST00000639770_90_90;0.115;0.115;0.115;0.0;0.349;0.0;0.0;0.59;0.417;0.115;0.0;0.0;1.0;0.0;0.26;0.115;0.115;0.0;0.007;0.115;0.0;0.0
ENST00000640469_90_90;0.295;0.401;0.062;0.313;0.0;0.673;0.39;0.0;0.0;0.401;0.0;0.726;0.0;1.0;0.0;0.295;0.295;0.0;0.0;0.0;0.579;0.312
ENST00000640893_90_90;0.253;0.412;0.412;0.152;0.678;0.0;0.0;0.367;0.304;0.412;0.112;0.138;0.26;0.0;1.0;0.253;0.253;0.238;0.177;0.253;0.0;0.0
ENSMUST00000034198_90_90;1.0;0.433;0.166;0.103;0.294;0.248;0.076;0.151;0.14;0.433;0.055;0.259;0.115;0.295;0.253;1.0;1.0;0.283;0.508;0.516;0.279;0.164
ENSMUST00000125716_90_90;1.0;0.433;0.166;0.103;0.294;0.248;0.076;0.151;0.14;0.433;0.055;0.259;0.115;0.295;0.253;1.0;1.0;0.283;0.508;0.516;0.279;0.164
ENSMUST00000127900_90_90;0.283;0.116;0.116;0.0;0.327;0.0;0.0;0.0;0.0;0.116;0.146;0.0;0.0;0.0;0.238;0.283;0.283;1.0;0.558;0.283;0.0;0.0
ENSMUST00000137202_90_90;0.508;0.101;0.101;0.0;0.224;0.0;0.0;0.007;0.006;0.101;0.096;0.0;0.007;0.0;0.177;0.508;0.508;0.558;1.0;0.508;0.0;0.0
ENSMUST00000138659_90_90;0.516;0.166;0.166;0.0;0.294;0.0;0.0;0.151;0.14;0.166;0.055;0.0;0.115;0.0;0.253;0.516;0.516;0.283;0.508;1.0;0.02;0.021
ENSMUST00000142466_90_90;0.279;0.248;0.0;0.243;0.0;0.847;0.204;0.0;0.0;0.248;0.0;0.433;0.0;0.579;0.0;0.279;0.279;0.0;0.0;0.02;1.0;0.596
ENSMUST00000149530_90_90;0.164;0.136;0.0;0.319;0.0;0.48;0.0;0.0;0.0;0.136;0.0;0.235;0.0;0.312;0.0;0.164;0.164;0.0;0.0;0.021;0.596;1.0
