;transcript52_ENSMUSG00000054036;transcript57_ENSMUSG00000054036;transcript64_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript52_MGP-CAROLIEiJ-G0020234;transcript62_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript7_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript48_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript53_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript41_ENSMUGG00000013649
transcript52_ENSMUSG00000054036;1.0;1.0;1.0;1.0;0.77;0.857;0.774;0.759;0.946;0.893;0.994;0.922;0.892;0.892;0.719;0.988;0.988;0.898
transcript57_ENSMUSG00000054036;1.0;1.0;1.0;1.0;0.767;0.837;0.756;0.756;0.941;0.896;0.98;0.928;0.903;0.795;0.76;0.983;0.983;0.914
transcript64_ENSMUSG00000054036;1.0;1.0;1.0;1.0;0.77;0.857;0.774;0.759;0.946;0.893;0.994;0.922;0.892;0.892;0.719;0.988;0.988;0.898
transcript67_ENSMUSG00000054036;1.0;1.0;1.0;1.0;0.767;0.837;0.756;0.756;0.954;0.907;0.995;0.929;0.903;0.813;0.755;0.986;0.986;0.912
transcript9_MGP-CAROLIEiJ-G0020234;0.77;0.767;0.77;0.767;1.0;0.873;0.788;0.988;0.741;0.87;0.783;0.827;0.847;0.844;0.893;0.78;0.78;0.865
transcript52_MGP-CAROLIEiJ-G0020234;0.857;0.837;0.857;0.837;0.873;1.0;0.903;0.861;0.795;0.758;0.842;0.773;0.749;0.762;0.777;0.828;0.828;0.754
transcript62_MGP-CAROLIEiJ-G0020234;0.774;0.756;0.774;0.756;0.788;0.903;1.0;0.776;0.798;0.684;0.76;0.697;0.674;0.686;0.688;0.746;0.746;0.681
transcript63_MGP-CAROLIEiJ-G0020234;0.759;0.756;0.759;0.756;0.988;0.861;0.776;1.0;0.73;0.859;0.772;0.816;0.836;0.834;0.9;0.769;0.769;0.855
transcript7_MGP-PahariEiJ-G0020237;0.946;0.941;0.946;0.954;0.741;0.795;0.798;0.73;1.0;0.888;0.96;0.884;0.86;0.77;0.719;0.924;0.924;0.872
transcript9_MGP-PahariEiJ-G0020237;0.893;0.896;0.893;0.907;0.87;0.758;0.684;0.859;0.888;1.0;0.926;0.948;0.964;0.882;0.833;0.909;0.909;0.982
transcript48_MGP-PahariEiJ-G0020237;0.994;0.98;0.994;0.995;0.783;0.842;0.76;0.772;0.96;0.926;1.0;0.922;0.897;0.809;0.759;0.964;0.964;0.909
transcript8_ENSRNOG00000031503;0.922;0.928;0.922;0.929;0.827;0.773;0.697;0.816;0.884;0.948;0.922;1.0;0.984;0.878;0.843;0.961;0.961;0.966
transcript40_ENSRNOG00000031503;0.892;0.903;0.892;0.903;0.847;0.749;0.674;0.836;0.86;0.964;0.897;0.984;1.0;0.896;0.861;0.946;0.946;0.982
transcript49_ENSRNOG00000031503;0.892;0.795;0.892;0.813;0.844;0.762;0.686;0.834;0.77;0.882;0.809;0.878;0.896;1.0;0.741;0.835;0.835;0.878
transcript53_ENSRNOG00000031503;0.719;0.76;0.719;0.755;0.893;0.777;0.688;0.9;0.719;0.833;0.759;0.843;0.861;0.741;1.0;0.799;0.799;0.845
transcript54_ENSRNOG00000031503;0.988;0.983;0.988;0.986;0.78;0.828;0.746;0.769;0.924;0.909;0.964;0.961;0.946;0.835;0.799;1.0;1.0;0.928
transcript55_ENSRNOG00000031503;0.988;0.983;0.988;0.986;0.78;0.828;0.746;0.769;0.924;0.909;0.964;0.961;0.946;0.835;0.799;1.0;1.0;0.928
transcript41_ENSMUGG00000013649;0.898;0.914;0.898;0.912;0.865;0.754;0.681;0.855;0.872;0.982;0.909;0.966;0.982;0.878;0.845;0.928;0.928;1.0
