;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript8_ENSMPUG00000020072;transcript8_ENSECAG00000007947;transcript10_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript4_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947
transcript6_ENSMPUG00000020072;1.0;0.965;0.582;0.64;0.844;0.991;0.983;0.969;0.578;0.81;0.839;0.983;0.578;0.578;0.921;0.969
transcript6_ENSECAG00000007947;0.965;1.0;0.549;0.609;0.816;0.956;0.969;0.952;0.584;0.818;0.852;0.976;0.584;0.584;0.891;0.952
transcript8_ENSMPUG00000020072;0.582;0.549;1.0;0.736;0.573;0.587;0.595;0.586;0.327;0.428;0.558;0.582;0.327;0.327;0.543;0.586
transcript8_ENSECAG00000007947;0.64;0.609;0.736;1.0;0.634;0.636;0.641;0.63;0.371;0.495;0.623;0.632;0.371;0.371;0.671;0.63
transcript10_ENSMPUG00000020072;0.844;0.816;0.573;0.634;1.0;0.851;0.861;0.875;0.573;0.772;0.884;0.844;0.573;0.573;0.827;0.875
transcript13_ENSMPUG00000020072;0.991;0.956;0.587;0.636;0.851;1.0;0.974;0.96;0.573;0.802;0.835;0.974;0.573;0.573;0.912;0.96
transcript4_ENSECAG00000007947;0.983;0.969;0.595;0.641;0.861;0.974;1.0;0.983;0.615;0.848;0.883;0.988;0.615;0.615;0.921;0.983
transcript7_ENSECAG00000007947;0.969;0.952;0.586;0.63;0.875;0.96;0.983;1.0;0.605;0.866;0.9;0.971;0.605;0.605;0.939;1.0
transcript14_ENSECAG00000007947;0.578;0.584;0.327;0.371;0.573;0.573;0.615;0.605;1.0;0.698;0.607;0.604;1.0;1.0;0.543;0.605
transcript15_ENSECAG00000007947;0.81;0.818;0.428;0.495;0.772;0.802;0.848;0.866;0.698;1.0;0.829;0.837;0.698;0.698;0.804;0.866
transcript16_ENSECAG00000007947;0.839;0.852;0.558;0.623;0.884;0.835;0.883;0.9;0.607;0.829;1.0;0.871;0.607;0.607;0.839;0.9
transcript17_ENSECAG00000007947;0.983;0.976;0.582;0.632;0.844;0.974;0.988;0.971;0.604;0.837;0.871;1.0;0.604;0.604;0.91;0.971
transcript18_ENSECAG00000007947;0.578;0.584;0.327;0.371;0.573;0.573;0.615;0.605;1.0;0.698;0.607;0.604;1.0;1.0;0.543;0.605
transcript19_ENSECAG00000007947;0.578;0.584;0.327;0.371;0.573;0.573;0.615;0.605;1.0;0.698;0.607;0.604;1.0;1.0;0.543;0.605
transcript20_ENSECAG00000007947;0.921;0.891;0.543;0.671;0.827;0.912;0.921;0.939;0.543;0.804;0.839;0.91;0.543;0.543;1.0;0.939
transcript21_ENSECAG00000007947;0.969;0.952;0.586;0.63;0.875;0.96;0.983;1.0;0.605;0.866;0.9;0.971;0.605;0.605;0.939;1.0
