;ENSCAFT00000016446_90_90;ENST00000290246_90_90;ENST00000352077_90_90;ENST00000372176_90_90;ENST00000396391_90_90;ENST00000425546_90_90;ENST00000450812_90_90;ENST00000452857_90_90;ENST00000467800_90_90;ENSMUST00000071699_90_90;ENSMUST00000074046_90_90;ENSMUST00000094329_90_90;ENSMUST00000103088_90_90;ENSMUST00000103091_90_90;ENSMUST00000126318_90_90;ENSMUST00000128690_90_90;ENSMUST00000133205_90_90;ENSMUST00000137188_90_90;ENSMUST00000148643_90_90
ENSCAFT00000016446_90_90;1.0;0.826;0.808;0.698;0.826;0.33;0.484;0.254;0.416;0.782;0.926;0.931;0.782;0.931;0.078;0.08;0.223;0.234;0.366
ENST00000290246_90_90;0.826;1.0;0.98;0.824;1.0;0.322;0.542;0.331;0.351;0.636;0.77;0.771;0.636;0.771;0.082;0.066;0.215;0.244;0.254
ENST00000352077_90_90;0.808;0.98;1.0;0.803;0.98;0.328;0.522;0.337;0.356;0.621;0.755;0.755;0.621;0.755;0.084;0.067;0.22;0.249;0.257
ENST00000372176_90_90;0.698;0.824;0.803;1.0;0.824;0.385;0.366;0.399;0.405;0.522;0.649;0.646;0.522;0.646;0.0;0.0;0.062;0.295;0.295
ENST00000396391_90_90;0.826;1.0;0.98;0.824;1.0;0.322;0.542;0.331;0.351;0.636;0.77;0.771;0.636;0.771;0.082;0.066;0.215;0.244;0.254
ENST00000425546_90_90;0.33;0.322;0.328;0.385;0.322;1.0;0.251;0.069;0.306;0.29;0.318;0.308;0.29;0.308;0.0;0.0;0.0;0.213;0.13
ENST00000450812_90_90;0.484;0.542;0.522;0.366;0.542;0.251;1.0;0.0;0.076;0.437;0.466;0.46;0.437;0.46;0.155;0.119;0.386;0.46;0.0
ENST00000452857_90_90;0.254;0.331;0.337;0.399;0.331;0.069;0.0;1.0;0.279;0.152;0.228;0.234;0.152;0.234;0.0;0.0;0.0;0.0;0.547
ENST00000467800_90_90;0.416;0.351;0.356;0.405;0.351;0.306;0.076;0.279;1.0;0.394;0.402;0.416;0.394;0.416;0.0;0.0;0.0;0.036;0.416
ENSMUST00000071699_90_90;0.782;0.636;0.621;0.522;0.636;0.29;0.437;0.152;0.394;1.0;0.811;0.845;1.0;0.845;0.074;0.077;0.215;0.242;0.296
ENSMUST00000074046_90_90;0.926;0.77;0.755;0.649;0.77;0.318;0.466;0.228;0.402;0.811;1.0;0.96;0.811;0.96;0.075;0.076;0.213;0.245;0.376
ENSMUST00000094329_90_90;0.931;0.771;0.755;0.646;0.771;0.308;0.46;0.234;0.416;0.845;0.96;1.0;0.845;1.0;0.078;0.08;0.223;0.255;0.391
ENSMUST00000103088_90_90;0.782;0.636;0.621;0.522;0.636;0.29;0.437;0.152;0.394;1.0;0.811;0.845;1.0;0.845;0.074;0.077;0.215;0.242;0.296
ENSMUST00000103091_90_90;0.931;0.771;0.755;0.646;0.771;0.308;0.46;0.234;0.416;0.845;0.96;1.0;0.845;1.0;0.078;0.08;0.223;0.255;0.391
ENSMUST00000126318_90_90;0.078;0.082;0.084;0.0;0.082;0.0;0.155;0.0;0.0;0.074;0.075;0.078;0.074;0.078;1.0;0.431;0.382;0.0;0.0
ENSMUST00000128690_90_90;0.08;0.066;0.067;0.0;0.066;0.0;0.119;0.0;0.0;0.077;0.076;0.08;0.077;0.08;0.431;1.0;0.356;0.0;0.0
ENSMUST00000133205_90_90;0.223;0.215;0.22;0.062;0.215;0.0;0.386;0.0;0.0;0.215;0.213;0.223;0.215;0.223;0.382;0.356;1.0;0.077;0.0
ENSMUST00000137188_90_90;0.234;0.244;0.249;0.295;0.244;0.213;0.46;0.0;0.036;0.242;0.245;0.255;0.242;0.255;0.0;0.0;0.077;1.0;0.0
ENSMUST00000148643_90_90;0.366;0.254;0.257;0.295;0.254;0.13;0.0;0.547;0.416;0.296;0.376;0.391;0.296;0.391;0.0;0.0;0.0;0.0;1.0
