;ENSCAFT00000002501_90_90;ENST00000307972_90_90;ENST00000373057_90_90;ENST00000373060_90_90;ENST00000373063_90_90;ENST00000409208_90_90;ENST00000451305_90_90;ENSMUST00000097311_90_90;ENSMUST00000113262_90_90;ENSMUST00000113263_90_90;ENSMUST00000113265_90_90
ENSCAFT00000002501_90_90;1.0;0.931;0.901;0.931;0.936;0.968;0.064;0.82;0.845;0.794;0.82
ENST00000307972_90_90;0.931;1.0;0.968;1.0;0.928;0.96;0.064;0.828;0.795;0.802;0.77
ENST00000373057_90_90;0.901;0.968;1.0;0.968;0.895;0.927;0.065;0.802;0.769;0.82;0.746
ENST00000373060_90_90;0.931;1.0;0.968;1.0;0.928;0.96;0.064;0.828;0.795;0.802;0.77
ENST00000373063_90_90;0.936;0.928;0.895;0.928;1.0;0.966;0.068;0.77;0.793;0.746;0.81
ENST00000409208_90_90;0.968;0.96;0.927;0.96;0.966;1.0;0.066;0.795;0.82;0.769;0.793
ENST00000451305_90_90;0.064;0.064;0.065;0.064;0.068;0.066;1.0;0.059;0.06;0.06;0.062
ENSMUST00000097311_90_90;0.82;0.828;0.802;0.828;0.77;0.795;0.059;1.0;0.964;0.972;0.938
ENSMUST00000113262_90_90;0.845;0.795;0.769;0.795;0.793;0.82;0.06;0.964;1.0;0.938;0.972
ENSMUST00000113263_90_90;0.794;0.802;0.82;0.802;0.746;0.769;0.06;0.972;0.938;1.0;0.91
ENSMUST00000113265_90_90;0.82;0.77;0.746;0.77;0.81;0.793;0.062;0.938;0.972;0.91;1.0
