;ENSCAFT00000027448_90_90;ENSCAFT00000027452_90_90;ENST00000271850_90_90;ENST00000302206_90_90;ENST00000323144_90_90;ENST00000328159_90_90;ENST00000330188_90_90;ENST00000341372_90_90;ENST00000341485_90_90;ENST00000368530_90_90;ENST00000368531_90_90;ENST00000368533_90_90;ENST00000509409_90_90;ENST00000509601_90_90;ENST00000515609_90_90;ENST00000611659_90_90;ENSMUST00000029549_90_90;ENSMUST00000118566_90_90;ENSMUST00000119158_90_90;ENSMUST00000119570_90_90;ENSMUST00000121503_90_90;ENSMUST00000127955_90_90;ENSMUST00000149432_90_90
ENSCAFT00000027448_90_90;1.0;0.559;0.764;0.432;0.585;0.588;0.549;0.453;0.342;0.97;0.521;0.49;0.06;0.147;0.191;0.435;0.49;0.651;0.585;0.764;0.939;0.075;0.272
ENSCAFT00000027452_90_90;0.559;1.0;0.587;0.598;0.883;0.74;0.967;0.773;0.697;0.549;0.802;0.886;0.224;0.335;0.0;0.812;0.886;0.815;0.883;0.587;0.566;0.081;0.3
ENST00000271850_90_90;0.764;0.587;1.0;0.395;0.4;0.568;0.502;0.66;0.547;0.628;0.568;0.691;0.055;0.172;0.184;0.635;0.691;0.4;0.4;1.0;0.605;0.069;0.2
ENST00000302206_90_90;0.432;0.598;0.395;1.0;0.49;0.313;0.642;0.478;0.36;0.448;0.314;0.433;0.044;0.0;0.0;0.371;0.433;0.489;0.49;0.395;0.462;0.119;0.5
ENST00000323144_90_90;0.585;0.883;0.4;0.49;1.0;0.613;0.821;0.513;0.46;0.575;0.732;0.601;0.224;0.322;0.0;0.542;0.601;0.846;1.0;0.4;0.593;0.081;0.333
ENST00000328159_90_90;0.588;0.74;0.568;0.313;0.613;1.0;0.599;0.726;0.663;0.491;0.849;0.824;0.216;0.368;0.0;0.759;0.824;0.732;0.613;0.568;0.503;0.077;0.225
ENST00000330188_90_90;0.549;0.967;0.502;0.642;0.821;0.599;1.0;0.647;0.593;0.559;0.601;0.741;0.216;0.314;0.0;0.678;0.741;0.82;0.821;0.502;0.575;0.077;0.321
ENST00000341372_90_90;0.453;0.773;0.66;0.478;0.513;0.726;0.647;1.0;0.723;0.363;0.727;0.894;0.183;0.252;0.0;0.824;0.894;0.512;0.513;0.66;0.372;0.083;0.243
ENST00000341485_90_90;0.342;0.697;0.547;0.36;0.46;0.663;0.593;0.723;1.0;0.278;0.664;0.829;0.16;0.37;0.0;0.759;0.829;0.459;0.46;0.547;0.283;0.0;0.13
ENST00000368530_90_90;0.97;0.549;0.628;0.448;0.575;0.491;0.559;0.363;0.278;1.0;0.408;0.4;0.06;0.142;0.191;0.352;0.4;0.678;0.575;0.628;0.968;0.075;0.302
ENST00000368531_90_90;0.521;0.802;0.568;0.314;0.732;0.849;0.601;0.727;0.664;0.408;1.0;0.826;0.216;0.369;0.0;0.76;0.826;0.613;0.732;0.568;0.418;0.077;0.225
ENST00000368533_90_90;0.49;0.886;0.691;0.433;0.601;0.824;0.741;0.894;0.829;0.4;0.826;1.0;0.21;0.358;0.0;0.929;1.0;0.599;0.601;0.691;0.408;0.073;0.22
ENST00000509409_90_90;0.06;0.224;0.055;0.044;0.224;0.216;0.216;0.183;0.16;0.06;0.216;0.21;1.0;0.345;0.0;0.225;0.21;0.224;0.224;0.055;0.063;0.134;0.071
ENST00000509601_90_90;0.147;0.335;0.172;0.0;0.322;0.368;0.314;0.252;0.37;0.142;0.369;0.358;0.345;1.0;0.0;0.386;0.358;0.322;0.322;0.172;0.146;0.0;0.0
ENST00000515609_90_90;0.191;0.0;0.184;0.0;0.0;0.0;0.0;0.0;0.0;0.191;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.184;0.16;0.0;0.0
ENST00000611659_90_90;0.435;0.812;0.635;0.371;0.542;0.759;0.678;0.824;0.759;0.352;0.76;0.929;0.225;0.386;0.0;1.0;0.929;0.541;0.542;0.635;0.36;0.079;0.235
ENSMUST00000029549_90_90;0.49;0.886;0.691;0.433;0.601;0.824;0.741;0.894;0.829;0.4;0.826;1.0;0.21;0.358;0.0;0.929;1.0;0.599;0.601;0.691;0.408;0.073;0.22
ENSMUST00000118566_90_90;0.651;0.815;0.4;0.489;0.846;0.732;0.82;0.512;0.459;0.678;0.613;0.599;0.224;0.322;0.0;0.541;0.599;1.0;0.846;0.4;0.7;0.081;0.332
ENSMUST00000119158_90_90;0.585;0.883;0.4;0.49;1.0;0.613;0.821;0.513;0.46;0.575;0.732;0.601;0.224;0.322;0.0;0.542;0.601;0.846;1.0;0.4;0.593;0.081;0.333
ENSMUST00000119570_90_90;0.764;0.587;1.0;0.395;0.4;0.568;0.502;0.66;0.547;0.628;0.568;0.691;0.055;0.172;0.184;0.635;0.691;0.4;0.4;1.0;0.605;0.069;0.2
ENSMUST00000121503_90_90;0.939;0.566;0.605;0.462;0.593;0.503;0.575;0.372;0.283;0.968;0.418;0.408;0.063;0.146;0.16;0.36;0.408;0.7;0.593;0.605;1.0;0.079;0.314
ENSMUST00000127955_90_90;0.075;0.081;0.069;0.119;0.081;0.077;0.077;0.083;0.0;0.075;0.077;0.073;0.134;0.0;0.0;0.079;0.073;0.081;0.081;0.069;0.079;1.0;0.23
ENSMUST00000149432_90_90;0.272;0.3;0.2;0.5;0.333;0.225;0.321;0.243;0.13;0.302;0.225;0.22;0.071;0.0;0.0;0.235;0.22;0.332;0.333;0.2;0.314;0.23;1.0
