;transcript30_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript30_ENSCCNG00000000226;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843;transcript35_ENSCPOG00000024843;transcript29_ENSCPOG00000024843;transcript1_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript31_ENSSTOG00000019743;transcript1_ENSMLUG00000027828;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828
transcript30_ENSSTOG00000019743;1.0;0.879;0.73;0.756;0.8;0.814;0.814;0.847;0.959;1.0;0.98;0.735;0.674;0.674;0.671
transcript9_ENSSTOG00000019743;0.879;1.0;0.641;0.663;0.7;0.714;0.714;0.742;0.843;0.879;0.859;0.647;0.752;0.752;0.749
transcript1_ENSCCNG00000000226;0.73;0.641;1.0;0.962;0.822;0.838;0.838;0.812;0.756;0.73;0.717;0.757;0.644;0.644;0.638
transcript30_ENSCCNG00000000226;0.756;0.663;0.962;1.0;0.79;0.806;0.806;0.84;0.728;0.756;0.742;0.736;0.666;0.666;0.66
transcript36_ENSCPOG00000024843;0.8;0.7;0.822;0.79;1.0;0.98;0.98;0.942;0.835;0.8;0.814;0.827;0.697;0.697;0.701
transcript37_ENSCPOG00000024843;0.814;0.714;0.838;0.806;0.98;1.0;1.0;0.961;0.848;0.814;0.798;0.846;0.717;0.717;0.711
transcript35_ENSCPOG00000024843;0.814;0.714;0.838;0.806;0.98;1.0;1.0;0.961;0.848;0.814;0.798;0.846;0.717;0.717;0.711
transcript29_ENSCPOG00000024843;0.847;0.742;0.812;0.84;0.942;0.961;0.961;1.0;0.817;0.847;0.83;0.823;0.746;0.746;0.739
transcript1_ENSSTOG00000019743;0.959;0.843;0.756;0.728;0.835;0.848;0.848;0.817;1.0;0.959;0.941;0.756;0.65;0.65;0.647
transcript29_ENSSTOG00000019743;1.0;0.879;0.73;0.756;0.8;0.814;0.814;0.847;0.959;1.0;0.98;0.735;0.674;0.674;0.671
transcript31_ENSSTOG00000019743;0.98;0.859;0.717;0.742;0.814;0.798;0.798;0.83;0.941;0.98;1.0;0.719;0.657;0.657;0.661
transcript1_ENSMLUG00000027828;0.735;0.647;0.757;0.736;0.827;0.846;0.846;0.823;0.756;0.735;0.719;1.0;0.849;0.849;0.842
transcript10_ENSMLUG00000027828;0.674;0.752;0.644;0.666;0.697;0.717;0.717;0.746;0.65;0.674;0.657;0.849;1.0;1.0;0.992
transcript16_ENSMLUG00000027828;0.674;0.752;0.644;0.666;0.697;0.717;0.717;0.746;0.65;0.674;0.657;0.849;1.0;1.0;0.992
transcript28_ENSMLUG00000027828;0.671;0.749;0.638;0.66;0.701;0.711;0.711;0.739;0.647;0.671;0.661;0.842;0.992;0.992;1.0
