;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENSCAFT00000013569_90_90;1.0;0.724;0.529;0.764;0.816;0.911;0.72;0.72;0.945;0.911;0.341;0.883;0.974;0.266;0.228;0.167;0.791;0.224;0.553;0.795;0.95;0.819;0.922;0.97;1.0
ENSCAFT00000048577_90_90;0.724;1.0;0.544;0.667;0.938;0.771;0.599;0.599;0.811;0.771;0.314;0.801;0.781;0.216;0.211;0.149;0.968;0.207;0.478;0.95;0.793;0.921;0.821;0.78;0.752
ENSCAFT00000049950_90_90;0.529;0.544;1.0;0.75;0.542;0.57;0.436;0.436;0.569;0.57;0.581;0.55;0.589;0.293;0.39;0.284;0.524;0.382;0.285;0.522;0.611;0.538;0.593;0.555;0.572
ENST00000314177_90_90;0.764;0.667;0.75;1.0;0.73;0.693;0.478;0.478;0.752;0.693;0.414;0.673;0.774;0.385;0.285;0.211;0.708;0.255;0.35;0.703;0.717;0.726;0.695;0.746;0.77
ENST00000338564_90_90;0.816;0.938;0.542;0.73;1.0;0.746;0.552;0.552;0.798;0.746;0.295;0.726;0.822;0.286;0.203;0.146;0.971;0.187;0.441;0.97;0.77;1.0;0.748;0.795;0.819
ENST00000340545_90_90;0.911;0.771;0.57;0.693;0.746;1.0;0.756;0.756;0.891;1.0;0.346;0.967;0.918;0.216;0.238;0.174;0.726;0.216;0.514;0.735;0.934;0.757;0.904;0.865;0.891
ENST00000397620_90_90;0.72;0.599;0.436;0.478;0.552;0.756;1.0;1.0;0.678;0.756;0.476;0.733;0.698;0.042;0.296;0.216;0.537;0.265;0.631;0.571;0.738;0.589;0.715;0.684;0.704
ENST00000397624_90_90;0.72;0.599;0.436;0.478;0.552;0.756;1.0;1.0;0.678;0.756;0.476;0.733;0.698;0.042;0.296;0.216;0.537;0.265;0.631;0.571;0.738;0.589;0.715;0.684;0.704
ENST00000424352_90_90;0.945;0.811;0.569;0.752;0.798;0.891;0.678;0.678;1.0;0.891;0.314;0.921;0.97;0.288;0.215;0.159;0.826;0.196;0.467;0.842;0.895;0.814;0.926;0.978;0.947
ENST00000557796_90_90;0.911;0.771;0.57;0.693;0.746;1.0;0.756;0.756;0.891;1.0;0.346;0.967;0.918;0.216;0.238;0.174;0.726;0.216;0.514;0.735;0.934;0.757;0.904;0.865;0.891
ENST00000558313_90_90;0.341;0.314;0.581;0.414;0.295;0.346;0.476;0.476;0.314;0.346;1.0;0.337;0.322;0.07;0.491;0.444;0.287;0.337;0.257;0.299;0.349;0.308;0.338;0.325;0.334
ENST00000559085_90_90;0.883;0.801;0.55;0.673;0.726;0.967;0.733;0.733;0.921;0.967;0.337;1.0;0.891;0.21;0.231;0.169;0.752;0.21;0.5;0.764;0.904;0.735;0.938;0.896;0.865
ENST00000559561_90_90;0.974;0.781;0.589;0.774;0.822;0.918;0.698;0.698;0.97;0.918;0.322;0.891;1.0;0.298;0.22;0.163;0.798;0.201;0.479;0.814;0.923;0.839;0.895;0.947;0.976
ENST00000560570_90_90;0.266;0.216;0.293;0.385;0.286;0.216;0.042;0.042;0.288;0.216;0.07;0.21;0.298;1.0;0.0;0.0;0.276;0.0;0.0;0.262;0.231;0.271;0.225;0.274;0.283
ENST00000560617_90_90;0.228;0.211;0.39;0.285;0.203;0.238;0.296;0.296;0.215;0.238;0.491;0.231;0.22;0.0;1.0;0.699;0.197;0.603;0.378;0.201;0.234;0.207;0.227;0.218;0.224
ENST00000560697_90_90;0.167;0.149;0.284;0.211;0.146;0.174;0.216;0.216;0.159;0.174;0.444;0.169;0.163;0.0;0.699;1.0;0.143;0.4;0.278;0.145;0.17;0.148;0.165;0.161;0.165
ENST00000561208_90_90;0.791;0.968;0.524;0.708;0.971;0.726;0.537;0.537;0.826;0.726;0.287;0.752;0.798;0.276;0.197;0.143;1.0;0.182;0.43;1.0;0.748;0.97;0.776;0.823;0.795
ENST00000606653_90_90;0.224;0.207;0.382;0.255;0.187;0.216;0.265;0.265;0.196;0.216;0.337;0.21;0.201;0.0;0.603;0.4;0.182;1.0;0.329;0.197;0.229;0.203;0.222;0.213;0.22
ENST00000607277_90_90;0.553;0.478;0.285;0.35;0.441;0.514;0.631;0.631;0.467;0.514;0.257;0.5;0.479;0.0;0.378;0.278;0.43;0.329;1.0;0.458;0.568;0.472;0.549;0.525;0.541
ENSMUST00000028639_90_90;0.795;0.95;0.522;0.703;0.97;0.735;0.571;0.571;0.842;0.735;0.299;0.764;0.814;0.262;0.201;0.145;1.0;0.197;0.458;1.0;0.724;0.971;0.75;0.826;0.798
ENSMUST00000074285_90_90;0.95;0.793;0.611;0.717;0.77;0.934;0.738;0.738;0.895;0.934;0.349;0.904;0.923;0.231;0.234;0.17;0.748;0.229;0.568;0.724;1.0;0.743;0.97;0.887;0.911
ENSMUST00000102538_90_90;0.819;0.921;0.538;0.726;1.0;0.757;0.589;0.589;0.814;0.757;0.308;0.735;0.839;0.271;0.207;0.148;0.97;0.203;0.472;0.971;0.743;1.0;0.724;0.798;0.822
ENSMUST00000110906_90_90;0.922;0.821;0.593;0.695;0.748;0.904;0.715;0.715;0.926;0.904;0.338;0.938;0.895;0.225;0.227;0.165;0.776;0.222;0.549;0.75;0.97;0.724;1.0;0.914;0.887
ENSMUST00000110907_90_90;0.97;0.78;0.555;0.746;0.795;0.865;0.684;0.684;0.978;0.865;0.325;0.896;0.947;0.274;0.218;0.161;0.823;0.213;0.525;0.826;0.887;0.798;0.914;1.0;0.97
ENSMUST00000110908_90_90;1.0;0.752;0.572;0.77;0.819;0.891;0.704;0.704;0.947;0.891;0.334;0.865;0.976;0.283;0.224;0.165;0.795;0.22;0.541;0.798;0.911;0.822;0.887;0.97;1.0
