;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript36_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript15_ENSSTOG00000019743;transcript25_ENSCPOG00000024843
transcript6_ENSMPUG00000020072;1.0;0.703;0.686;0.637;0.703;0.582;0.716;0.481;0.746;0.746;0.676;0.746;0.662;0.617;0.823
transcript6_ENSECAG00000007947;0.703;1.0;0.966;0.882;1.0;0.807;0.75;0.481;0.755;0.755;0.699;0.755;0.659;0.591;0.844
transcript7_ENSECAG00000007947;0.686;0.966;1.0;0.849;0.966;0.773;0.721;0.451;0.727;0.727;0.669;0.727;0.642;0.562;0.816
transcript19_ENSECAG00000007947;0.637;0.882;0.849;1.0;0.882;0.914;0.686;0.408;0.84;0.84;0.779;0.84;0.734;0.659;0.745
transcript20_ENSECAG00000007947;0.703;1.0;0.966;0.882;1.0;0.807;0.75;0.481;0.755;0.755;0.699;0.755;0.659;0.591;0.844
transcript21_ENSECAG00000007947;0.582;0.807;0.773;0.914;0.807;1.0;0.657;0.438;0.768;0.768;0.841;0.768;0.661;0.653;0.681
transcript7_ENSMLUG00000027828;0.716;0.75;0.721;0.686;0.75;0.657;1.0;0.619;0.819;0.819;0.776;0.819;0.723;0.667;0.894
transcript13_ENSMLUG00000027828;0.481;0.481;0.451;0.408;0.481;0.438;0.619;1.0;0.471;0.471;0.52;0.471;0.435;0.416;0.553
transcript15_ENSCGRG00015005362;0.746;0.755;0.727;0.84;0.755;0.768;0.819;0.471;1.0;1.0;0.896;1.0;0.88;0.792;0.887
transcript15_ENSCGRG00000018457;0.746;0.755;0.727;0.84;0.755;0.768;0.819;0.471;1.0;1.0;0.896;1.0;0.88;0.792;0.887
transcript36_ENSCGRG00000018457;0.676;0.699;0.669;0.779;0.699;0.841;0.776;0.52;0.896;0.896;1.0;0.896;0.776;0.758;0.794
transcript15_ENSCGRG00001010245;0.746;0.755;0.727;0.84;0.755;0.768;0.819;0.471;1.0;1.0;0.896;1.0;0.88;0.792;0.887
transcript15_ENSPEMG00000024651;0.662;0.659;0.642;0.734;0.659;0.661;0.723;0.435;0.88;0.88;0.776;0.88;1.0;0.699;0.78
transcript15_ENSSTOG00000019743;0.617;0.591;0.562;0.659;0.591;0.653;0.667;0.416;0.792;0.792;0.758;0.792;0.699;1.0;0.702
transcript25_ENSCPOG00000024843;0.823;0.844;0.816;0.745;0.844;0.681;0.894;0.553;0.887;0.887;0.794;0.887;0.78;0.702;1.0
