;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript8_ENSMPUG00000020072;transcript8_ENSECAG00000007947;transcript10_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript4_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947
transcript6_ENSMPUG00000020072;1.0;0.931;0.61;0.625;0.88;0.995;0.946;0.925;0.627;0.825;0.839;0.955;0.627;0.627;0.872;0.925
transcript6_ENSECAG00000007947;0.931;1.0;0.556;0.612;0.841;0.926;0.979;0.958;0.651;0.866;0.884;0.978;0.651;0.651;0.893;0.958
transcript8_ENSMPUG00000020072;0.61;0.556;1.0;0.74;0.593;0.613;0.587;0.574;0.38;0.47;0.561;0.587;0.38;0.38;0.52;0.574
transcript8_ENSECAG00000007947;0.625;0.612;0.74;1.0;0.619;0.623;0.636;0.622;0.408;0.526;0.625;0.635;0.408;0.408;0.667;0.622
transcript10_ENSMPUG00000020072;0.88;0.841;0.593;0.619;1.0;0.884;0.869;0.887;0.621;0.819;0.899;0.855;0.621;0.621;0.834;0.887
transcript13_ENSMPUG00000020072;0.995;0.926;0.613;0.623;0.884;1.0;0.941;0.92;0.623;0.821;0.837;0.95;0.623;0.623;0.867;0.92
transcript4_ENSECAG00000007947;0.946;0.979;0.587;0.636;0.869;0.941;1.0;0.979;0.674;0.887;0.905;0.988;0.674;0.674;0.913;0.979
transcript7_ENSECAG00000007947;0.925;0.958;0.574;0.622;0.887;0.92;0.979;1.0;0.659;0.909;0.927;0.968;0.659;0.659;0.935;1.0
transcript14_ENSECAG00000007947;0.627;0.651;0.38;0.408;0.621;0.623;0.674;0.659;1.0;0.724;0.654;0.661;1.0;1.0;0.592;0.659
transcript15_ENSECAG00000007947;0.825;0.866;0.47;0.526;0.819;0.821;0.887;0.909;0.724;1.0;0.875;0.875;0.724;0.724;0.844;0.909
transcript16_ENSECAG00000007947;0.839;0.884;0.561;0.625;0.899;0.837;0.905;0.927;0.654;0.875;1.0;0.893;0.654;0.654;0.862;0.927
transcript17_ENSECAG00000007947;0.955;0.978;0.587;0.635;0.855;0.95;0.988;0.968;0.661;0.875;0.893;1.0;0.661;0.661;0.903;0.968
transcript18_ENSECAG00000007947;0.627;0.651;0.38;0.408;0.621;0.623;0.674;0.659;1.0;0.724;0.654;0.661;1.0;1.0;0.592;0.659
transcript19_ENSECAG00000007947;0.627;0.651;0.38;0.408;0.621;0.623;0.674;0.659;1.0;0.724;0.654;0.661;1.0;1.0;0.592;0.659
transcript20_ENSECAG00000007947;0.872;0.893;0.52;0.667;0.834;0.867;0.913;0.935;0.592;0.844;0.862;0.903;0.592;0.592;1.0;0.935
transcript21_ENSECAG00000007947;0.925;0.958;0.574;0.622;0.887;0.92;0.979;1.0;0.659;0.909;0.927;0.968;0.659;0.659;0.935;1.0
