;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript52_ENSMSIG00000000513;transcript58_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript52_MGP-SPRETEiJ-G0021131;transcript63_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript58_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript39_ENSRNOG00000031503;transcript50_ENSRNOG00000031503;transcript12_ENSMUGG00000013649;transcript32_ENSMUGG00000013649;transcript50_ENSMUGG00000013649;transcript32_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;0.885;0.92;0.92;0.792;0.864;0.75;0.878;0.894;0.857;0.596;0.812;0.917;0.872;0.833;0.838;0.838;0.811;0.861;0.92;0.885;0.92;0.885
transcript38_ENSMSIG00000000513;0.885;1.0;0.962;0.962;1.0;0.917;0.958;1.0;0.939;0.98;0.653;0.896;1.0;1.0;0.946;1.0;1.0;0.973;0.973;0.962;1.0;0.962;1.0
transcript52_ENSMSIG00000000513;0.92;0.962;1.0;1.0;0.917;1.0;0.875;0.959;0.979;0.939;0.681;0.896;1.0;0.957;0.892;0.946;0.946;0.919;0.972;0.923;0.962;0.923;0.962
transcript58_ENSMSIG00000000513;0.92;0.962;1.0;1.0;0.917;1.0;0.875;0.959;0.979;0.939;0.681;0.896;1.0;0.957;0.892;0.946;0.946;0.919;0.972;0.923;0.962;0.923;0.962
transcript38_MGP-SPRETEiJ-G0021131;0.792;1.0;0.917;0.917;1.0;0.95;0.975;1.0;0.925;0.975;0.8;0.861;1.0;1.0;0.933;1.0;1.0;0.967;0.967;0.95;1.0;0.95;1.0
transcript52_MGP-SPRETEiJ-G0021131;0.864;0.917;1.0;1.0;0.95;1.0;0.925;0.95;0.974;0.925;0.842;0.861;1.0;0.944;0.867;0.933;0.933;0.9;0.966;0.9;0.95;0.9;0.95
transcript63_MGP-SPRETEiJ-G0021131;0.75;0.958;0.875;0.875;0.975;0.925;1.0;0.975;0.949;1.0;0.821;0.833;0.972;1.0;0.966;0.967;0.967;1.0;0.933;0.925;0.975;0.925;0.975
transcript38_ENSMUSG00000054036;0.878;1.0;0.959;0.959;1.0;0.95;0.975;1.0;0.954;0.985;0.738;0.915;1.0;1.0;0.957;1.0;1.0;0.979;0.979;0.969;1.0;0.969;1.0
transcript54_ENSMUSG00000054036;0.894;0.939;0.979;0.979;0.925;0.974;0.949;0.954;1.0;0.969;0.774;0.898;0.983;0.966;0.935;0.936;0.936;0.957;0.957;0.923;0.954;0.923;0.954
transcript55_ENSMUSG00000054036;0.857;0.98;0.939;0.939;0.975;0.925;1.0;0.985;0.969;1.0;0.75;0.898;0.983;1.0;0.978;0.979;0.979;1.0;0.957;0.954;0.985;0.954;0.985
transcript58_ENSMUSG00000054036;0.596;0.653;0.681;0.681;0.8;0.842;0.821;0.738;0.774;0.75;1.0;0.678;0.763;0.741;0.717;0.723;0.723;0.739;0.739;0.708;0.738;0.708;0.738
