;ENSCAFT00000009524_90_90;ENSCAFT00000009525_90_90;ENST00000305852_90_90;ENST00000357996_90_90;ENST00000379245_90_90;ENST00000405912_90_90;ENST00000413938_90_90;ENST00000414288_90_90;ENST00000432869_90_90;ENST00000441005_90_90;ENST00000451623_90_90;ENSMUST00000070039_90_90;ENSMUST00000112487_90_90
ENSCAFT00000009524_90_90;1.0;0.889;0.438;0.5;0.938;0.812;0.062;0.312;0.375;0.375;0.625;0.882;1.0
ENSCAFT00000009525_90_90;0.889;1.0;0.5;0.571;0.812;0.929;0.071;0.357;0.333;0.429;0.714;1.0;0.882
ENST00000305852_90_90;0.438;0.5;1.0;0.545;0.444;0.5;0.0;0.556;0.4;0.778;0.25;0.538;0.467
ENST00000357996_90_90;0.5;0.571;0.545;1.0;0.5;0.562;0.222;0.364;0.25;0.417;0.5;0.615;0.533
ENST00000379245_90_90;0.938;0.812;0.444;0.5;1.0;0.889;0.111;0.263;0.263;0.368;0.667;0.8;0.933
ENST00000405912_90_90;0.812;0.929;0.5;0.562;0.889;1.0;0.125;0.294;0.222;0.412;0.75;0.923;0.8
ENST00000413938_90_90;0.062;0.071;0.0;0.222;0.111;0.125;1.0;0.0;0.0;0.0;0.167;0.077;0.067
ENST00000414288_90_90;0.312;0.357;0.556;0.364;0.263;0.294;0.0;1.0;0.5;0.556;0.125;0.385;0.333
ENST00000432869_90_90;0.375;0.333;0.4;0.25;0.263;0.222;0.0;0.5;1.0;0.4;0.059;0.357;0.4
ENST00000441005_90_90;0.375;0.429;0.778;0.417;0.368;0.412;0.0;0.556;0.4;1.0;0.176;0.462;0.4
ENST00000451623_90_90;0.625;0.714;0.25;0.5;0.667;0.75;0.167;0.125;0.059;0.176;1.0;0.692;0.6
ENSMUST00000070039_90_90;0.882;1.0;0.538;0.615;0.8;0.923;0.077;0.385;0.357;0.462;0.692;1.0;0.882
ENSMUST00000112487_90_90;1.0;0.882;0.467;0.533;0.933;0.8;0.067;0.333;0.4;0.4;0.6;0.882;1.0
