;ENSCAFT00000023990_90_90;ENST00000220429_90_90;ENST00000359031_90_90;ENST00000380877_90_90;ENST00000396464_90_90;ENST00000429662_90_90;ENST00000543881_90_90;ENST00000558335_90_90;ENST00000558970_90_90;ENST00000560825_90_90;ENST00000561010_90_90;ENSMUST00000039978_90_90;ENSMUST00000089745_90_90;ENSMUST00000103226_90_90;ENSMUST00000103227_90_90;ENSMUST00000110424_90_90;ENSMUST00000110425_90_90;ENSMUST00000124972_90_90;ENSMUST00000137335_90_90
ENSCAFT00000023990_90_90;1.0;0.918;0.784;0.927;0.784;0.781;0.722;0.309;0.271;0.75;0.373;0.75;0.602;0.784;0.891;0.891;0.927;0.171;0.099
ENST00000220429_90_90;0.918;1.0;0.781;0.918;0.781;0.858;0.804;0.28;0.246;0.749;0.45;0.698;0.557;0.729;0.827;0.827;0.859;0.158;0.092
ENST00000359031_90_90;0.784;0.781;1.0;0.847;1.0;0.917;0.595;0.322;0.282;0.96;0.39;0.83;0.582;0.865;0.697;0.697;0.73;0.18;0.105
ENST00000380877_90_90;0.927;0.918;0.847;1.0;0.847;0.781;0.722;0.309;0.271;0.81;0.373;0.697;0.551;0.73;0.831;0.831;0.865;0.171;0.099
ENST00000396464_90_90;0.784;0.781;1.0;0.847;1.0;0.917;0.595;0.322;0.282;0.96;0.39;0.83;0.582;0.865;0.697;0.697;0.73;0.18;0.105
ENST00000429662_90_90;0.781;0.858;0.917;0.781;0.917;1.0;0.672;0.291;0.258;0.882;0.468;0.825;0.586;0.857;0.698;0.698;0.729;0.167;0.098
ENST00000543881_90_90;0.722;0.804;0.595;0.722;0.595;0.672;1.0;0.084;0.051;0.562;0.55;0.517;0.373;0.548;0.637;0.637;0.669;0.0;0.0
ENST00000558335_90_90;0.309;0.28;0.322;0.309;0.322;0.291;0.084;1.0;0.898;0.338;0.0;0.338;0.42;0.322;0.326;0.326;0.309;0.602;0.359
ENST00000558970_90_90;0.271;0.246;0.282;0.271;0.282;0.258;0.051;0.898;1.0;0.295;0.0;0.295;0.373;0.282;0.284;0.284;0.271;0.653;0.385
ENST00000560825_90_90;0.75;0.749;0.96;0.81;0.96;0.882;0.562;0.338;0.295;1.0;0.357;0.855;0.599;0.83;0.716;0.716;0.697;0.187;0.109
ENST00000561010_90_90;0.373;0.45;0.39;0.373;0.39;0.468;0.55;0.0;0.0;0.357;1.0;0.318;0.164;0.349;0.301;0.301;0.332;0.0;0.0
ENSMUST00000039978_90_90;0.75;0.698;0.83;0.697;0.83;0.825;0.517;0.338;0.295;0.855;0.318;1.0;0.719;0.96;0.841;0.841;0.81;0.187;0.109
ENSMUST00000089745_90_90;0.602;0.557;0.582;0.551;0.582;0.586;0.373;0.42;0.373;0.599;0.164;0.719;1.0;0.69;0.688;0.688;0.66;0.245;0.145
ENSMUST00000103226_90_90;0.784;0.729;0.865;0.73;0.865;0.857;0.548;0.322;0.282;0.83;0.349;0.96;0.69;1.0;0.81;0.81;0.847;0.18;0.105
ENSMUST00000103227_90_90;0.891;0.827;0.697;0.831;0.697;0.698;0.637;0.326;0.284;0.716;0.301;0.841;0.688;0.81;1.0;1.0;0.96;0.177;0.102
ENSMUST00000110424_90_90;0.891;0.827;0.697;0.831;0.697;0.698;0.637;0.326;0.284;0.716;0.301;0.841;0.688;0.81;1.0;1.0;0.96;0.177;0.102
ENSMUST00000110425_90_90;0.927;0.859;0.73;0.865;0.73;0.729;0.669;0.309;0.271;0.697;0.332;0.81;0.66;0.847;0.96;0.96;1.0;0.171;0.099
ENSMUST00000124972_90_90;0.171;0.158;0.18;0.171;0.18;0.167;0.0;0.602;0.653;0.187;0.0;0.187;0.245;0.18;0.177;0.177;0.171;1.0;0.572
ENSMUST00000137335_90_90;0.099;0.092;0.105;0.099;0.105;0.098;0.0;0.359;0.385;0.109;0.0;0.109;0.145;0.105;0.102;0.102;0.099;0.572;1.0
