;ENSCAFT00000011155_90_90;ENST00000355221_90_90;ENST00000359530_90_90;ENST00000396774_90_90;ENST00000519588_90_90;ENST00000520188_90_90;ENST00000521275_90_90;ENST00000522849_90_90;ENST00000524164_90_90;ENST00000524234_90_90;ENSMUST00000044369_90_90;ENSMUST00000192029_90_90;ENSMUST00000192698_90_90;ENSMUST00000192847_90_90;ENSMUST00000194676_90_90
ENSCAFT00000011155_90_90;1.0;0.85;0.9;0.9;0.211;0.789;0.5;0.2;0.25;0.45;1.0;0.474;0.947;0.947;0.737
ENST00000355221_90_90;0.85;1.0;0.947;0.947;0.222;0.737;0.611;0.15;0.333;0.556;0.85;0.5;0.895;0.8;0.684
ENST00000359530_90_90;0.9;0.947;1.0;1.0;0.211;0.789;0.579;0.2;0.316;0.526;0.9;0.474;0.85;0.85;0.65
ENST00000396774_90_90;0.9;0.947;1.0;1.0;0.211;0.789;0.579;0.2;0.316;0.526;0.9;0.474;0.85;0.85;0.65
ENST00000519588_90_90;0.211;0.222;0.211;0.211;1.0;0.188;0.364;0.0;0.25;0.4;0.211;0.3;0.222;0.222;0.286
ENST00000520188_90_90;0.789;0.737;0.789;0.789;0.188;1.0;0.368;0.25;0.105;0.316;0.789;0.6;0.737;0.737;0.526
ENST00000521275_90_90;0.5;0.611;0.579;0.579;0.364;0.368;1.0;0.0;0.545;0.909;0.5;0.538;0.526;0.526;0.667
ENST00000522849_90_90;0.2;0.15;0.2;0.2;0.0;0.25;0.0;1.0;0.0;0.0;0.2;0.077;0.15;0.211;0.118
ENST00000524164_90_90;0.25;0.333;0.316;0.316;0.25;0.105;0.545;0.0;1.0;0.6;0.25;0.154;0.263;0.263;0.333
ENST00000524234_90_90;0.45;0.556;0.526;0.526;0.4;0.316;0.909;0.0;0.6;1.0;0.45;0.462;0.474;0.474;0.6
ENSMUST00000044369_90_90;1.0;0.85;0.9;0.9;0.211;0.789;0.5;0.2;0.25;0.45;1.0;0.474;0.947;0.947;0.737
ENSMUST00000192029_90_90;0.474;0.5;0.474;0.474;0.3;0.6;0.538;0.077;0.154;0.462;0.474;1.0;0.5;0.5;0.643
ENSMUST00000192698_90_90;0.947;0.895;0.85;0.85;0.222;0.737;0.526;0.15;0.263;0.474;0.947;0.5;1.0;0.895;0.778
ENSMUST00000192847_90_90;0.947;0.8;0.85;0.85;0.222;0.737;0.526;0.211;0.263;0.474;0.947;0.5;0.895;1.0;0.778
ENSMUST00000194676_90_90;0.737;0.684;0.65;0.65;0.286;0.526;0.667;0.118;0.333;0.6;0.737;0.643;0.778;0.778;1.0
