;ENSCAFT00000012216_90_90;ENST00000320694_90_90;ENST00000336483_90_90;ENST00000517698_90_90;ENST00000519025_90_90;ENST00000520675_90_90;ENST00000521381_90_90;ENST00000521409_90_90;ENST00000521657_90_90;ENST00000522084_90_90;ENST00000523807_90_90;ENST00000523872_90_90;ENSMUST00000035532_90_90;ENSMUST00000055518_90_90;ENSMUST00000185795_90_90;ENSMUST00000187009_90_90
ENSCAFT00000012216_90_90;1.0;0.564;0.589;0.052;0.347;0.182;0.898;0.22;0.898;0.22;0.256;0.424;0.599;0.976;0.265;0.311
ENST00000320694_90_90;0.564;1.0;0.856;0.07;0.502;0.0;0.573;0.355;0.573;0.274;0.323;0.695;0.822;0.577;0.44;0.475
ENST00000336483_90_90;0.589;0.856;1.0;0.185;0.47;0.0;0.548;0.33;0.548;0.257;0.303;0.647;0.964;0.55;0.35;0.442
ENST00000517698_90_90;0.052;0.07;0.185;1.0;0.083;0.0;0.048;0.0;0.048;0.11;0.1;0.0;0.148;0.027;0.053;0.056
ENST00000519025_90_90;0.347;0.502;0.47;0.083;1.0;0.0;0.324;0.592;0.324;0.198;0.259;0.443;0.516;0.372;0.419;0.75
ENST00000520675_90_90;0.182;0.0;0.0;0.0;0.0;1.0;0.145;0.0;0.145;0.0;0.0;0.0;0.0;0.165;0.0;0.0
ENST00000521381_90_90;0.898;0.573;0.548;0.048;0.324;0.145;1.0;0.22;1.0;0.271;0.306;0.424;0.566;0.944;0.268;0.327
ENST00000521409_90_90;0.22;0.355;0.33;0.0;0.592;0.0;0.22;1.0;0.22;0.062;0.136;0.547;0.33;0.234;0.261;0.591
ENST00000521657_90_90;0.898;0.573;0.548;0.048;0.324;0.145;1.0;0.22;1.0;0.271;0.306;0.424;0.566;0.944;0.268;0.327
ENST00000522084_90_90;0.22;0.274;0.257;0.11;0.198;0.0;0.271;0.062;0.271;1.0;0.882;0.046;0.235;0.237;0.477;0.314
ENST00000523807_90_90;0.256;0.323;0.303;0.1;0.259;0.0;0.306;0.136;0.306;0.882;1.0;0.098;0.284;0.275;0.577;0.396
ENST00000523872_90_90;0.424;0.695;0.647;0.0;0.443;0.0;0.424;0.547;0.424;0.046;0.098;1.0;0.647;0.444;0.174;0.347
ENSMUST00000035532_90_90;0.599;0.822;0.964;0.148;0.516;0.0;0.566;0.33;0.566;0.235;0.284;0.647;1.0;0.536;0.384;0.478
ENSMUST00000055518_90_90;0.976;0.577;0.55;0.027;0.372;0.165;0.944;0.234;0.944;0.237;0.275;0.444;0.536;1.0;0.256;0.311
ENSMUST00000185795_90_90;0.265;0.44;0.35;0.053;0.419;0.0;0.268;0.261;0.268;0.477;0.577;0.174;0.384;0.256;1.0;0.584
ENSMUST00000187009_90_90;0.311;0.475;0.442;0.056;0.75;0.0;0.327;0.591;0.327;0.314;0.396;0.347;0.478;0.311;0.584;1.0
