;ENSCAFT00000009524_90_90;ENSCAFT00000009525_90_90;ENST00000305852_90_90;ENST00000357996_90_90;ENST00000379245_90_90;ENST00000405912_90_90;ENST00000413938_90_90;ENST00000414288_90_90;ENST00000432869_90_90;ENST00000441005_90_90;ENST00000451623_90_90;ENSMUST00000070039_90_90;ENSMUST00000112487_90_90
ENSCAFT00000009524_90_90;1.0;0.914;0.43;0.548;0.938;0.846;0.112;0.306;0.259;0.394;0.706;0.911;1.0
ENSCAFT00000009525_90_90;0.914;1.0;0.473;0.601;0.846;0.93;0.121;0.336;0.213;0.433;0.775;1.0;0.911
ENST00000305852_90_90;0.43;0.473;1.0;0.666;0.465;0.508;0.0;0.625;0.344;0.731;0.301;0.488;0.442
ENST00000357996_90_90;0.548;0.601;0.666;1.0;0.548;0.598;0.183;0.468;0.252;0.496;0.481;0.619;0.562
ENST00000379245_90_90;0.938;0.846;0.465;0.548;1.0;0.915;0.108;0.304;0.231;0.371;0.727;0.84;0.934
ENST00000405912_90_90;0.846;0.93;0.508;0.598;0.915;1.0;0.117;0.331;0.188;0.403;0.793;0.926;0.84
ENST00000413938_90_90;0.112;0.121;0.0;0.183;0.108;0.117;1.0;0.0;0.0;0.0;0.142;0.124;0.114
ENST00000414288_90_90;0.306;0.336;0.625;0.468;0.304;0.331;0.0;1.0;0.426;0.597;0.171;0.347;0.315
ENST00000432869_90_90;0.259;0.213;0.344;0.252;0.231;0.188;0.0;0.426;1.0;0.325;0.032;0.222;0.268
ENST00000441005_90_90;0.394;0.433;0.731;0.496;0.371;0.403;0.0;0.597;0.325;1.0;0.215;0.449;0.405
ENST00000451623_90_90;0.706;0.775;0.301;0.481;0.727;0.793;0.142;0.171;0.032;0.215;1.0;0.764;0.694
ENSMUST00000070039_90_90;0.911;1.0;0.488;0.619;0.84;0.926;0.124;0.347;0.222;0.449;0.764;1.0;0.911
ENSMUST00000112487_90_90;1.0;0.911;0.442;0.562;0.934;0.84;0.114;0.315;0.268;0.405;0.694;0.911;1.0
