;transcript39_ENSRNOG00000031503;transcript7_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript39_MGP-PahariEiJ-G0020237;transcript38_ENSMUSG00000054036;transcript50_ENSRNOG00000031503;transcript8_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_ENSMSIG00000000513;transcript52_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript63_MGP-SPRETEiJ-G0021131;transcript12_ENSMUGG00000013649;transcript32_ENSMUGG00000013649;transcript50_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript8_ENSRNOG00000031503
transcript39_ENSRNOG00000031503;1.0;0.425;0.329;0.579;0.636;0.662;0.369;0.902;0.467;0.545;0.391;0.297;0.375;0.281;0.348;0.507;0.687;0.711;0.675;0.694;0.951;0.951;0.661
transcript7_ENSMSIG00000000513;0.425;1.0;0.612;0.656;0.6;0.487;0.389;0.437;0.574;0.694;0.389;0.438;0.37;0.417;0.612;0.261;0.556;0.542;0.562;0.529;0.419;0.419;0.424
transcript58_ENSMUSG00000054036;0.329;0.612;1.0;0.557;0.507;0.385;0.422;0.282;0.417;0.516;0.391;0.45;0.37;0.425;0.943;0.288;0.369;0.393;0.373;0.384;0.306;0.306;0.304
transcript54_ENSMUSG00000054036;0.579;0.656;0.557;1.0;0.91;0.646;0.358;0.532;0.723;0.806;0.338;0.349;0.324;0.333;0.557;0.493;0.671;0.694;0.679;0.678;0.551;0.551;0.587
transcript55_ENSMUSG00000054036;0.636;0.6;0.507;0.91;1.0;0.72;0.406;0.57;0.686;0.764;0.406;0.319;0.391;0.304;0.507;0.58;0.741;0.765;0.729;0.747;0.608;0.608;0.536
transcript39_MGP-PahariEiJ-G0020237;0.662;0.487;0.385;0.646;0.72;1.0;0.333;0.617;0.582;0.654;0.351;0.273;0.338;0.26;0.403;0.506;0.867;0.892;0.855;0.871;0.654;0.654;0.449
transcript38_ENSMUSG00000054036;0.369;0.389;0.422;0.358;0.406;0.333;1.0;0.318;0.227;0.364;0.935;0.8;0.903;0.767;0.422;0.565;0.321;0.345;0.31;0.337;0.364;0.364;0.211
transcript50_ENSRNOG00000031503;0.902;0.437;0.282;0.532;0.57;0.617;0.318;1.0;0.459;0.519;0.338;0.266;0.323;0.25;0.3;0.435;0.704;0.687;0.713;0.671;0.95;0.95;0.655
transcript8_MGP-CAROLIEiJ-G0020234;0.467;0.574;0.417;0.723;0.686;0.582;0.227;0.459;1.0;0.85;0.227;0.25;0.212;0.233;0.441;0.409;0.61;0.614;0.617;0.6;0.461;0.461;0.636
transcript47_MGP-CAROLIEiJ-G0020234;0.545;0.694;0.516;0.806;0.764;0.654;0.364;0.519;0.85;1.0;0.364;0.4;0.348;0.383;0.541;0.5;0.699;0.723;0.707;0.706;0.538;0.538;0.547
transcript38_ENSMSIG00000000513;0.391;0.389;0.391;0.338;0.406;0.351;0.935;0.338;0.227;0.364;1.0;0.8;0.967;0.767;0.422;0.6;0.337;0.361;0.325;0.353;0.385;0.385;0.211
transcript52_ENSMSIG00000000513;0.297;0.438;0.45;0.349;0.319;0.273;0.8;0.266;0.25;0.4;0.8;1.0;0.767;0.958;0.487;0.467;0.265;0.289;0.268;0.282;0.292;0.292;0.235
transcript38_MGP-SPRETEiJ-G0021131;0.375;0.37;0.37;0.324;0.391;0.338;0.903;0.323;0.212;0.348;0.967;0.767;1.0;0.793;0.4;0.614;0.325;0.349;0.313;0.341;0.369;0.369;0.193
transcript52_MGP-SPRETEiJ-G0021131;0.281;0.417;0.425;0.333;0.304;0.26;0.767;0.25;0.233;0.383;0.767;0.958;0.793;1.0;0.462;0.477;0.253;0.277;0.256;0.271;0.277;0.277;0.216
transcript58_ENSMSIG00000000513;0.348;0.612;0.943;0.557;0.507;0.403;0.422;0.3;0.441;0.541;0.422;0.487;0.4;0.462;1.0;0.31;0.386;0.41;0.39;0.4;0.324;0.324;0.327
transcript63_MGP-SPRETEiJ-G0021131;0.507;0.261;0.288;0.493;0.58;0.506;0.565;0.435;0.409;0.5;0.6;0.467;0.614;0.477;0.31;1.0;0.482;0.506;0.47;0.494;0.478;0.478;0.373
transcript12_ENSMUGG00000013649;0.687;0.556;0.369;0.671;0.741;0.867;0.321;0.704;0.61;0.699;0.337;0.265;0.325;0.253;0.386;0.482;1.0;0.976;0.988;0.953;0.699;0.699;0.463
transcript32_ENSMUGG00000013649;0.711;0.542;0.393;0.694;0.765;0.892;0.345;0.687;0.614;0.723;0.361;0.289;0.349;0.277;0.41;0.506;0.976;1.0;0.964;0.976;0.723;0.723;0.47
transcript50_ENSMUGG00000013649;0.675;0.562;0.373;0.679;0.729;0.855;0.31;0.713;0.617;0.707;0.325;0.268;0.313;0.256;0.39;0.47;0.988;0.964;1.0;0.941;0.687;0.687;0.469
transcript32_ENSMUGG00000013592;0.694;0.529;0.384;0.678;0.747;0.871;0.337;0.671;0.6;0.706;0.353;0.282;0.341;0.271;0.4;0.494;0.953;0.976;0.941;1.0;0.706;0.706;0.459
transcript31_ENSRNOG00000031503;0.951;0.419;0.306;0.551;0.608;0.654;0.364;0.95;0.461;0.538;0.385;0.292;0.369;0.277;0.324;0.478;0.699;0.723;0.687;0.706;1.0;1.0;0.65
transcript32_ENSRNOG00000031503;0.951;0.419;0.306;0.551;0.608;0.654;0.364;0.95;0.461;0.538;0.385;0.292;0.369;0.277;0.324;0.478;0.699;0.723;0.687;0.706;1.0;1.0;0.65
transcript8_ENSRNOG00000031503;0.661;0.424;0.304;0.587;0.536;0.449;0.211;0.655;0.636;0.547;0.211;0.235;0.193;0.216;0.327;0.373;0.463;0.47;0.469;0.459;0.65;0.65;1.0
