;ENSCAFT00000038926_90_90;ENSCAFT00000038928_90_90;ENST00000347613_90_90;ENST00000360642_90_90;ENST00000504131_90_90;ENST00000507875_90_90;ENST00000511092_90_90;ENST00000512813_90_90;ENST00000513761_90_90;ENST00000515420_90_90;ENST00000613795_90_90;ENSMUST00000004430_90_90;ENSMUST00000056508_90_90;ENSMUST00000093490_90_90;ENSMUST00000110301_90_90;ENSMUST00000110302_90_90
ENSCAFT00000038926_90_90;1.0;0.706;0.812;0.846;0.923;0.714;0.308;0.231;1.0;0.231;0.857;0.812;0.857;0.846;1.0;0.706
ENSCAFT00000038928_90_90;0.706;1.0;0.882;0.588;0.75;0.688;0.176;0.118;0.706;0.188;0.812;0.882;0.812;0.688;0.706;1.0
ENST00000347613_90_90;0.812;0.882;1.0;0.647;0.667;0.556;0.235;0.176;0.765;0.176;0.667;1.0;0.667;0.647;0.765;0.889
ENST00000360642_90_90;0.846;0.588;0.647;1.0;0.714;0.571;0.364;0.273;0.846;0.167;0.714;0.647;0.714;0.692;0.846;0.556
ENST00000504131_90_90;0.923;0.75;0.667;0.714;1.0;0.714;0.214;0.143;0.857;0.231;0.857;0.706;0.923;0.917;0.923;0.706
ENST00000507875_90_90;0.714;0.688;0.556;0.571;0.714;1.0;0.25;0.167;0.714;0.273;0.846;0.556;0.846;0.692;0.714;0.647
ENST00000511092_90_90;0.308;0.176;0.235;0.364;0.214;0.25;1.0;0.75;0.308;0.0;0.214;0.235;0.214;0.154;0.308;0.167
ENST00000512813_90_90;0.231;0.118;0.176;0.273;0.143;0.167;0.75;1.0;0.231;0.0;0.143;0.176;0.143;0.077;0.231;0.111
ENST00000513761_90_90;1.0;0.706;0.765;0.846;0.857;0.714;0.308;0.231;1.0;0.231;0.857;0.765;0.857;0.846;1.0;0.667
ENST00000515420_90_90;0.231;0.188;0.176;0.167;0.231;0.273;0.0;0.0;0.231;1.0;0.231;0.176;0.231;0.273;0.231;0.176
ENST00000613795_90_90;0.857;0.812;0.667;0.714;0.857;0.846;0.214;0.143;0.857;0.231;1.0;0.667;1.0;0.846;0.857;0.765
ENSMUST00000004430_90_90;0.812;0.882;1.0;0.647;0.706;0.556;0.235;0.176;0.765;0.176;0.667;1.0;0.667;0.647;0.765;0.889
ENSMUST00000056508_90_90;0.857;0.812;0.667;0.714;0.923;0.846;0.214;0.143;0.857;0.231;1.0;0.667;1.0;0.846;0.857;0.765
ENSMUST00000093490_90_90;0.846;0.688;0.647;0.692;0.917;0.692;0.154;0.077;0.846;0.273;0.846;0.647;0.846;1.0;0.846;0.647
ENSMUST00000110301_90_90;1.0;0.706;0.765;0.846;0.923;0.714;0.308;0.231;1.0;0.231;0.857;0.765;0.857;0.846;1.0;0.667
ENSMUST00000110302_90_90;0.706;1.0;0.889;0.556;0.706;0.647;0.167;0.111;0.667;0.176;0.765;0.889;0.765;0.647;0.667;1.0
