;ENSCAFT00000015927_90_90;ENSCAFT00000024036_90_90;ENST00000304523_90_90;ENST00000441778_90_90;ENST00000502640_90_90;ENST00000506732_90_90;ENST00000507464_90_90;ENST00000508918_90_90;ENST00000512345_90_90;ENST00000515064_90_90;ENST00000361198_90_90;ENST00000425280_90_90;ENSMUST00000026252_90_90;ENSMUST00000056931_90_90;ENSMUST00000137771_90_90;ENSMUST00000152946_90_90;ENSMUST00000156585_90_90;ENSMUST00000185355_90_90;ENSMUST00000070748_90_90;ENSMUST00000199256_90_90;ENSMUST00000199261_90_90;ENSMUST00000199534_90_90
ENSCAFT00000015927_90_90;1.0;0.512;0.438;0.409;0.368;0.092;0.436;0.0;0.004;0.435;0.8;0.871;0.8;0.8;0.637;0.797;0.871;0.871;0.5;0.409;0.496;0.413
ENSCAFT00000024036_90_90;0.512;1.0;0.686;0.876;0.838;0.442;0.503;0.211;0.238;0.682;0.374;0.417;0.375;0.375;0.426;0.376;0.417;0.417;0.826;0.873;0.821;0.878
ENST00000304523_90_90;0.438;0.686;1.0;0.73;0.763;0.441;0.787;0.194;0.227;0.995;0.315;0.357;0.307;0.307;0.383;0.303;0.348;0.348;0.684;0.747;0.679;0.753
ENST00000441778_90_90;0.409;0.876;0.73;1.0;0.856;0.496;0.535;0.216;0.255;0.725;0.286;0.329;0.287;0.287;0.321;0.288;0.329;0.329;0.734;0.994;0.729;1.0
ENST00000502640_90_90;0.368;0.838;0.763;0.856;1.0;0.525;0.56;0.227;0.268;0.758;0.252;0.295;0.253;0.253;0.283;0.254;0.296;0.296;0.843;0.852;0.837;0.858
ENST00000506732_90_90;0.092;0.442;0.441;0.496;0.525;1.0;0.316;0.247;0.314;0.443;0.025;0.074;0.025;0.025;0.028;0.025;0.074;0.074;0.443;0.499;0.446;0.496
ENST00000507464_90_90;0.436;0.503;0.787;0.535;0.56;0.316;1.0;0.0;0.027;0.782;0.366;0.414;0.355;0.355;0.454;0.35;0.401;0.401;0.501;0.546;0.497;0.552
ENST00000508918_90_90;0.0;0.211;0.194;0.216;0.227;0.247;0.0;1.0;0.569;0.195;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.211;0.238;0.212;0.237
ENST00000512345_90_90;0.004;0.238;0.227;0.255;0.268;0.314;0.027;0.569;1.0;0.228;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.239;0.27;0.241;0.268
ENST00000515064_90_90;0.435;0.682;0.995;0.725;0.758;0.443;0.782;0.195;0.228;1.0;0.312;0.354;0.304;0.304;0.38;0.3;0.345;0.345;0.679;0.751;0.682;0.747
ENST00000361198_90_90;0.8;0.374;0.315;0.286;0.252;0.025;0.366;0.0;0.0;0.312;1.0;0.912;1.0;1.0;0.797;0.995;0.912;0.912;0.359;0.284;0.356;0.287
ENST00000425280_90_90;0.871;0.417;0.357;0.329;0.295;0.074;0.414;0.0;0.0;0.354;0.912;1.0;0.912;0.912;0.727;0.908;1.0;1.0;0.4;0.326;0.397;0.329
ENSMUST00000026252_90_90;0.8;0.375;0.307;0.287;0.253;0.025;0.355;0.0;0.0;0.304;1.0;0.912;1.0;1.0;0.757;0.995;0.912;0.912;0.359;0.284;0.356;0.287
ENSMUST00000056931_90_90;0.8;0.375;0.307;0.287;0.253;0.025;0.355;0.0;0.0;0.304;1.0;0.912;1.0;1.0;0.757;0.995;0.912;0.912;0.359;0.284;0.356;0.287
ENSMUST00000137771_90_90;0.637;0.426;0.383;0.321;0.283;0.028;0.454;0.0;0.0;0.38;0.797;0.727;0.757;0.757;1.0;0.752;0.694;0.694;0.405;0.321;0.401;0.324
ENSMUST00000152946_90_90;0.797;0.376;0.303;0.288;0.254;0.025;0.35;0.0;0.0;0.3;0.995;0.908;0.995;0.995;0.752;1.0;0.908;0.908;0.36;0.285;0.357;0.288
ENSMUST00000156585_90_90;0.871;0.417;0.348;0.329;0.296;0.074;0.401;0.0;0.0;0.345;0.912;1.0;0.912;0.912;0.694;0.908;1.0;1.0;0.4;0.327;0.397;0.33
ENSMUST00000185355_90_90;0.871;0.417;0.348;0.329;0.296;0.074;0.401;0.0;0.0;0.345;0.912;1.0;0.912;0.912;0.694;0.908;1.0;1.0;0.4;0.327;0.397;0.33
ENSMUST00000070748_90_90;0.5;0.826;0.684;0.734;0.843;0.443;0.501;0.211;0.239;0.679;0.359;0.4;0.359;0.359;0.405;0.36;0.4;0.4;1.0;0.725;0.995;0.73
ENSMUST00000199256_90_90;0.409;0.873;0.747;0.994;0.852;0.499;0.546;0.238;0.27;0.751;0.284;0.326;0.284;0.284;0.321;0.285;0.327;0.327;0.725;1.0;0.728;0.994
ENSMUST00000199261_90_90;0.496;0.821;0.679;0.729;0.837;0.446;0.497;0.212;0.241;0.682;0.356;0.397;0.356;0.356;0.401;0.357;0.397;0.397;0.995;0.728;1.0;0.725
ENSMUST00000199534_90_90;0.413;0.878;0.753;1.0;0.858;0.496;0.552;0.237;0.268;0.747;0.287;0.329;0.287;0.287;0.324;0.288;0.33;0.33;0.73;0.994;0.725;1.0
