;transcript7_ENSMSIG00000000513;transcript7_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript50_ENSMSIG00000000513;transcript50_MGP-CAROLIEiJ-G0020234;transcript50_MGP-PahariEiJ-G0020237;transcript55_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript60_MGP-CAROLIEiJ-G0020234;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript59_MGP-SPRETEiJ-G0021131;transcript59_MGP-CAROLIEiJ-G0020234;transcript61_MGP-SPRETEiJ-G0021131;transcript61_MGP-CAROLIEiJ-G0020234;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript70_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript57_MGP-PahariEiJ-G0020237
transcript7_ENSMSIG00000000513;1.0;0.948;0.955;0.768;0.71;0.764;0.811;0.758;0.696;0.77;0.794;0.69;0.682;0.683;0.675;0.703;0.689;0.672;0.684;0.71;0.694;0.653
transcript7_MGP-SPRETEiJ-G0021131;0.948;1.0;0.918;0.728;0.678;0.734;0.77;0.714;0.663;0.728;0.753;0.717;0.653;0.71;0.646;0.73;0.716;0.7;0.712;0.737;0.667;0.629
transcript7_ENSMUSG00000054036;0.955;0.918;1.0;0.734;0.684;0.74;0.775;0.732;0.68;0.746;0.759;0.667;0.659;0.66;0.651;0.681;0.667;0.65;0.663;0.688;0.707;0.633
transcript50_ENSMSIG00000000513;0.768;0.728;0.734;1.0;0.906;0.994;0.956;0.857;0.776;0.873;0.961;0.652;0.645;0.646;0.639;0.672;0.66;0.645;0.673;0.652;0.693;0.789
transcript50_MGP-CAROLIEiJ-G0020234;0.71;0.678;0.684;0.906;1.0;0.912;0.865;0.785;0.857;0.794;0.871;0.611;0.7;0.605;0.694;0.625;0.611;0.597;0.625;0.604;0.645;0.728
transcript50_MGP-PahariEiJ-G0020237;0.764;0.734;0.74;0.994;0.912;1.0;0.95;0.851;0.782;0.868;0.955;0.657;0.65;0.651;0.644;0.677;0.664;0.649;0.678;0.657;0.697;0.794
transcript55_ENSMSIG00000000513;0.811;0.77;0.775;0.956;0.865;0.95;1.0;0.839;0.76;0.917;0.98;0.641;0.634;0.636;0.628;0.706;0.693;0.679;0.69;0.685;0.709;0.805
transcript60_ENSMSIG00000000513;0.758;0.714;0.732;0.857;0.785;0.851;0.839;1.0;0.905;0.915;0.822;0.648;0.648;0.641;0.641;0.606;0.593;0.577;0.606;0.585;0.639;0.676
transcript60_MGP-CAROLIEiJ-G0020234;0.696;0.663;0.68;0.776;0.857;0.782;0.76;0.905;1.0;0.83;0.744;0.605;0.701;0.599;0.694;0.566;0.552;0.537;0.566;0.544;0.593;0.625
transcript64_ENSMSIG00000000513;0.77;0.728;0.746;0.873;0.794;0.868;0.917;0.915;0.83;1.0;0.899;0.606;0.605;0.6;0.599;0.671;0.657;0.643;0.654;0.65;0.652;0.738
