;ENSCAFT00000026690_90_90;ENST00000311089_90_90;ENST00000553645_90_90;ENST00000554113_90_90;ENST00000554159_90_90;ENST00000554339_90_90;ENST00000554871_90_90;ENST00000555631_90_90;ENST00000555919_90_90;ENST00000559993_90_90;ENSMUST00000046340_90_90;ENSMUST00000123491_90_90;ENSMUST00000136159_90_90;ENSMUST00000140812_90_90;ENSMUST00000156138_90_90
ENSCAFT00000026690_90_90;1.0;0.311;0.86;0.212;0.395;0.449;0.728;0.708;0.325;0.296;0.698;0.832;0.368;0.217;0.275
ENST00000311089_90_90;0.311;1.0;0.379;0.536;0.0;0.674;0.47;0.32;0.0;0.628;0.385;0.311;0.0;0.467;0.0
ENST00000553645_90_90;0.86;0.379;1.0;0.209;0.382;0.565;0.809;0.688;0.314;0.252;0.682;0.815;0.36;0.211;0.268
ENST00000554113_90_90;0.212;0.536;0.209;1.0;0.0;0.377;0.26;0.297;0.0;0.689;0.266;0.212;0.0;0.359;0.0
ENST00000554159_90_90;0.395;0.0;0.382;0.0;1.0;0.121;0.338;0.398;0.509;0.0;0.302;0.351;0.375;0.0;0.386
ENST00000554339_90_90;0.449;0.674;0.565;0.377;0.121;1.0;0.635;0.494;0.044;0.447;0.551;0.449;0.0;0.348;0.0
ENST00000554871_90_90;0.728;0.47;0.809;0.26;0.338;0.635;1.0;0.851;0.388;0.312;0.837;0.682;0.224;0.256;0.13
ENST00000555631_90_90;0.708;0.32;0.688;0.297;0.398;0.494;0.851;1.0;0.462;0.357;0.813;0.656;0.252;0.244;0.148
ENST00000555919_90_90;0.325;0.0;0.314;0.0;0.509;0.044;0.388;0.462;1.0;0.0;0.35;0.283;0.41;0.0;0.235
ENST00000559993_90_90;0.296;0.628;0.252;0.689;0.0;0.447;0.312;0.357;0.0;1.0;0.319;0.257;0.0;0.57;0.0
ENSMUST00000046340_90_90;0.698;0.385;0.682;0.266;0.302;0.551;0.837;0.813;0.35;0.319;1.0;0.804;0.266;0.223;0.135
ENSMUST00000123491_90_90;0.832;0.311;0.815;0.212;0.351;0.449;0.682;0.656;0.283;0.257;0.804;1.0;0.45;0.183;0.313
ENSMUST00000136159_90_90;0.368;0.0;0.36;0.0;0.375;0.0;0.224;0.252;0.41;0.0;0.266;0.45;1.0;0.0;0.529
ENSMUST00000140812_90_90;0.217;0.467;0.211;0.359;0.0;0.348;0.256;0.244;0.0;0.57;0.223;0.183;0.0;1.0;0.0
ENSMUST00000156138_90_90;0.275;0.0;0.268;0.0;0.386;0.0;0.13;0.148;0.235;0.0;0.135;0.313;0.529;0.0;1.0
