;ENSCAFT00000013778_90_90;ENST00000320672_90_90;ENST00000504985_90_90;ENST00000505980_90_90;ENST00000509013_90_90;ENST00000509053_90_90;ENST00000512923_90_90;ENST00000514493_90_90;ENST00000515395_90_90;ENST00000615665_90_90;ENSMUST00000004094_90_90;ENSMUST00000042122_90_90;ENSMUST00000138488_90_90
ENSCAFT00000013778_90_90;1.0;0.765;0.471;0.706;0.471;0.647;0.5;0.706;0.667;0.722;0.875;0.812;0.188
ENST00000320672_90_90;0.765;1.0;0.562;0.933;0.562;0.867;0.412;0.933;0.875;0.938;0.667;0.611;0.118
ENST00000504985_90_90;0.471;0.562;1.0;0.5;0.25;0.438;0.583;0.5;0.562;0.625;0.471;0.412;0.0
ENST00000505980_90_90;0.706;0.933;0.5;1.0;0.5;0.8;0.353;0.867;0.812;0.875;0.611;0.556;0.125
ENST00000509013_90_90;0.471;0.562;0.25;0.5;1.0;0.533;0.267;0.5;0.471;0.529;0.389;0.333;0.077
ENST00000509053_90_90;0.647;0.867;0.438;0.8;0.533;1.0;0.294;0.929;0.867;0.812;0.556;0.588;0.133
ENST00000512923_90_90;0.5;0.412;0.583;0.353;0.267;0.294;1.0;0.353;0.333;0.389;0.5;0.438;0.0
ENST00000514493_90_90;0.706;0.933;0.5;0.867;0.5;0.929;0.353;1.0;0.933;0.875;0.611;0.647;0.125
ENST00000515395_90_90;0.667;0.875;0.562;0.812;0.471;0.867;0.333;0.933;1.0;0.938;0.579;0.611;0.118
ENST00000615665_90_90;0.722;0.938;0.625;0.875;0.529;0.812;0.389;0.875;0.938;1.0;0.632;0.579;0.111
ENSMUST00000004094_90_90;0.875;0.667;0.471;0.611;0.389;0.556;0.5;0.611;0.579;0.632;1.0;0.933;0.188
ENSMUST00000042122_90_90;0.812;0.611;0.412;0.556;0.333;0.588;0.438;0.647;0.611;0.579;0.933;1.0;0.2
ENSMUST00000138488_90_90;0.188;0.118;0.0;0.125;0.077;0.133;0.0;0.125;0.118;0.111;0.188;0.2;1.0
