;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENSCAFT00000028998_90_90;1.0;0.108;0.17;0.158;0.084;0.05;0.05;0.05;0.139;0.999;0.711;0.711;0.711;0.959;0.696;0.999;0.05;0.671;0.984;0.05;1.0;0.985;0.047;0.96;0.96;0.21
ENST00000587805_90_90;0.108;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.109;0.149;0.149;0.149;0.113;0.151;0.109;0.0;0.157;0.11;0.0;0.108;0.11;0.0;0.109;0.113;0.0
ENST00000588116_90_90;0.17;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17;0.239;0.239;0.239;0.177;0.244;0.17;0.0;0.253;0.173;0.0;0.17;0.173;0.0;0.172;0.177;0.0
ENST00000589774_90_90;0.158;0.0;0.0;1.0;0.53;0.287;0.287;0.287;0.879;0.159;0.223;0.223;0.223;0.119;0.228;0.159;0.313;0.167;0.161;0.287;0.158;0.161;0.294;0.16;0.118;0.755
ENST00000590432_90_90;0.084;0.0;0.0;0.53;1.0;0.5;0.5;0.5;0.603;0.084;0.118;0.118;0.118;0.088;0.121;0.084;0.586;0.125;0.085;0.5;0.084;0.085;0.554;0.085;0.087;0.399
ENST00000590538_90_90;0.05;0.0;0.0;0.287;0.5;1.0;1.0;1.0;0.322;0.049;0.069;0.069;0.069;0.051;0.07;0.049;0.741;0.073;0.05;1.0;0.05;0.05;0.704;0.05;0.052;0.224
ENST00000591610_90_90;0.05;0.0;0.0;0.287;0.5;1.0;1.0;1.0;0.322;0.049;0.069;0.069;0.069;0.051;0.07;0.049;0.741;0.073;0.05;1.0;0.05;0.05;0.704;0.05;0.052;0.224
ENST00000592167_90_90;0.05;0.0;0.0;0.287;0.5;1.0;1.0;1.0;0.322;0.049;0.069;0.069;0.069;0.051;0.07;0.049;0.741;0.073;0.05;1.0;0.05;0.05;0.704;0.05;0.052;0.224
ENST00000593014_90_90;0.139;0.0;0.0;0.879;0.603;0.322;0.322;0.322;1.0;0.14;0.196;0.196;0.196;0.1;0.2;0.14;0.356;0.14;0.142;0.322;0.139;0.141;0.334;0.14;0.099;0.663
ENST00000610402_90_90;0.999;0.109;0.17;0.159;0.084;0.049;0.049;0.049;0.14;1.0;0.712;0.712;0.712;0.96;0.697;1.0;0.05;0.672;0.985;0.049;0.999;0.984;0.047;0.958;0.959;0.209
ENST00000612035_90_90;0.711;0.149;0.239;0.223;0.118;0.069;0.069;0.069;0.196;0.712;1.0;1.0;1.0;0.672;0.979;0.712;0.07;0.944;0.697;0.069;0.711;0.696;0.065;0.717;0.671;0.294
ENST00000612116_90_90;0.711;0.149;0.239;0.223;0.118;0.069;0.069;0.069;0.196;0.712;1.0;1.0;1.0;0.672;0.979;0.712;0.07;0.944;0.697;0.069;0.711;0.696;0.065;0.717;0.671;0.294
ENST00000614600_90_90;0.711;0.149;0.239;0.223;0.118;0.069;0.069;0.069;0.196;0.712;1.0;1.0;1.0;0.672;0.979;0.712;0.07;0.944;0.697;0.069;0.711;0.696;0.065;0.717;0.671;0.294
ENST00000616681_90_90;0.959;0.113;0.177;0.119;0.088;0.051;0.051;0.051;0.1;0.96;0.672;0.672;0.672;1.0;0.657;0.96;0.052;0.7;0.945;0.051;0.959;0.944;0.049;0.919;0.999;0.169
ENST00000616784_90_90;0.696;0.151;0.244;0.228;0.121;0.07;0.07;0.07;0.2;0.697;0.979;0.979;0.979;0.657;1.0;0.697;0.072;0.923;0.708;0.07;0.696;0.706;0.067;0.703;0.656;0.3
ENST00000618940_90_90;0.999;0.109;0.17;0.159;0.084;0.049;0.049;0.049;0.14;1.0;0.712;0.712;0.712;0.96;0.697;1.0;0.05;0.672;0.985;0.049;0.999;0.984;0.047;0.958;0.959;0.209
ENST00000620039_90_90;0.05;0.0;0.0;0.313;0.586;0.741;0.741;0.741;0.356;0.05;0.07;0.07;0.07;0.052;0.072;0.05;1.0;0.074;0.051;0.741;0.05;0.051;0.905;0.051;0.052;0.238
ENST00000621668_90_90;0.671;0.157;0.253;0.167;0.125;0.073;0.073;0.073;0.14;0.672;0.944;0.944;0.944;0.7;0.923;0.672;0.074;1.0;0.657;0.073;0.671;0.656;0.069;0.677;0.699;0.238
ENST00000621914_90_90;0.984;0.11;0.173;0.161;0.085;0.05;0.05;0.05;0.142;0.985;0.697;0.697;0.697;0.945;0.708;0.985;0.051;0.657;1.0;0.05;0.984;0.999;0.047;0.944;0.944;0.212
ENST00000628168_90_90;0.05;0.0;0.0;0.287;0.5;1.0;1.0;1.0;0.322;0.049;0.069;0.069;0.069;0.051;0.07;0.049;0.741;0.073;0.05;1.0;0.05;0.05;0.704;0.05;0.052;0.224
ENSMUST00000018875_90_90;1.0;0.108;0.17;0.158;0.084;0.05;0.05;0.05;0.139;0.999;0.711;0.711;0.711;0.959;0.696;0.999;0.05;0.671;0.984;0.05;1.0;0.985;0.047;0.96;0.96;0.21
ENSMUST00000065692_90_90;0.985;0.11;0.173;0.161;0.085;0.05;0.05;0.05;0.141;0.984;0.696;0.696;0.696;0.944;0.706;0.984;0.051;0.656;0.999;0.05;0.985;1.0;0.047;0.945;0.945;0.213
ENSMUST00000142680_90_90;0.047;0.0;0.0;0.294;0.554;0.704;0.704;0.704;0.334;0.047;0.065;0.065;0.065;0.049;0.067;0.047;0.905;0.069;0.047;0.704;0.047;0.047;1.0;0.047;0.049;0.222
ENSMUST00000176430_90_90;0.96;0.109;0.172;0.16;0.085;0.05;0.05;0.05;0.14;0.958;0.717;0.717;0.717;0.919;0.703;0.958;0.051;0.677;0.944;0.05;0.96;0.945;0.047;1.0;0.92;0.212
ENSMUST00000176523_90_90;0.96;0.113;0.177;0.118;0.087;0.052;0.052;0.052;0.099;0.959;0.671;0.671;0.671;0.999;0.656;0.959;0.052;0.699;0.944;0.052;0.96;0.945;0.049;0.92;1.0;0.17
ENSMUST00000176944_90_90;0.21;0.0;0.0;0.755;0.399;0.224;0.224;0.224;0.663;0.209;0.294;0.294;0.294;0.169;0.3;0.209;0.238;0.238;0.212;0.224;0.21;0.213;0.222;0.212;0.17;1.0
