;ENSCAFT00000023220_90_90;ENST00000248450_90_90;ENST00000420660_90_90;ENST00000422731_90_90;ENST00000444053_90_90;ENST00000447885_90_90;ENSMUST00000006462_90_90;ENSMUST00000178235_90_90;ENSMUST00000187046_90_90;ENSMUST00000190008_90_90
ENSCAFT00000023220_90_90;1.0;0.706;0.524;0.294;0.667;0.333;0.875;0.824;0.2;0.217
ENST00000248450_90_90;0.706;1.0;0.632;0.312;0.933;0.357;0.812;0.765;0.214;0.174
ENST00000420660_90_90;0.524;0.632;1.0;0.263;0.684;0.294;0.524;0.571;0.176;0.364
ENST00000422731_90_90;0.294;0.312;0.263;1.0;0.294;0.0;0.294;0.278;0.111;0.0
ENST00000444053_90_90;0.667;0.933;0.684;0.294;1.0;0.333;0.765;0.824;0.2;0.167
ENST00000447885_90_90;0.333;0.357;0.294;0.0;0.333;1.0;0.333;0.312;0.333;0.2
ENSMUST00000006462_90_90;0.875;0.812;0.524;0.294;0.765;0.333;1.0;0.938;0.2;0.217
ENSMUST00000178235_90_90;0.824;0.765;0.571;0.278;0.824;0.312;0.938;1.0;0.188;0.208
ENSMUST00000187046_90_90;0.2;0.214;0.176;0.111;0.2;0.333;0.2;0.188;1.0;0.067
ENSMUST00000190008_90_90;0.217;0.174;0.364;0.0;0.167;0.2;0.217;0.208;0.067;1.0
