;ENSCAFT00000047903_90_90;ENST00000341217_90_90;ENST00000452648_90_90;ENST00000577376_90_90;ENST00000577513_90_90;ENST00000577682_90_90;ENST00000579381_90_90;ENST00000581229_90_90;ENST00000581381_90_90;ENST00000581407_90_90;ENST00000582059_90_90;ENST00000582266_90_90;ENST00000583307_90_90;ENST00000583522_90_90;ENST00000583953_90_90;ENST00000584059_90_90;ENSMUST00000073705_90_90;ENSMUST00000100782_90_90;ENSMUST00000155571_90_90
ENSCAFT00000047903_90_90;1.0;0.029;0.263;0.316;0.33;0.097;0.172;0.33;0.097;0.263;0.097;0.097;0.3;0.097;0.097;0.124;0.263;0.029;0.263
ENST00000341217_90_90;0.029;1.0;0.522;0.137;0.075;0.0;0.0;0.075;0.0;0.522;0.0;0.0;0.213;0.0;0.0;0.0;0.522;1.0;0.522
ENST00000452648_90_90;0.263;0.522;1.0;0.614;0.553;0.111;0.095;0.553;0.111;1.0;0.111;0.111;0.691;0.111;0.111;0.176;1.0;0.522;1.0
ENST00000577376_90_90;0.316;0.137;0.614;1.0;0.855;0.171;0.144;0.855;0.171;0.614;0.171;0.171;0.85;0.171;0.171;0.272;0.614;0.137;0.614
ENST00000577513_90_90;0.33;0.075;0.553;0.855;1.0;0.2;0.164;1.0;0.2;0.553;0.2;0.2;0.736;0.2;0.2;0.319;0.553;0.075;0.553
ENST00000577682_90_90;0.097;0.0;0.111;0.171;0.2;1.0;0.51;0.2;1.0;0.111;1.0;1.0;0.148;1.0;1.0;0.594;0.111;0.0;0.111
ENST00000579381_90_90;0.172;0.0;0.095;0.144;0.164;0.51;1.0;0.164;0.51;0.095;0.51;0.51;0.126;0.51;0.51;0.361;0.095;0.0;0.095
ENST00000581229_90_90;0.33;0.075;0.553;0.855;1.0;0.2;0.164;1.0;0.2;0.553;0.2;0.2;0.736;0.2;0.2;0.319;0.553;0.075;0.553
ENST00000581381_90_90;0.097;0.0;0.111;0.171;0.2;1.0;0.51;0.2;1.0;0.111;1.0;1.0;0.148;1.0;1.0;0.594;0.111;0.0;0.111
ENST00000581407_90_90;0.263;0.522;1.0;0.614;0.553;0.111;0.095;0.553;0.111;1.0;0.111;0.111;0.691;0.111;0.111;0.176;1.0;0.522;1.0
ENST00000582059_90_90;0.097;0.0;0.111;0.171;0.2;1.0;0.51;0.2;1.0;0.111;1.0;1.0;0.148;1.0;1.0;0.594;0.111;0.0;0.111
ENST00000582266_90_90;0.097;0.0;0.111;0.171;0.2;1.0;0.51;0.2;1.0;0.111;1.0;1.0;0.148;1.0;1.0;0.594;0.111;0.0;0.111
ENST00000583307_90_90;0.3;0.213;0.691;0.85;0.736;0.148;0.126;0.736;0.148;0.691;0.148;0.148;1.0;0.148;0.148;0.234;0.691;0.213;0.691
ENST00000583522_90_90;0.097;0.0;0.111;0.171;0.2;1.0;0.51;0.2;1.0;0.111;1.0;1.0;0.148;1.0;1.0;0.594;0.111;0.0;0.111
ENST00000583953_90_90;0.097;0.0;0.111;0.171;0.2;1.0;0.51;0.2;1.0;0.111;1.0;1.0;0.148;1.0;1.0;0.594;0.111;0.0;0.111
ENST00000584059_90_90;0.124;0.0;0.176;0.272;0.319;0.594;0.361;0.319;0.594;0.176;0.594;0.594;0.234;0.594;0.594;1.0;0.176;0.0;0.176
ENSMUST00000073705_90_90;0.263;0.522;1.0;0.614;0.553;0.111;0.095;0.553;0.111;1.0;0.111;0.111;0.691;0.111;0.111;0.176;1.0;0.522;1.0
ENSMUST00000100782_90_90;0.029;1.0;0.522;0.137;0.075;0.0;0.0;0.075;0.0;0.522;0.0;0.0;0.213;0.0;0.0;0.0;0.522;1.0;0.522
ENSMUST00000155571_90_90;0.263;0.522;1.0;0.614;0.553;0.111;0.095;0.553;0.111;1.0;0.111;0.111;0.691;0.111;0.111;0.176;1.0;0.522;1.0
