;ENSCAFT00000038801_90_90;ENST00000313899_90_90;ENST00000352301_90_90;ENST00000353341_90_90;ENST00000503822_90_90;ENST00000507010_90_90;ENST00000509107_90_90;ENST00000509263_90_90;ENST00000513584_90_90;ENST00000514671_90_90;ENST00000515432_90_90;ENSMUST00000019128_90_90;ENSMUST00000072750_90_90;ENSMUST00000112939_90_90;ENSMUST00000164833_90_90;ENSMUST00000168396_90_90;ENSMUST00000170912_90_90;ENSMUST00000171106_90_90;ENSMUST00000171640_90_90;ENSMUST00000171786_90_90;ENSMUST00000172361_90_90
ENSCAFT00000038801_90_90;1.0;0.959;0.91;0.85;0.49;0.67;0.269;0.649;0.287;0.566;0.324;0.849;0.762;0.871;0.268;0.26;0.056;0.595;0.378;0.297;0.957
ENST00000313899_90_90;0.959;1.0;0.91;0.889;0.49;0.708;0.296;0.649;0.287;0.566;0.324;0.812;0.762;0.871;0.268;0.26;0.056;0.595;0.378;0.297;0.919
ENST00000352301_90_90;0.91;0.91;1.0;0.8;0.54;0.618;0.207;0.566;0.319;0.621;0.357;0.762;0.833;0.952;0.29;0.285;0.061;0.601;0.413;0.326;0.871
ENST00000353341_90_90;0.85;0.889;0.8;1.0;0.549;0.793;0.333;0.587;0.323;0.637;0.364;0.912;0.858;0.762;0.157;0.29;0.064;0.67;0.427;0.335;0.812
ENST00000503822_90_90;0.49;0.49;0.54;0.549;1.0;0.693;0.366;0.261;0.585;0.319;0.4;0.512;0.568;0.501;0.0;0.522;0.12;0.307;0.084;0.418;0.457
ENST00000507010_90_90;0.67;0.708;0.618;0.793;0.693;1.0;0.418;0.483;0.405;0.43;0.463;0.712;0.653;0.583;0.0;0.366;0.084;0.463;0.22;0.427;0.635
ENST00000509107_90_90;0.269;0.296;0.207;0.333;0.366;0.418;1.0;0.253;0.179;0.163;0.194;0.301;0.233;0.207;0.0;0.179;0.2;0.202;0.0;0.203;0.269
ENST00000509263_90_90;0.649;0.649;0.566;0.587;0.261;0.483;0.253;1.0;0.054;0.649;0.436;0.587;0.5;0.566;0.23;0.054;0.076;0.685;0.411;0.4;0.649
ENST00000513584_90_90;0.287;0.287;0.319;0.323;0.585;0.405;0.179;0.054;1.0;0.067;0.093;0.29;0.323;0.285;0.0;0.877;0.0;0.064;0.045;0.1;0.26
ENST00000514671_90_90;0.566;0.566;0.621;0.637;0.319;0.43;0.163;0.649;0.067;1.0;0.574;0.637;0.707;0.621;0.225;0.067;0.099;0.951;0.666;0.526;0.566
ENST00000515432_90_90;0.324;0.324;0.357;0.364;0.4;0.463;0.194;0.436;0.093;0.574;1.0;0.364;0.405;0.357;0.0;0.093;0.176;0.545;0.295;0.918;0.324
ENSMUST00000019128_90_90;0.849;0.812;0.762;0.912;0.512;0.712;0.301;0.587;0.29;0.637;0.364;1.0;0.901;0.8;0.157;0.323;0.064;0.67;0.427;0.335;0.889
ENSMUST00000072750_90_90;0.762;0.762;0.833;0.858;0.568;0.653;0.233;0.5;0.323;0.707;0.405;0.901;1.0;0.879;0.169;0.36;0.07;0.682;0.472;0.371;0.8
ENSMUST00000112939_90_90;0.871;0.871;0.952;0.762;0.501;0.583;0.207;0.566;0.285;0.621;0.357;0.8;0.879;1.0;0.29;0.319;0.061;0.601;0.413;0.326;0.91
ENSMUST00000164833_90_90;0.268;0.268;0.29;0.157;0.0;0.0;0.0;0.23;0.0;0.225;0.0;0.157;0.169;0.29;1.0;0.0;0.0;0.217;0.306;0.0;0.268
ENSMUST00000168396_90_90;0.26;0.26;0.285;0.29;0.522;0.366;0.179;0.054;0.877;0.067;0.093;0.323;0.36;0.319;0.0;1.0;0.0;0.064;0.045;0.1;0.287
ENSMUST00000170912_90_90;0.056;0.056;0.061;0.064;0.12;0.084;0.2;0.076;0.0;0.099;0.176;0.064;0.07;0.061;0.0;0.0;1.0;0.095;0.0;0.19;0.056
ENSMUST00000171106_90_90;0.595;0.595;0.601;0.67;0.307;0.463;0.202;0.685;0.064;0.951;0.545;0.67;0.682;0.601;0.217;0.064;0.095;1.0;0.634;0.499;0.595
ENSMUST00000171640_90_90;0.378;0.378;0.413;0.427;0.084;0.22;0.0;0.411;0.045;0.666;0.295;0.427;0.472;0.413;0.306;0.045;0.0;0.634;1.0;0.243;0.378
ENSMUST00000171786_90_90;0.297;0.297;0.326;0.335;0.418;0.427;0.203;0.4;0.1;0.526;0.918;0.335;0.371;0.326;0.0;0.1;0.19;0.499;0.243;1.0;0.297
ENSMUST00000172361_90_90;0.957;0.919;0.871;0.812;0.457;0.635;0.269;0.649;0.26;0.566;0.324;0.889;0.8;0.91;0.268;0.287;0.056;0.595;0.378;0.297;1.0
