;transcript52_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript64_ENSMUSG00000054036;transcript48_MGP-PahariEiJ-G0020237;transcript57_ENSMUSG00000054036;transcript7_MGP-PahariEiJ-G0020237;transcript62_MGP-CAROLIEiJ-G0020234;transcript52_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript9_MGP-PahariEiJ-G0020237;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript8_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript41_ENSMUGG00000013649;transcript53_ENSRNOG00000031503
transcript52_MGP-CAROLIEiJ-G0020234;1.0;0.722;0.678;0.552;0.528;0.508;0.764;0.882;0.578;0.698;0.698;0.468;0.563;0.483;0.517;0.517;0.473;0.542
transcript63_MGP-CAROLIEiJ-G0020234;0.722;1.0;0.851;0.748;0.711;0.704;0.573;0.722;0.789;0.961;0.961;0.641;0.716;0.663;0.713;0.713;0.631;0.736
transcript64_ENSMUSG00000054036;0.678;0.851;1.0;0.758;0.762;0.716;0.543;0.678;0.849;0.824;0.824;0.689;0.838;0.714;0.767;0.767;0.675;0.631
transcript48_MGP-PahariEiJ-G0020237;0.552;0.748;0.758;1.0;0.947;0.956;0.446;0.552;0.896;0.728;0.728;0.785;0.656;0.811;0.869;0.869;0.837;0.746
transcript57_ENSMUSG00000054036;0.528;0.711;0.762;0.947;1.0;0.905;0.428;0.528;0.896;0.694;0.694;0.833;0.662;0.861;0.922;0.922;0.883;0.711
transcript7_MGP-PahariEiJ-G0020237;0.508;0.704;0.716;0.956;0.905;1.0;0.466;0.508;0.854;0.686;0.686;0.748;0.618;0.772;0.828;0.828;0.8;0.702
transcript62_MGP-CAROLIEiJ-G0020234;0.764;0.573;0.543;0.446;0.428;0.466;1.0;0.764;0.463;0.555;0.555;0.373;0.447;0.385;0.411;0.411;0.385;0.404
transcript52_ENSMUSG00000054036;0.882;0.722;0.678;0.552;0.528;0.508;0.764;1.0;0.578;0.698;0.698;0.468;0.563;0.483;0.517;0.517;0.473;0.542
transcript67_ENSMUSG00000054036;0.578;0.789;0.849;0.896;0.896;0.854;0.463;0.578;1.0;0.766;0.766;0.776;0.727;0.802;0.861;0.861;0.793;0.734
transcript9_MGP-CAROLIEiJ-G0020234;0.698;0.961;0.824;0.728;0.694;0.686;0.555;0.698;0.766;1.0;1.0;0.627;0.697;0.647;0.695;0.695;0.619;0.712
transcript9_MGP-PahariEiJ-G0020237;0.698;0.961;0.824;0.728;0.694;0.686;0.555;0.698;0.766;1.0;1.0;0.627;0.697;0.647;0.695;0.695;0.619;0.712
transcript40_ENSRNOG00000031503;0.468;0.641;0.689;0.785;0.833;0.748;0.373;0.468;0.776;0.627;0.627;1.0;0.815;0.964;0.893;0.893;0.912;0.685
transcript49_ENSRNOG00000031503;0.563;0.716;0.838;0.656;0.662;0.618;0.447;0.563;0.727;0.697;0.697;0.815;1.0;0.779;0.708;0.708;0.746;0.58
transcript8_ENSRNOG00000031503;0.483;0.663;0.714;0.811;0.861;0.772;0.385;0.483;0.802;0.647;0.647;0.964;0.779;1.0;0.926;0.926;0.88;0.71
transcript55_ENSRNOG00000031503;0.517;0.713;0.767;0.869;0.922;0.828;0.411;0.517;0.861;0.695;0.695;0.893;0.708;0.926;1.0;1.0;0.817;0.764
transcript54_ENSRNOG00000031503;0.517;0.713;0.767;0.869;0.922;0.828;0.411;0.517;0.861;0.695;0.695;0.893;0.708;0.926;1.0;1.0;0.817;0.764
transcript41_ENSMUGG00000013649;0.473;0.631;0.675;0.837;0.883;0.8;0.385;0.473;0.793;0.619;0.619;0.912;0.746;0.88;0.817;0.817;1.0;0.633
transcript53_ENSRNOG00000031503;0.542;0.736;0.631;0.746;0.711;0.702;0.404;0.542;0.734;0.712;0.712;0.685;0.58;0.71;0.764;0.764;0.633;1.0
