;ENSCAFT00000032063_90_90;ENSCAFT00000047065_90_90;ENSCAFT00000050191_90_90;ENST00000260506_90_90;ENST00000271234_90_90;ENST00000370253_90_90;ENST00000424449_90_90;ENST00000604705_90_90;ENSMUST00000162409_90_90;ENSMUST00000162947_90_90;ENSMUST00000197259_90_90
ENSCAFT00000032063_90_90;1.0;0.767;0.803;0.664;0.705;0.643;0.48;0.724;0.664;0.724;0.48
ENSCAFT00000047065_90_90;0.767;1.0;0.636;0.641;0.732;0.623;0.535;0.746;0.641;0.746;0.535
ENSCAFT00000050191_90_90;0.803;0.636;1.0;0.725;0.625;0.703;0.398;0.647;0.725;0.647;0.398
ENST00000260506_90_90;0.664;0.641;0.725;1.0;0.732;0.827;0.463;0.875;1.0;0.875;0.463
ENST00000271234_90_90;0.705;0.732;0.625;0.732;1.0;0.861;0.691;0.851;0.732;0.851;0.62
ENST00000370253_90_90;0.643;0.623;0.703;0.827;0.861;1.0;0.552;0.732;0.827;0.732;0.489
ENST00000424449_90_90;0.48;0.535;0.398;0.463;0.691;0.552;1.0;0.582;0.463;0.582;0.871
ENST00000604705_90_90;0.724;0.746;0.647;0.875;0.851;0.732;0.582;1.0;0.875;1.0;0.582
ENSMUST00000162409_90_90;0.664;0.641;0.725;1.0;0.732;0.827;0.463;0.875;1.0;0.875;0.463
ENSMUST00000162947_90_90;0.724;0.746;0.647;0.875;0.851;0.732;0.582;1.0;0.875;1.0;0.582
ENSMUST00000197259_90_90;0.48;0.535;0.398;0.463;0.62;0.489;0.871;0.582;0.463;0.582;1.0
