;ENSCAFT00000011893_90_90;ENST00000265997_90_90;ENST00000412050_90_90;ENST00000614585_90_90;ENSMUST00000079754_90_90;ENSMUST00000123727_90_90;ENSMUST00000124158_90_90;ENSMUST00000126188_90_90;ENSMUST00000126781_90_90;ENSMUST00000128642_90_90;ENSMUST00000131917_90_90;ENSMUST00000132580_90_90;ENSMUST00000133988_90_90;ENSMUST00000136286_90_90;ENSMUST00000142973_90_90;ENSMUST00000154376_90_90
ENSCAFT00000011893_90_90;1.0;0.933;0.933;0.933;1.0;0.933;0.4;0.933;0.867;0.2;0.267;1.0;0.467;0.933;0.333;1.0
ENST00000265997_90_90;0.933;1.0;0.833;1.0;0.938;0.812;0.438;0.812;0.75;0.133;0.2;0.938;0.4;1.0;0.267;0.938
ENST00000412050_90_90;0.933;0.833;1.0;0.833;0.875;1.0;0.375;1.0;0.929;0.143;0.214;0.875;0.429;0.812;0.286;0.875
ENST00000614585_90_90;0.933;1.0;0.833;1.0;0.938;0.812;0.438;0.812;0.75;0.133;0.2;0.938;0.4;1.0;0.267;0.938
ENSMUST00000079754_90_90;1.0;0.938;0.875;0.938;1.0;0.842;0.421;0.895;0.8;0.211;0.263;1.0;0.421;0.895;0.316;1.0
ENSMUST00000123727_90_90;0.933;0.812;1.0;0.812;0.842;1.0;0.333;0.941;0.833;0.25;0.312;0.842;0.5;0.833;0.375;0.842
ENSMUST00000124158_90_90;0.4;0.438;0.375;0.438;0.421;0.333;1.0;0.316;0.25;0.0;0.0;0.421;0.0;0.389;0.0;0.421
ENSMUST00000126188_90_90;0.933;0.812;1.0;0.812;0.895;0.941;0.316;1.0;0.889;0.235;0.294;0.895;0.471;0.789;0.353;0.895
ENSMUST00000126781_90_90;0.867;0.75;0.929;0.75;0.8;0.833;0.25;0.889;1.0;0.235;0.294;0.8;0.471;0.7;0.353;0.8
ENSMUST00000128642_90_90;0.2;0.133;0.143;0.133;0.211;0.25;0.0;0.235;0.235;1.0;0.8;0.211;0.5;0.235;0.667;0.211
ENSMUST00000131917_90_90;0.267;0.2;0.214;0.2;0.263;0.312;0.0;0.294;0.294;0.8;1.0;0.263;0.625;0.294;0.833;0.263
ENSMUST00000132580_90_90;1.0;0.938;0.875;0.938;1.0;0.842;0.421;0.895;0.8;0.211;0.263;1.0;0.421;0.895;0.316;1.0
ENSMUST00000133988_90_90;0.467;0.4;0.429;0.4;0.421;0.5;0.0;0.471;0.471;0.5;0.625;0.421;1.0;0.471;0.75;0.421
ENSMUST00000136286_90_90;0.933;1.0;0.812;1.0;0.895;0.833;0.389;0.789;0.7;0.235;0.294;0.895;0.471;1.0;0.353;0.895
ENSMUST00000142973_90_90;0.333;0.267;0.286;0.267;0.316;0.375;0.0;0.353;0.353;0.667;0.833;0.316;0.75;0.353;1.0;0.316
ENSMUST00000154376_90_90;1.0;0.938;0.875;0.938;1.0;0.842;0.421;0.895;0.8;0.211;0.263;1.0;0.421;0.895;0.316;1.0
