;transcript7_ENSMPUG00000020072;transcript7_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript25_ENSMPUG00000020072;transcript25_ENSMLUG00000027828;transcript28_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript12_ENSMLUG00000027828;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript15_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript27_ENSMLUG00000027828
transcript7_ENSMPUG00000020072;1.0;0.771;0.829;0.914;0.068;0.06;0.057;0.051;0.046;0.051;0.051;0.054;0.051;0.047;0.058;0.062;0.065
transcript7_ENSMLUG00000027828;0.771;1.0;0.771;0.857;0.057;0.065;0.047;0.048;0.049;0.048;0.048;0.05;0.048;0.05;0.063;0.067;0.07
transcript7_ENSSTOG00000019743;0.829;0.771;1.0;0.914;0.061;0.06;0.051;0.051;0.046;0.051;0.051;0.054;0.051;0.047;0.058;0.062;0.065
transcript7_ENSCCNG00000000226;0.914;0.857;0.914;1.0;0.068;0.067;0.056;0.056;0.051;0.056;0.056;0.059;0.056;0.052;0.065;0.069;0.072
transcript25_ENSMPUG00000020072;0.068;0.057;0.061;0.068;1.0;0.802;0.751;0.632;0.623;0.632;0.632;0.662;0.638;0.605;0.737;0.779;0.661
transcript25_ENSMLUG00000027828;0.06;0.065;0.06;0.067;0.802;1.0;0.615;0.627;0.757;0.627;0.627;0.657;0.633;0.734;0.912;0.97;0.814
transcript28_ENSMPUG00000020072;0.057;0.047;0.051;0.056;0.751;0.615;1.0;0.752;0.733;0.752;0.752;0.788;0.76;0.715;0.569;0.595;0.506
transcript12_ENSECAG00000007947;0.051;0.048;0.051;0.056;0.632;0.627;0.752;1.0;0.818;1.0;1.0;0.951;0.989;0.8;0.647;0.608;0.587
transcript12_ENSMLUG00000027828;0.046;0.049;0.046;0.051;0.623;0.757;0.733;0.818;1.0;0.818;0.818;0.783;0.81;0.977;0.782;0.734;0.703
transcript23_ENSECAG00000007947;0.051;0.048;0.051;0.056;0.632;0.627;0.752;1.0;0.818;1.0;1.0;0.951;0.989;0.8;0.647;0.608;0.587
transcript31_ENSECAG00000007947;0.051;0.048;0.051;0.056;0.632;0.627;0.752;1.0;0.818;1.0;1.0;0.951;0.989;0.8;0.647;0.608;0.587
transcript32_ENSECAG00000007947;0.054;0.05;0.054;0.059;0.662;0.657;0.788;0.951;0.783;0.951;0.951;1.0;0.961;0.765;0.61;0.638;0.55
transcript33_ENSECAG00000007947;0.051;0.048;0.051;0.056;0.638;0.633;0.76;0.989;0.81;0.989;0.989;0.961;1.0;0.792;0.639;0.615;0.579
transcript15_ENSMLUG00000027828;0.047;0.05;0.047;0.052;0.605;0.734;0.715;0.8;0.977;0.8;0.8;0.765;0.792;1.0;0.8;0.751;0.719
transcript16_ENSMLUG00000027828;0.058;0.063;0.058;0.065;0.737;0.912;0.569;0.647;0.782;0.647;0.647;0.61;0.639;0.8;1.0;0.939;0.899
transcript26_ENSMLUG00000027828;0.062;0.067;0.062;0.069;0.779;0.97;0.595;0.608;0.734;0.608;0.608;0.638;0.615;0.751;0.939;1.0;0.838
transcript27_ENSMLUG00000027828;0.065;0.07;0.065;0.072;0.661;0.814;0.506;0.587;0.703;0.587;0.587;0.55;0.579;0.719;0.899;0.838;1.0
